"chao-dyn/9501011","Giovanni Gallavotti","Giovanni Gallavotti (Fisica, Roma)","Reversible Anosov diffeomorphisms and large deviations","9 pages, plain TeX, compile with dvips to print figures","Mathematical Physics Electronic Journal, MPEJ, (http://
  mpej.unige.ch), 1, 1--12, 1995",,"FM95-1","chao-dyn nlin.CD",,"  The volume contraction obeys a large deviation rule.
","[{""version"":""v1"",""created"":""Sat, 21 Jan 1995 10:09:55 GMT""}]","2008-02-26"
"cond-mat/9501096","Angel Sanchez","E. Diez, A. Sanchez, F. Dominguez-Adame","Intentionally disordered superlattices with high dc conductance","REVTeX 3.0, 20 pages, 7 uuencoded compressed PostScript figures as a
  separate file. Submitted to IEEE J Quantum Elec.",,"10.1109/3.469271","MA/UC3M/01/95","cond-mat",,"  We study disordered quantum-well-based semiconductor superlattices where the
disorder is intentional and short-range correlated. Such systems consist of
quantum-wells of two different thicknesses randomly distributed along the
growth direction, with the additional constraint that wells of one kind always
appears in pairs. Imperfections due to interface roughness are considered by
allowing the quantum-well thicknesses to fluctuate around their {\em ideal}
values. As particular examples, we consider wide-gap
(GaAs-Ga$_{1-x}$Al$_{x}$As) and narrow-gap (InAs-GaSb) superlattices. We show
the existence of a band of extended states in perfect correlated disordered
superlattices, giving rise to a strong enhancement of their finite-temperature
dc conductance as compared to usual random ones whenever the Fermi level
matches this band. This feature is seen to survive even if interface roughness
is taken into account. Our predictions can be used to demonstrate
experimentally that structural correlations inhibit the localization effects of
disorder, even in the presence of imperfections. This effect might be the basis
of new, filter-like or other specific-purpose electronic devices.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 19:22:51 GMT""}]","2016-08-31"
"cond-mat/9501097","Christian H. Borgs","C. Borgs (IAS Princeton, FU-Berlin) J. J\c{e}drzejewski (Wroclaw
  University) R.Koteck\'y (CTS Prague, CNRS Marseille)","THE STAGGERED CHARGE-ORDER PHASE OF THE EXTENDED HUBBARD MODEL","19 pages, ams-tex, 2 Postscriptfigures",,"10.1088/0305-4470/29/4/005","CPT-94/P.3105","cond-mat",,"  We study the phase diagram of the extended Hubbard model in the atomic limit.
At zero temperature, the phase diagram decomposes into six regions: three with
homogeneous phases (characterized by particle densities $\rho=0$, 1, and 2 and
staggered charge density $\Delta=0$) and three with staggered phases
(characterized by the densities $\rho=\frac12$, 1, and $\frac32$ and staggered
densities $|\Delta|=\frac12$, 1, and $\frac12$). Here we use Pirogov-Sinai
theory to analyze the details of the phase diagram of this model at low
temperatures. In particular, we show that for any sufficiently low nonzero
temperature the three staggered regions merge into one staggered region $S$,
without any phase transitions (analytic free energy and staggered order
parameter $\Delta$) within $S$.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 20:05:20 GMT""}]","2009-10-28"
"cond-mat/9501098","Bruno Nachtergaele","Bruno Nachtergaele (Princeton University)","Bounds on the mass gap of the ferromagnetic XXZ chain","18 pages, LaTeX, 1 figure as uuencoded compressed Postscript file",,,"BN-16Jan95","cond-mat funct-an hep-th math.FA",,"  We prove rigorous lower and upper bounds for the mass gap of the
ferromagnetic spin 1/2 XXZ chain. The two bounds coincide asymptotically in the
Ising limit $\Delta\to\infty$. Near the isotropic point, $\Delta=1$, the
estimates are good enough to determine the critical behaviour of the mass gap
unambiguously. The derivation does not rely on exact solutions.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 21:44:25 GMT""}]","2008-02-03"
"dg-ga/9501004","Yoshinari Inoue","Yoshinari Inoue","The Twistor correspondence of the Dolbeault complex over $\C^n$","11 pages, AMS-LaTeX",,,,"dg-ga math.DG",,"  With respect to the Dolbeault complex over the flat manifold $\C^n$, an
explicit description of the inverse correspondence of the twistor
correspondence is given.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 16:37:04 GMT""}]","2016-08-31"
"gr-qc/9501023",,"Dieter R. Brill (University of Maryland)","Black Hole Collisions, Analytic Continuation, and Cosmic Censorship","Misprints corrected, some Figures (LaTeX picture environment) made
  even more beautiful, References added. This is the text of lectures at the
  First Samos Meeting on Cosmology Geometry and Relativity, to appear in
  Springer Lecture Notes in Physics.",,,"UMD PP 95-88","gr-qc",,"  Exact solutions of the Einstein-Maxwell equations that describe moving black
holes in a cosmological setting are discussed with the aim of discovering the
global structure and testing cosmic censorship. Continuation beyond the
horizons present in these solutions is necessary in order to identify the
global structure. Therefore the possibilities and methods of analytic extension
of geometries are briefly reviewed. The global structure of the
Reissner-Nordstr\""om-de Sitter geometry is found by these methods. When several
black holes are present, the exact solution is no longer everywhere analytic,
but less smooth extensions satisfying the Einstein equations everywhere are
possible. Some of these provide counterexamples to cosmic censorship.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 17:45:27 GMT""},{""version"":""v2"",""created"":""Mon, 27 Mar 1995 22:47:44 GMT""}]","2008-02-03"
"gr-qc/9501024","Hans-Juergen Schmidt","Salvatore Mignemi and Hans - J\""urgen Schmidt","Two-dimensional higher-derivative gravity and conformal transformations","16 pages, latex, no figures, hjschmi@rz.uni-potsdam.de, Class. Quant.
  Grav. to appear","Class.Quant.Grav.12:849-858,1995","10.1088/0264-9381/12/3/021","Cagliari INFNCA-TH-94-22","gr-qc",,"  We consider the lagrangian $L=F(R)$ in classical (=non-quantized)
two-dimensional fourth-order gravity and give new relations to Einstein's
theory with a non-minimally coupled scalar field. We distinguish between
scale-invariant lagrangians and scale-invariant field equations. $L$ is
scale-invariant for $F = c_1 R\sp {k+1}$ and a divergence for $F=c_2 R$. The
field equation is scale-invariant not only for the sum of them, but also for
$F=R\ln R$. We prove this to be the only exception and show in which sense it
is the limit of $\frac{1}{k} R\sp{k+1}$ as $k\to 0$. More generally: Let $H$ be
a divergence and $F$ a scale-invariant lagrangian, then $L= H\ln F $ has a
scale-invariant field equation. Further, we comment on the known generalized
Birkhoff theorem and exact solutions including black holes.
","[{""version"":""v1"",""created"":""Sat, 21 Jan 1995 07:34:48 GMT""}]","2010-04-06"
"gr-qc/9501025","P. R. Brady","Patrick R Brady and Chris M Chambers","Non-linear instability of Kerr-type Cauchy horizons","11 pages RevTeX, two postscript figures included using epsf.sty","Phys.Rev. D51 (1995) 4177-4186","10.1103/PhysRevD.51.4177","NCL94-TP13","gr-qc",,"  Using the general solution to the Einstein equations on intersecting null
surfaces developed by Hayward, we investigate the non-linear instability of the
Cauchy horizon inside a realistic black hole. Making a minimal assumption about
the free gravitational data allows us to solve the field equations along a null
surface crossing the Cauchy Horizon. As in the spherical case, the results
indicate that a diverging influx of gravitational energy, in concert with an
outflux across the CH, is responsible for the singularity. The spacetime is
asymptotically Petrov type N, the same algebraic type as a gravitational shock
wave. Implications for the continuation of spacetime through the singularity
are briefly discussed.
","[{""version"":""v1"",""created"":""Sat, 21 Jan 1995 13:59:34 GMT""}]","2016-08-31"
"hep-lat/9501024","Yoshinobu Kuramashi","M.Fukugita, Y.Kuramashi, H.Mino, M.Okawa and A.Ukawa","Hadron Scattering Lengths in Lattice QCD","47 pages as latex dvi-file, 24 figures as ps-file, uuencoded
  compressed tar file.","Phys.Rev. D52 (1995) 3003-3023","10.1103/PhysRevD.52.3003","KEK-CP-24","hep-lat",,"  Lattice QCD calculation of s-wave hadron scattering lengths in the channels
\pi-\pi, \pi-N, K-N, {\bar K}-N and N-N is carried out in the quenched QCD at
$\beta=6/g^2=5.7$. A variant of the method of wall sourceis developed for this
purpose, which reduces the computer time by a factor L^3 on an L^3xT lattice
compared to the conventional point source method and avoids the Fierz mixing
problem. A version of the method in which gauge configurations are not fixed to
any gauge can be extended to calculate disconnected quark loop con- tributions
in hadron two- and three-point functions. An analytical estimate of statistical
errors for this method is worked out, and the magnitude of errors without and
with gauge fixing is compared for the case of \pi-\pi four-point functions
calculated with the KS quark action. For \pi-\pi scattering both I=0 and 2
scattering lengths are evaluated using the KS and Wilson quark actions on a
12^3x20 lattice. For the same size of lattice, \pi-N, K-N and {\bar K}-N
scattering lenghts are calculated with the Wilson quark action. For the \pi-\pi
and \pi-N cases simulation results are consistent with the predictions of
current algebra and PCAC within one to two standard deviations up to quite
heavy quark masses corresponding to $m_\pi/m_\rho\approx 0.74$, while for the
K-N and {\bar K}-N cases the agreement is within a factor of two. For N-N scat-
tering simulations with the Wilson action on a 20^4 lattice with heavy quarks
with $m_\pi/m_\rho\approx 0.74-0.95$, where the deuteron is expected to become
unbound from a phenomenological study with one-boson exchange potentials, show
that the nucleon-nucleon force is attractive for both spin triplet and singlet
channels, and that the scattering lengths are substantially larger compared to
those for the \pi-\pi and \pi-N cases even for such heavy quarks.
","[{""version"":""v1"",""created"":""Sat, 21 Jan 1995 07:37:04 GMT""}]","2016-08-31"
"hep-lat/9501025",,"M.A. Halasz and J.J.M. Verbaarschot","Universal fluctuations in spectra of the lattice Dirac operator","8 pages + 3 figures (will be faxed on request)","Phys.Rev.Lett.74:3920-3923,1995","10.1103/PhysRevLett.74.3920","SUNY-NTG-95/3","hep-lat cond-mat",,"  Recently, Kalkreuter obtained the complete Dirac spectrum for an $SU(2)$
lattice gauge theory with dynamical staggered fermions on a $12^4$ lattice for
$\beta =1.8$ and $\beta=2.8$. We performed a statistical analysis of his data
and found that the eigenvalue correlations can be described by the Gaussian
Symplectic Ensemble. In particular, long range fluctuations are strongly
suppressed: the variance of a sequence of levels containing $n$ eigenvalues on
average is given by $\Sigma_2(n) \sim\frac 1{2\pi^2}(\log n + {\rm const.})$
instead of $\Sigma_2(n) = n$ for a random sequence of levels. Our findings are
in agreement with the anti-unitary symmetry of the lattice Dirac operator for
$N_c=2$ with staggered fermions which differs from the continuuum theory. For
$N_c = 3$ we predict that the eigenvalue correlations are given by the Gaussian
Unitary Ensemble.
","[{""version"":""v1"",""created"":""Sat, 21 Jan 1995 15:41:13 GMT""}]","2016-08-31"
"hep-ph/9501350","Dr. Ivica Picek","D. Kekez, D. Klabucar, K. Kumericki and I. Picek","Quark off-shell contributions to $K_{L}\to\gamma\gamma$ in a bound-state
  approach","14 pages, plain latex, 2 figures not included","Phys.Lett. B348 (1995) 239-246","10.1016/0370-2693(95)00100-Y","BI-TP 94/21 and ZTF-94/05, to appear in Phys. Lett. B","hep-ph",,"  We present a new piece of evidence in favour of the importance of the quark
off-shellness in the kaon. The matrix elements of the flavour-changing
operators for $K_{L}\to\gamma\gamma$ comply with the general behaviour of the
matrix elements expected in the pairing bound-state model used here. The
present calculation in essence agrees with previous chiral-quark results. The
off-shell contribution turns out to be dominant (the model on-shell amplitude
being at the 10% level). Compared with the chiral perturbation-theory approach,
our off-shell contribution is an entirely new ${\cal{O}}(p^{4})$ {\em
direct-decay} piece, whereas the non-diagonal magnetic-moment term belongs to
the order ${\cal{O}}(p^{6})$.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 16:03:42 GMT""}]","2009-10-28"
"hep-ph/9501351","Waikwok Kwong","S.P. Rosen and Waikwok Kwong","Effective Mass Matrix for Light Neutrinos Consistent with Solar and
  Atmospheric Neutrino Experiments","5 pages, REVTeX 3.0, no figures.",,,"UTAPHY-HEP-13","hep-ph",,"  We propose an effective mass matrix for light neutrinos which is consistent
with the mixing pattern indicated by solar and atmospheric neutrino
experiments. Two scenarios for the mass eigenvalues are discussed and the
connection with double beta decay is noted.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 16:01:17 GMT""}]","2016-09-01"
"hep-ph/9501352","Dr. Ivica Picek","J.O. Eeg and I. Picek","QUARK OFF-SHELL EFFECTS IN FLAVOUR-CHANGING DECAYS","10 pages (latex), uses (appended) macros required by the World
  Scientific publisher, 3 figures not included, talk given by J.O. Eeg at the
  7th Adriatic Meeting on Particle Physics, Brijuni, Croatia (September 1994)",,,"ZTF-95/01","hep-ph",,"  We discuss some flavour-changing effective Lagrangians, obtained from scales
above 1 GeV, which vanish on the quark mass shell. Although the effects of such
effective Lagrangians are zero in the limit of vanishing bound-state
interactions, we have shown that they have a significant impact on the
processes $K\rightarrow\gamma\gamma$ and $B_s \rightarrow\gamma\gamma$.
","[{""version"":""v1"",""created"":""Fri, 20 Jan 1995 18:10:11 GMT""}]","2016-09-01"
