"acc-phys/9510006","George Parzen","G. Parzen (Brookhaven National Laboratory)","Linear Parameters and the Decoupling Matrix for Linearly Coupled Motion
  in 6 Dimensional Phase Space","18 pages, gzipped postscript paper (125k)",,,"BNL-61552","acc-phys physics.acc-ph",,"  It will be shown that starting from a coordinate system where the 6 phase
space coordinates are linearly coupled, one can go to a new coordinate system
where the motion is uncoupled by means of a linear transformation. The original
coupled coordinates and the new uncoupled coordinates are related by a 6x6
matrix, R. R will be called the decoupling matrix. It will be shown that of the
36 elements of the 6x6 decoupling matrix R, only 12 elements are independent.
This may be contrasted with the results for motion in 4-dimensional phase
space, where R has 4 independent elements. A set of equations is given from
which the 12 elements of R can be computed from the one period transfer
matrix.This set of equations also allows the linear parameters for the
uncoupled coordinates to be computed from the one period transfer matrix. An
alternative procedure for computing the linear parameters and the 12
independent elements of the decoupling matrix R is also given which depends on
computing the eigenvectors of the one period transfer matrix. These results can
be used in a tracking program, where the one period transfer matrix can be
computed by multiplying the transfer matrices of all the elements in a period,
to compute the linear parameters and the elements of the decoupling matrix R.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 14:47:54 GMT""}]","2008-02-03"
"alg-geom/9510015","Steven L. Kleiman","Trygve Johnsen and Steven L. Kleiman","Rational curves of degree at most 9 on a general quintic threefold","31 pages, minor revisions -- current 2/29/96, Plain Tex",,,,"alg-geom math.AG",,"  We prove the following form of the Clemens conjecture in low degree. Let
$d\le9$, and let $F$ be a general quintic threefold in $\IP^4$. Then (1)~the
Hilbert scheme of rational, smooth and irreducible curves of degree $d$ on $F$
is finite, nonempty, and reduced; moreover, each curve is embedded in $F$ with
normal bundle $\O(-1)\oplus\O(-1)$, and in $\IP^4$ with maximal rank. (2)~On
$F$, there are no rational, singular, reduced and irreducible curves of degree
$d$, except for the 17,601,000 six-nodal plane quintics (found by Vainsencher).
(3)~On $F$, there are no connected, reduced and reducible curves of degree $d$
with rational components.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 20:22:20 GMT""},{""version"":""v2"",""created"":""Fri, 1 Mar 1996 12:56:22 GMT""}]","2008-02-03"
"astro-ph/9510149","Matthew Bate","M.R. Bate, I.A. Bonnell, N.M. Price","Modelling Accretion in Protobinary Systems","15 pages, uuencoded compressed postscript. Accepted MNRAS. Contains 1
  of 8 figures. The full version with all 8 figures is available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html","Mon.Not.Roy.Astron.Soc. 277 (1995) 362-376","10.1093/mnras/277.2.362","CAP-9510013","astro-ph",,"  A method for following fragmentation simulations further in time using
smoothed particle hydrodynamics (SPH) is presented. In a normal SPH simulation
of the collapse and fragmentation of a molecular cloud, high-density regions of
gas that form protostars are represented by many particles with small
separations. These high-density regions require small time steps, limiting the
time for which the simulation can be followed. Thus, the end result of the
fragmentation can never be definitively ascertained, and comparisons between
cloud fragmentation calculations and the observed characteristics of stellar
systems cannot be made. In this paper, each high-density region is replaced by
a single, non-gaseous particle, with appropriate boundary conditions, which
contains all the mass in the region and accretes any infalling mass. This
enables the evolution of the cloud and the resulting protostars to be followed
for many orbits or until most of the original cloud mass has been accreted.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 18:04:50 GMT""}]","2015-06-24"
"astro-ph/9510150","David Merritt","David Merritt (Rutgers University)","Dynamical Modelling of Hot Stellar Systems","uuencoded gziped PostScript, 20 pages including figures; to appear in
  ESO/EIPC Workshop, ""Structure, Dynamics and Chemical Evolution of Elliptical
  Galaxies,"" ed. I. J. Danziger, W. W. Zeilinger and K. Kjar",,,,"astro-ph",,"  Estimation of the distribution function f and potential Phi of hot stellar
systems from kinematical data is discussed. When the functional forms of f and
Phi are not specified a priori, accurate estimation of either function requires
very high quality data: either accurate ``line profiles'' at radii extending
well beyond an effective radius, or large samples of discrete radial
velocities. Estimates of Phi(r) based on much smaller data sets can be very
strongly influenced by assumptions, explicit or implicit, about the form of f.
The importance of casting the estimation problem into a mathematically
determined form is stressed. Some techniques for nonparametric estimation are
presented, with some preliminary results of their application to real stellar
systems.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 20:04:31 GMT""}]","2007-05-23"
"astro-ph/9510151","Jason Best","Jason S. Best, Jane C. Charlton (Penn State University), Gottfried
  Mayer-Kress (UIUC)","Analysis of Galaxy Morphology and Evolution using the Pointwise
  Dimension","13 pages uuencoded and compressed Postscript file. Full text,
  including figures, available at
  http://www.astro.psu.edu/users/best/Kingdom@/Academic@/fractal_paper.html or
  at ftp://ftp.astro.psu.edu/pub/best . To be published in January 1, 1996
  issue of Astrophysical Journal","Astrophys.J. 456 (1996) 55","10.1086/176626","PSU-AST-BCMK-1","astro-ph",,"  In this paper we explore the application of the pointwise dimension (PD)
analysis as a large-scale structure descriptor to the RC3 catalog of galaxies
(de Vaucouleurs et al. 1991). This technique, which originated in the field of
fractal geometry (Mandelbrot 1983) and found many applications in non-linear
dynamics, is particularly illuminating in the study of correlations between
morphology and environment. To our knowledge the technique is being applied for
the first time to the study of galaxy morphology and evolution. The PD is the
slope of the curve representing the number of galaxies within some radius,
determined separately for each galaxy in the catalog. Thus the distributions of
PD's can be compared for subsamples based on morphological type or luminosity.
The conclusions of this analysis of RC3 are: 1) The PD elucidates the tendency
for early-type galaxies to cluster more than late-type galaxies; however, there
is considerable overlap between these populations. 2) The PD statistic does not
find a significant relationship between luminosity and clustering in RC3, but
it could be an effective diagnostic in larger 2D catalogs. 3) The majority of
galaxies in RC3 (excluding clusters) are spread out in space much like a random
distribution. A population of objects that traces the distribution of galaxies,
but avoids clusters, would have only small correlations. It is worthwhile to
pursue application of the PD to larger catalogs with a wider range of
luminosities.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 21:51:55 GMT""}]","2009-10-28"
"astro-ph/9510152","Gerry Gilmore","J.C. Hargreaves (IoA Cambridge), G. Gilmore (IoA), J.D. Annan","The Influence of Binary Stars on Dwarf Spheroidal Galaxy Kinematics","MNRAS in press, uuencoded ps file",,"10.1093/mnras/279.1.108",,"astro-ph",,"  We have completed a Monte-Carlo simulation to estimate the effect of binary
star orbits on the measured velocity dispersion in dwarf spheroidal galaxies.
This paper analyses previous attempts at this calculation, and explains the
simulations which were performed with mass, period and ellipticity
distributions similar to that measured for the solar neighbourhood. The
conclusion is that with functions such as these, the contribution of binary
stars to the velocity dispersion is small. The distributions are consistent
with the percentage of binaries detected by observations, although this is
quite dependent on the measuring errors and on the number of years over which
measurements have been taken. For binaries to be making a significant
contribution to the dispersion measured in dSph galaxies, the distributions of
the orbital parameters would need to be very different from those of stars in
the solar neighbourhood. In particular more smaller period orbits with higher
mass secondaries would be required. The shape of the velocity distribution may
help to resolve this issue when more data becomes available. In general, the
scenarios producing a larger apparent dispersion have a velocity distribution
which deviates more clearly from Gaussian.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 18:02:57 GMT""}]","2015-06-24"
"astro-ph/9510153","Simon Hall","S.M. Hall, C.J. Clarke, J.E. Pringle","Energetics of star-disc encounters in the non-linear regime","19 pages, uuencoded gzipped postscript. Accepted MNRAS. Contains no
  figures. The full version including all 18 figures is available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html",,"10.1093/mnras/278.2.303","CAP-9510017","astro-ph",,"  We investigate the response of a circumstellar accretion disc to the fly-by
of a perturbing mass on a parabolic orbit. The energy and angular momentum
transferred during the encounter are calculated using a reduced three-body
method. In almost all close encounters the energy and angular momentum transfer
is dominated by disc material becoming unbound from the system, with the
contributions from close disc particle -- star encounters being significant.
For more distant encounters with some prograde element to the motion the disc
material loses energy and angular momentum to the perturber's orbit through a
resonance feature. The magnitude of the energy transfer calculated in our
simulations is greater than that of the binding energy of material exterior to
periastron by a factor of two in the prograde case, and up to a factor of five
in the case of the retrograde encounter. The destructive nature of the
encounters indicates that a non-linear treatment is essential in all but the
most distant encounters.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 10:45:06 GMT""}]","2015-06-24"
"bayes-an/9510001","Hugh Chipman","Hugh Chipman (University of Chicago Graduate School of Business)","Bayesian Variable Selection with Related Predictors","uuencoded, gzipped postscript file, 24 pages including graphics and
  tables. Revised version includes new example and improved plot. Paper also
  available at http://gsbhac.uchicago.edu/techreports/ Author has web page at
  http://www-gsb.uchicago.edu/",,,"STAT-94-13 (University of Waterloo)","bayes-an physics.data-an",,"  In data sets with many predictors, algorithms for identifying a good subset
of predictors are often used. Most such algorithms do not account for any
relationships between predictors. For example, stepwise regression might select
a model containing an interaction AB but neither main effect A or B. This paper
develops mathematical representations of this and other relations between
predictors, which may then be incorporated in a model selection procedure. A
Bayesian approach that goes beyond the standard independence prior for variable
selection is adopted, and preference for certain models is interpreted as prior
information. Priors relevant to arbitrary interactions and polynomials, dummy
variables for categorical factors, competing predictors, and restrictions on
the size of the models are developed. Since the relations developed are for
priors, they may be incorporated in any Bayesian variable selection algorithm
for any type of linear model. The application of the methods here is
illustrated via the Stochastic Search Variable Selection algorithm of George
and McCulloch (1993), which is modified to utilize the new priors. The
performance of the approach is illustrated with two constructed examples and a
computer performance dataset. Keywords: Model Selection, Prior Distributions,
Interaction, Dummy Variable
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 18:32:07 GMT""},{""version"":""v2"",""created"":""Tue, 31 Oct 1995 17:37:16 GMT""}]","2008-02-03"
"cmp-lg/9510008","Francis Bond","Satoru Ikehara (NTT), Satoshi Shirai (NTT), Akio Yokoo (NTT), Hiromi
  Nakaiwa (NTT)","Toward an MT System without Pre-Editing --- Effects of New Methods in
  ALT-J/E ---","9 pages, LaTeX, optional Japanese commented out, uses twocolumn.sty,
  a4wide.sty, lsalike.sty, gb4e.sty","Proceedings of MT Summit III, 1991, 101-106.",,,"cmp-lg cs.CL",,"  Recently, several types of Japanese-to-English machine translation systems
have been developed, but all of them require an initial process of rewriting
the original text into easily translatable Japanese. Therefore these systems
are unsuitable for translating information that needs to be speedily
disseminated. To overcome this limitation, a Multi-Level Translation Method
based on the Constructive Process Theory has been proposed. This paper
describes the benefits of using this method in the Japanese-to-English machine
translation system ALT-J/E.
  In comparison with conventional compositional methods, the Multi-Level
Translation Method emphasizes the importance of the meaning contained in
expression structures as a whole. It is shown to be capable of translating
typical written Japanese based on the meaning of the text in its context, with
comparative ease. We are now hopeful of carrying out useful machine translation
with no manual pre-editing.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 11:51:37 GMT""},{""version"":""v2"",""created"":""Wed, 1 Nov 1995 06:04:52 GMT""}]","2016-08-31"
"cond-mat/9510165","Cecilia Noguez Clip25 Guest Physics Grad","D.R. Alfonso, C. Noguez, D.A. Drabold and S.E. Ulloa (Ohio University)","First-Principles Studies of Hydrogenated Si(111)--7$\times$7","REVTEX manuscript with 3 postscript figures, all included in uu file.
  Also available at http://www.phy.ohiou.edu/~ulloa/ulloa.html",,"10.1103/PhysRevB.54.8028",,"cond-mat",,"  The relaxed geometries and electronic properties of the hydrogenated phases
of the Si(111)-7$\times$7 surface are studied using first-principles molecular
dynamics. A monohydride phase, with one H per dangling bond adsorbed on the
bare surface is found to be energetically favorable. Another phase where 43
hydrogens saturate the dangling bonds created by the removal of the adatoms
from the clean surface is found to be nearly equivalent energetically.
Experimental STM and differential reflectance characteristics of the
hydrogenated surfaces agree well with the calculated features.
","[{""version"":""v1"",""created"":""Mon, 30 Oct 1995 16:07:22 GMT""}]","2009-10-28"
"cond-mat/9510167","Thomas Hagenaars","T.J. Hagenaars, J.E. van Himbergen, Jorge V. Jose, and P.H.E. Tiesinga","Vortex reflection at boundaries of Josephson-junction arrays","14 pages RevTex, 9 Postscript figures","Phys. Rev. B. 53 (1996) 2719","10.1103/PhysRevB.53.2719","THU-95/15","cond-mat supr-con",,"  We study the propagation properties of a single vortex in square
Josephson-junction arrays (JJA) with free boundaries and subject to an applied
dc current. We model the dynamics of the JJA by the resistively and
capacitively shunted junction (RCSJ) equations. For zero Stewart-McCumber
parameter $\beta_c$ we find that the vortex always escapes from the array when
it gets to the boundary. For $\beta_c\geq 2.5$ and for low currents we find
that the vortex escapes, while for larger currents the vortex is reflected as
an antivortex at one edge and the antivortex as a vortex at the other, leading
to a stationary oscillatory state and to a non-zero time-averaged voltage. The
escape and the reflection of a vortex at the array edges are qualitatively
explained in terms of a coarse-grained model of a vortex interacting
logarithmically with its image. We also discuss the case when the free
boundaries are at $45$ degrees with respect to the direction of the vortex
motion. Finally, we discuss the effect of self-induced magnetic fields by
taking into account the full-range inductance matrix of the array, and find
qualitatively equivalent results.
","[{""version"":""v1"",""created"":""Tue, 31 Oct 1995 09:09:25 GMT""}]","2009-10-28"
