"adap-org/9509003","Yu Shi","Yu Shi (Dept. of Phys., fudan University, China)","Self-organization, ergodicity breaking, phase transition and
  synchronization in two-dimensional traffic-flow model","16 pages. LaTeX, some minor errors corrected",,,,"adap-org nlin.AO",,"  Analytical investigation is made on the two-dimensional traffic-flow model
with alternative movement and exclude-volume effect between right and up arrows
[Phys. Rev. {\bf A} 46 R6124 (1992)]. Several exact results are obtained,
including the upper critical density above which there are only jamming
configurations, and the lower critical density below which there are only
moving configurations. The observed jamming transition takes place at another
critical density $p_{c}(N)$, which is in the intermidiate region between the
lower and upper critical densities. It is derived that
$p_{c}(N)\,=\,CN^{\alpha}$, where $C$ and $\alpha$ are determined to be
respectively $0.76$ and $-0.14$ from previous numerical simulation. This
transition is suggested to be a second-order phase transition, the order
parameter is found. The nature of self-organization, ergodicity breaking and
synchronization are discussed, Comparison with the sandpile model is made.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 17:35:17 GMT""},{""version"":""v2"",""created"":""Fri, 6 Oct 1995 17:59:42 GMT""},{""version"":""v3"",""created"":""Mon, 20 Nov 1995 09:59:40 GMT""}]","2008-02-03"
"alg-geom/9510006","Yekutieli Amnon","Amnon Yekutieli","Some Remarks on Beilinson Adeles","AMSLaTeX 1.1, 6 pages, to appear in: Proc. AMS (replaced only to fix
  a latex problem)",,,,"alg-geom math.AG",,"  This paper contains two remarks on Beilinson's adeles with values in the De
Rham complex of a scheme. The first is an interpretation, in terms of adeles,
of the decomposition of the De Rham complex on a scheme defined modulo $p^{2}$
(the result of Deligne-Illusie). The second remark is about the possible
relation between adeles and Hodge decomposition. We work out a counter example.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 16:57:07 GMT""},{""version"":""v2"",""created"":""Tue, 10 Oct 1995 18:01:53 GMT""}]","2008-02-03"
"alg-geom/9510007","Yekutieli Amnon","Amnon Yekutieli","Smooth Formal Embeddings and the Residue Complex","33 pages, AMSLaTeX, final version (some corrections, section on
  D-modules omitted), to appear in Canadian Math. J",,,,"alg-geom math.AG",,"  Let \pi : X -> S be a finite type morphism of noetherian schemes. A smooth
formal embedding of X (over S) is a bijective closed immersion X -> \frak{X},
where \frak{X} is a noetherian formal scheme, formally smooth over S. An
example of such an embedding is the formal completion \frak{X} = Y_{/X} where X
\subset Y is an algebraic embedding. Smooth formal embeddings can be used to
calculate algebraic De Rham (co)homology. Our main application is an explicit
construction of the Grothendieck residue complex when S is a regular scheme. By
definition the residue complex is the Cousin complex of \pi^{!} \cal{O}_{S}. We
start with Huang's theory of pseudofunctors on modules with 0-dimensional
support, which provides a graded sheaf \cal{K}^{.}_{X/S}. We then use smooth
formal embeddings to obtain the coboundary operator on \cal{K}^{.}_{X / S}. We
exhibit a canonical isomorphism between the complex (\cal{K}^{.}_{X/S}, \delta)
and the residue complex of Grothendieck. When \pi is equidimensional of
dimension n and generically smooth we show that H^{-n} \cal{K}^{.}_{X/S} is
canonically isomorphic to the sheaf of regular differentials of Kunz-Waldi.
Another issue we discuss is Grothendieck Duality on a noetherian formal scheme
\frak{X}. Our results on duality are used in the construction of
\cal{K}^{.}_{X/S}.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 17:21:46 GMT""},{""version"":""v2"",""created"":""Tue, 17 Oct 1995 15:41:33 GMT""},{""version"":""v3"",""created"":""Wed, 14 Aug 1996 11:28:24 GMT""},{""version"":""v4"",""created"":""Mon, 16 Feb 1998 00:32:56 GMT""}]","2008-02-03"
"astro-ph/9510028","Ramesh Narayan","Ramesh Narayan","Advection-Dominated Models of Luminous Accreting Black Holes","12 pages compressed uuencoded postscript, including 2 figures. To
  appear in Part 1 of The Astrophysical Journal","Astrophys.J. 462 (1996) 136","10.1086/177136",,"astro-ph",,"  It has been found that a class of optically-thin two-temperature
advection-dominated accretion solutions explains many observations of
low-luminosity accreting black holes. Here it is shown that these models give a
satisfactory description also of higher luminosity systems, provided the
viscosity parameter $\alpha$ is large. The models reproduce the spectra of
black hole X-ray binaries in the Low State, and explain the transition from the
Low State to the High State at a critical mass accretion rate. The models also
show that the X-ray/$\gamma$-ray spectra of X-ray binaries and active galactic
nuclei should be similar, as confirmed by observations.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 17:02:41 GMT""}]","2009-10-28"
"astro-ph/9510030","Istvan Szapudi","Istv\'an Szapudi and St\'ephane Colombi","Cosmic Error and the Statistics of Large Scale Structure","28 pages, ps with figures included, except figure 5, which is
  available at http://fnas08.fnal.gov/Publications","Astrophys.J. 470 (1996) 131","10.1086/177855","FERMILAB-Pub-95/330-A, CITA-95-20","astro-ph",,"  We examine the errors on counts in cells extracted from galaxy surveys. The
measurement error, related to the finite number of sampling cells, is
disentangled from the ``cosmic error'', due to the finiteness of the survey.
Using the hierarchical model and assuming locally Poisson behavior, we
identified three contributions to the cosmic error:
  The finite volume effect is proportional to the average of the two-point
correlation function over the whole survey. It accounts for possible
fluctuations of the density field at scales larger than the sample size.
  The edge effect is related to the geometry of the survey. It accounts for the
fact that objects near the boundary carry less statistical weight than those
further away from it.
  The discreteness effect is due to the fact that the underlying smooth random
field is sampled with finite number of objects. This is the ``shot noise''
error.
  Measurements of errors in artificial hierarchical samples showed excellent
agreement with our predictions. The probability distribution of errors is
increasingly skewed when the order $N$ and/or the cell size increases. The
Gaussian approximation is valid only in the weakly non-linear regime, otherwise
it severely underestimates the true errors. We study the concept of ``number of
statistically independent cells'' This number is found to depend highly on the
statistical object under study and is generally quite different from the number
of cells needed to cover the survey volume. In light of these findings, we
advocate high oversampling for measurements of counts in cells.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 18:04:24 GMT""}]","2009-10-28"
"astro-ph/9510031","Craig Wheeler","P. Hoeflich, J.C. Wheeler, D.C. Hines, S.R. Trammell","Analysis of the Polarization and Flux Spectra of SN1993J","36 pages, 12 figures, macros 'aaspp.sty'.For a postscript version
  with high resolution figures, send E-Mail to pah@cfa141.harvard.edu; To
  appear in ""The Astrophysical Journal""",,"10.1086/176894",,"astro-ph",,"  Synthetic polarization and flux spectra are presented for aspherical,
electron scattering-dominated photospheres of Type II supernovae (SN II) in
general and the specific case of SN 1993J using a Monte Carlo scheme.
  The observed luminosity of a Type II supernova depends on the unknown
inclination angle. Spectral analysis alone will fail to detect even strong
deviations from spherical symmetry. Line scattering depolarizes incident
polarized light, but the residual intrinsic polarization does not completely
vanish because of electron scattering effects that depend on the electron
density distribution. By combining results on the polarization and velocity
structure of the emission lines, and the degree of polarization in the
continuum, we place strong constraints on the degree of asphericity, the
inclination of the system and the electron density distribution.
  Both the flux spectra and the percentage of polarization as a function of
wavelength can be reproduced by an aspherical model with an axis ratio of 0.6,
radial electron densities proportional to r**-5 and an effective temperature of
4800 K. In an oblate model, SN1993J is seen almost equator on. The line forming
region is still within the hydrogen rich part of the envelope after 3 weeks,
although the continuum may form in deeper layers. Although the residual
polarization across Halpha is not zero, the interstellar component derived
herein is consistent with that deduced by Trammell et al.(1993). The power of
this technique for investigating the structure of other SN II, as a method for
independently deriving the interstellar polarization, and the implications of
these results on the use of SN II to determine distances through the Baade-
Wesselink method are discussed.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 22:18:32 GMT""},{""version"":""v2"",""created"":""Sun, 8 Oct 1995 23:59:06 GMT""},{""version"":""v3"",""created"":""Thu, 8 Feb 1996 18:36:59 GMT""}]","2016-08-30"
"astro-ph/9510032","Nelson Caldwell","Nelson Caldwell, James Rose, Marijn Franx, and Andrew Leonardi","Spatial Distribution of the Starbursts in Post-Starburst Coma Cluster
  Galaxies","22 pages + 13 of 15 figures, uuencoded gzipped postscript. Text and
  Figs 9 and 10 also available at ftp://flwo99.sao.arizona.edu To appear in
  Jan. AJ",,"10.1086/117762",,"astro-ph",,"  We present long slit spectra and multi-color CCD images which demonstrate
that the strong star formation episodes that occurred in the post-starburst
galaxies in the Coma Cluster and two field galaxies were not restricted to the
central regions of the galaxies. Rather, the remnant young stars from the
starbursts are found to be distributed over a large radius, though changes in
the relative strength of the old and young components with radius are evident
in a few cases. The Coma galaxies are shown to have exponential disk profiles,
and the spectra provide further kinematical evidence that the galaxies are
rotating systems, indicating that the galaxies are not ellipticals. The
starburst material also appears to be distributed in disks. Such information
places constraints on models for the starbursts that involve mergers. Some
emission line galaxies are also discussed.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 22:43:13 GMT""}]","2009-10-28"
"astro-ph/9510033","Nelson Caldwell","Andrew J. Leonardi and James A. Rose","The Ages of Starbursts in Post-Starburst Galaxies","14 pages + 7 figures, uuencoded gzipped postscript. To appear in
  January AJ",,"10.1086/117772",,"astro-ph",,"  We present a new technique for accurately determining the ages of starbursts
in post-starburst galaxies. In particular, it uses the strength of the Ca II H
+ H$\epsilon$ absorption feature relative to that of Ca II K to separate the
effects of burst strength from burst age in a spectrum comprised of a
post-starburst population and an underlying old galaxy population. To test the
technique we have measured spectral indices in the observed spectra of three
post-starburst early-type galaxies. The three galaxies are shown to have
different post-starburst ages, ranging from 0 Gyr to 1.5 Gyr after completion
of the burst. We also demonstrate that if the burst contributes greater than
50\% of the light at 4000 \AA \ then the technique can distinguish between a
post-starburst systems and models in which a constant star formation history is
suddenly truncated, such as that which could occur in a spiral that is rapidly
stripped of its interstellar medium. Finally, we demonstrate that while the
technique is well-suited for determining the time elapsed since the termination
of a starburst (up until 2 Gyr after the end of the burst), the derived
termination times are relatively insensitive to the duration of the burst.
","[{""version"":""v1"",""created"":""Thu, 5 Oct 1995 23:03:55 GMT""}]","2009-10-28"
"astro-ph/9510034","Ben Moore","Ben Moore, Neal Katz, George Lake, Alan Dressler & Augustus Oemler","Galaxy Harassment and the Evolution of Clusters of Galaxies","Submitted to Nature. Latex file, 7 pages, 10 photographs in gif and
  jpeg format included. 10 compressed postscript figures and text available
  using anonymous ftp from ftp://ftp-hpcc.astro.washington.edu/pub/hpcc/moore/
  (mget *) Also available at http://www-hpcc.astro.washington.edu/papers/","Nature 379 (1996) 613","10.1038/379613a0",,"astro-ph",,"  Disturbed spiral galaxies with high rates of star formation pervaded clusters
of galaxies just a few billion years ago, but nearby clusters exclude spirals
in favor of ellipticals. ``Galaxy harassment"" (frequent high speed galaxy
encounters) drives the morphological transformation of galaxies in clusters,
provides fuel for quasars in subluminous hosts and leaves detectable debris
arcs. Simulated images of harassed galaxies are strikingly similar to the
distorted spirals in clusters at $z \sim 0.4$ observed by the Hubble Space
Telescope.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 02:07:41 GMT""}]","2009-10-28"
"astro-ph/9510035","Stefano Borgani","Stefano Borgani","Advanced Statistical Methods for Large-Scale Structure Studies","26 pages, uuencoded compressed postscript file including text and 4
  figures. Proc. ``International School of Physics Enrico Fermi'', Course
  CXXXII: Dark Matter in the Universe, Varenna 1995, eds.: S. Bonometto, J.
  Primack, A. Provenzale, IOP, to appear",,,,"astro-ph",,"  These Lecture Notes are devoted to an introductory description of some of the
most widely applied statistical methods for the analysis of the Large-Scale
Structure (LSS) of the Universe. Rather than providing technical details about
the implementation of such methods, I concentrate more on their significance
and on the statistical information they provide in the comparison between data
and LSS formation models. I introduce the concept of correlation functions and
their connection with the count-in-cell statistics of a point distribution.
Also some geometrical descriptions of the LSS, like the void probability
function and the topological genus characteristics, are briefly reviewed.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 11:35:58 GMT""}]","2007-05-23"
"astro-ph/9510036","J. Kirk","Lewis Ball (Research Centre for Theoretical Astrophysics, University
  of Sydney, NSW, Australia) J.G. Kirk (Max-Planck-Institut fuer Kernphysik,
  Heidelberg, Germany)","The Acceleration of Electrons In Radio Supernova SN1986J","4 pages compressed encoded postscript, to appear in A&A Letters","Astron.Astrophys.303:L57,1995",,"MPK-ASTRO-95-18","astro-ph",,"  We propose a model for radio supernovae (RSN) based on the synchrotron
emission from relativistic electrons which are diffusively accelerated at the
expanding supernova shock. This model was originally developed for application
to the optically thin emission observed from SN1987A. Here we generalise it by
including the effects of free-free absorption from both an external screen and
from material internal to the source, and by relaxing the restriction to an
azimuthal B-field. We find a good fit to the entire set of radio data for the
best observed highly-luminous RSN -- SN1986J -- with a reduced \chi^2 of 3.85.
Applying the new model to SN1988Z, another intrinsically bright RSN, also
yields a good fit (\chi^2_{\rm red}\approx 2) but this is less significant,
because of the limited data on this distant (z=0.02) source. These fits suggest
that the shock expands at constant speed, that the magnetic field within the
source decreases with time according to t^{-2}, and that the compression ratio
of the shock front is close to the value expected of a strong shock in an ideal
gas of adiabatic index 5/3 -- indicating a relatively low value of the cosmic
ray pressure compared with SN1987A. In the case of SN1986J we derive an
explosion date in August/September 1982, a magnetic field at the position of
the shock 1000 days after explosion of 4nT and a spatial diffusion coefficient
of the electrons of 4 10^{19} cm^2/s, four orders of magnitude greater than the
Bohm value. In addition, we obtain the optical depths to external and internal
absorption, and derive an estimate of the mass-loss rate.
","[{""version"":""v1"",""created"":""Fri, 6 Oct 1995 11:50:44 GMT""}]","2011-05-23"
