"adap-org/9512001","M. Ploszajczak","Robert Botet and Marek Ploszajczak","Scaling and universality in binary fragmenting with inhibition","14 pages, latex file, figures available upon request; Physica A, in
  print",,"10.1016/0378-4371(95)00337-1","GANIL preprint: GANIL 94-28","adap-org nlin.AO",,"  We investigate a new model of binary fragmentation with inhibition, driven by
the white noise. In a broad range of fragmentation probabilities, the power-law
spatiotemporal correlations are found to arise due to self-organized
criticality (SOC). We find in the SOC phase a non-trivial power spectrum of the
temporal sequence of the fragmentation events. The $1/f$~ behaviour is
recovered in the irreversible, near-equilibrium part of this phase.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 09:57:28 GMT""}]","2015-06-24"
"astro-ph/9512074","Jonathan Katz","J. I. Katz and L. M. Canel","Two Classes of Gamma-Ray Bursts","6pp, tex, no figures",,,"WU-JIK-95-2","astro-ph",,"  Data from the 3B Catalogue suggest that short and long GRB are the results of
different classes of events, rather than different parameter values within a
single class: Short bursts have harder spectra in the BATSE bands, but chiefly
long bursts are detected at photon energies over 1 MeV, implying that their
hard photons are radiated by a process not found in short bursts. The values of
\langle V/V_{max} \rangle for short and long bursts differ by 4.3 \sigma,
implying different spatial distributions. Only the soft gamma-ray radiation
mechanisms are the same in both classes.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 17:18:25 GMT""}]","2007-05-23"
"astro-ph/9512075","Fred Rasio","Frederic A. Rasio (MIT)","SPH Calculations of Collisions between Main-Sequence Stars","uuencoded compressed postscript, 10 pages including one figure. To
  appear in IAU Symposium 174, Dynamical Evolution of Star Clusters, eds. P.
  Hut and J. Makino. Also available from http://ensor.mit.edu/~rasio/",,,,"astro-ph",,"  The hydrodynamics of collisions and mergers of main-sequence stars is
discussed in the light of recent 3-D calculations using the smoothed particle
hydrodynamics (SPH) method. Theoretical models for the formation of blue
stragglers are reviewed in the context of recent comparisons between the
observed properties of blue stragglers in dense globular clusters and the
predictions of those models.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 18:44:25 GMT""}]","2007-05-23"
"astro-ph/9512076","Tom S. Statler","Thomas S. Statler (U. of North Carolina, Chapel Hill and Ohio U.),
  Tammy Smecker-Hane (Dominion Astrophys. Obs. and U. of California at Irvine),
  and Gerald N. Cecil (U. of North Carolina, Chapel Hill)","The Post-Merger Elliptical NGC 1700: Stellar Kinematic Fields to Four
  Effective Radii","To appear in Astron. J., March 1996. 33 pages, uuencoded gzipped
  Postscript, figures included. Also available from
  http://www.phy.ohiou.edu/~tss/preprints.html",,"10.1086/117893",,"astro-ph",,"  We have measured the stellar motions in the elliptical galaxy NGC 1700 along
four position angles, to very large radii, using absorption features in spectra
obtained with the Multiple Mirror Telescope. Our data extend the coverage of
the stellar velocity field by a factor of 5 (2.5 times further in radius and
twice as many PAs) beyond previous work. We have attained 10 km/s accuracy in
the mean velocity out to nearly 2 effective radii (r_e), and errors are < 15%
of the maximum rotation speed out to nearly 3 r_e. The lack of detectable
minor-axis rotation and the nearly identical kinematics on the +/- 45 degree
PAs suggest that NGC 1700 is nearly oblate for r < 2.5 r_e. Beyond this radius,
twisting of the morphological and kinematic axes indicate increasing
triaxiality, an intrinsic twist, or both. The velocity distribution in the
low-amplitude counterrotating core is weakly skewed in the direction of
rotation, arguing against a central stellar disk. The small skewness and the
depression of the central velocity dispersion are consistent with the accretion
of a low-mass stellar companion in a retrograde orbit. Photometric fine
structure at large radii (Schweizer \& Seitzer 1992) is also indicative of a
merger; a velocity reversal 50 arcsec northeast suggests a major event.
However, radially increasing prograde rotation in the main body of the galaxy
implies that this was not the same event responsible for the counterrotating
core. The strong rotation at large R and the nearly oblate shape are consistent
with N-body simulations of group mergers (Weil 1995); that all disturbances
inside 2.5 r_e have phase-mixed out suggests that NGC 1700 owes its present
form to a merger of 3 or more stellar systems 2 to 4 h^-1 Gyr ago.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 19:07:14 GMT""}]","2009-10-28"
"astro-ph/9512077","Arjun Dey","Arjun Dey (NOAO/KPNO) and Hyron Spinrad (UC Berkeley)","The Radio Galaxy 3C265 Contains a Hidden Quasar Nucleus","26 pages (including figures) in gzip-ed uuencoded compressed
  postscript format. Accepted for publication in ApJ, March 1, 1996 issue",,"10.1086/176874",,"astro-ph",,"  We report the discovery of broad MgII emission from the high redshift radio
galaxy 3C265 (z=0.81). We detect the broad line in the nuclear spectrum and in
the spatially extended galaxian component, both near the nucleus and in the
spectrum of an off-nuclear knot located 31 kpc south east of the nucleus of the
galaxy. These data provide strong support for the simplest form of the
unification hypothesis, that radio galaxies are quasars whose optical radiation
is directed in the plane of the sky rather than into our line of sight. These
data also strongly support the scattering model for the alignment of the UV
continuum emission with the radio axis. In 3C265, if the axis of the
anisotropically emitted UV continuum radiation is identified with the major
axis of the radio source, then the observed rest frame UV continuum emission
implies that the opening angle of the radiation cone is large (half angle
approximately 45 degrees). We also derive a mass estimate of 8x10^{10} Msun for
the central region of 3C265 from its rotation curve. The implied mass-to-light
ratio is low (M/L is roughly 2), and suggests that a significant fraction of
the rest frame UV continuum emission from this galaxy is dominated by
reprocessed radiation from the buried AGN. Finally, we detect the
CaII\lambda3933 K line in absorption in the integrated spectrum of 3C265. This
provides direct spectroscopic evidence for the existence of stars in a high
redshift radio galaxy.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 18:41:04 GMT""}]","2009-10-28"
"astro-ph/9512078","J. Michael Owen","J. Michael Owen, Jens V. Villumsen, Paul R. Shapiro, Hugo Martel","Adaptive Smoothed Particle Hydrodynamics: Methodology II","92 pages, includes 58 Postscript figures. Accepted for ApJS. Several
  discussions expanded and 3-D tests added compared with previous version.
  Higher resolution version available at
  http://www.astronomy.ohio-state.edu/~owen/Pubs.html . Inquiries to
  mikeowen@llnl.gov",,"10.1086/313100",,"astro-ph",,"  This paper presents an alternative formulation of the ASPH algorithm for
evolving anisotropic smoothing kernels, in which the geometric approach of
Shapiro et al. (1996; Paper I) is replaced by an approach involving a local
transformation of coordinates to those in which the underlying anisotropic
volume changes appear to be isotropic. The ASPH method is presented in 2D and
3D, including a number of details not previously included in Paper I, some of
which represent either advances or different choices with respect to Paper I.
Among the advances included here are an asynchronous time-integration scheme
with different time steps for different particles and the generalization of the
ASPH method to 3D. The shock-tracking algorithm described in Paper I for
locally adapting the artificial viscosity to restrict viscous heating just to
particles encountering shocks, is not included here. Instead, we adopt a
different interpolation kernel for use with the artificial viscosity, which has
the effect of spatially localizing effects of the artificial viscosity. This
version of the ASPH method in 2D and 3D is then applied to a series of 1D, 2D,
and 3D test problems, and the results are compared to those of standard SPH
applied to the same problems. These include the problem of cosmological pancake
collapse, the Riemann shock tube, cylindrical and spherical Sedov blast waves,
the collision of two strong shocks, and problems involving shearing disks
intended to test the angular momentum conservation properties of the method.
These results further support the idea that ASPH has significantly better
resolving power than standard SPH for a wide range of problems, including that
of cosmological structure formation. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 19:17:09 GMT""},{""version"":""v2"",""created"":""Wed, 24 Dec 1997 19:34:37 GMT""}]","2015-06-24"
"astro-ph/9512079","Ed Stoeffhaas","S. Barwick, F. Halzen, and P.B. Price","The Search for Neutrino Sources Beyond the Sun","17 pages, plain Latex, 8 figures incorporated using epsf.sty.
  Compressed postscript file including figures also available from
  http://phenom.physics.wisc.edu/pub/preprints/1995/madph-95-915.ps.Z or from
  ftp://phenom.physics.wisc.edu/pub/preprints/1995/madph-95-915.ps.Z","Int.J.Mod.Phys. A11 (1996) 3393-3414","10.1142/S0217751X96001620","MADPH-95-915","astro-ph hep-ph",,"  The hope is that in the near future neutrino astronomy, born with the
identification of thermonuclear fusion in the sun and the particle processes
controlling the fate of a nearby supernova, will reach throughout and beyond
our Galaxy and make measurements relevant to cosmology, astrophysics,
cosmic-ray and particle physics. The construction of a high-energy neutrino
telescope requires a huge volume of very transparent, deeply buried material
such as ocean water or ice, which acts as the medium for detecting the
particles. The AMANDA muon and neutrino telescope, now operating 4 strings of
photomultiplier tubes buried in deep ice at the South Pole, is scheduled to be
expanded to a 10-string array. The data collected over the first 2 years cover
the 3 basic modes in which such instruments are operated: i) the burst mode
which monitors the sky for supernovae, ii) the detection of electromagnetic
showers initiated by PeV-energy cosmic electron neutrinos, and iii) muon
trajectory reconstruction for neutrino and gamma-ray astronomy. We speculate on
the possible architectures of kilometer-scale instruments, using early data as
a guideline.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 20:14:49 GMT""}]","2009-10-28"
"astro-ph/9512080","Ed Stoeffhaas","F. Halzen, J.E. Jacobsen, and E. Zas","Ultra-Transparent Antarctic Ice as a Supernova Detector","9 pages, Revtex file, no figures. Postscript file also available from
  http://phenom.physics.wisc.edu/pub/preprints/1995/madph-95-888.ps.Z or from
  ftp://phenom.physics.wisc.edu/pub/preprints/1995/madph-95-888.ps.Z","Phys.Rev.D53:7359-7361,1996","10.1103/PhysRevD.53.7359","MADPH-95-888","astro-ph hep-ph",,"  We have simulated the response of a high energy neutrino telescope in deep
Antarctic ice to the stream of low energy neutrinos produced by a supernova.
The passage of a large flux of MeV-energy neutrinos during a period of seconds
will be detected as an excess of single counting rates in all individual
optical modules. We update here a previous estimate of the performance of such
an instrument taking into account the recent discovery of absorption lengths of
several hundred meters for near-UV photons in natural deep ice. The existing
AMANDA detector can, even by the most conservative estimates, act as a galactic
supernova watch.
","[{""version"":""v1"",""created"":""Tue, 12 Dec 1995 20:26:41 GMT""}]","2014-10-13"
"astro-ph/9512081","Tomek Bulik","Tomasz Bulik and George Pavlov","Polarization Modes in a Strongly Magnetized Hydrogen Gas","LaTeX uses AAS macros, 30 pages, 8 postscript figures in a separate
  file",,"10.1086/177787",,"astro-ph",,"  We investigate the properties of the normal modes in a strongly magnetized
hydrogen gas for conditions expected in atmospheres of isolated neutron stars.
  We derive and compute the polarizations and absorption coefficients of the
normal modes from the polarizabily tensor using both analytical approximations
and numerical calculations. We find that the spectral features and anisotropy
associated with the bound-bound and bound-free transitions in the magnetized
hydrogen are manifested in the polarization characteristics, which affects
substantially the spectral and angular dependences of the absorption
coefficients of the normal modes and the transfer of radiation in neutron star
atmospheres.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 11:59:16 GMT""}]","2016-08-30"
"astro-ph/9512082","Dr N. Evans","P.T. de Zeeuw (Leiden), N.W. Evans (Oxford), M. Schwarzschild
  (Princeton)","Jeans and Boltzmann Solutions for Oblate Galaxies with Flat Rotation
  Curves","15 pages, compressed postscript file with 7 figures","Mon.Not.Roy.Astron.Soc. 280 (1996) 903","10.1093/mnras/280.3.903",,"astro-ph",,"  A general solution of the Jeans equations for oblate scale-free logarithmic
potentials is given. This provides all possible second velocity moments that
can hold up a stellar population of flattened scale-free density against the
gravity field. A two-parameter subset of second moments for the self-consistent
density of Binney's model is examined in detail. These solutions have the
desirable property that the observable dispersions in the radial and proper
motions can be given explicitly. In the spherical limit, the potential of these
models reduces to that of the singular isothermal sphere. The Jeans solutions
for scale-free densities of arbitrary flattening that can correspond to
physical three-integral distribution functions are identified. The problem of
finding distribution functions associated with the Jeans solutions in flattened
scale-free logarithmic potentials is then investigated for Binney's model. An
approximate solution of the collisionless Boltzmann equation is found which
provides a third (partial) integral of good accuracy for thin and near-thin
tube orbits. It is a modification of the total angular momentum. This enables
the construction of many simple three-integral distribution functions. The
kinematic properties of these approximate DFs are shown to agree with a subset
of the Jeans solutions --- which are thereby confirmed as good approximations
to physical solutions.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 12:53:50 GMT""}]","2015-06-24"
"astro-ph/9512083","Simone Bianchi","Simone Bianchi, Andrea Ferrara, Carlo Giovanardi","Monte Carlo simulations of dusty spiral galaxies: extinction and
  polarization properties","43 pages, 13 Postscript figures, Latex AAS manuscript substyle, Ap.
  J. Accepted",,"10.1086/177407",,"astro-ph",,"  We present Monte Carlo simulations of dusty spiral galaxies, modelled as
bulge + disk systems, aimed to study their extinction and polarization
properties. The extinction parameters (absorption and scattering) of dust
grains are calculated from Mie's theory for a full distribution of sizes and
materials; the radiation transfer is carried on for the four Stokes parameters.
Photometric and polarimetric maps of galaxies of different optical depths,
inclinations and bulge-to-total ratios have been produced in the B and I
bandpasses. As expected, the effect of scattering is to reduce substantially
the extinction for a given optical depth, in particular for what concerns the
obscuration of bright bulge cores. For the same reason, scattering reduces also
the reddening, as evaluated from B-I maps. On the other hand the bluing
directly due to forward scattering is hardly appreciable. Radial color
gradients are often found. A comparison with ``sandwich'' models shows that
they fail dramatically to reproduce the extinction - optical depth relation.
The degree of linear polarization produced by scattering is usually of the
order of a few percent; it increases with optical depth, and with inclination
(less than 80 degrees). The polarization pattern is always perpendicular to the
major axis, unless the dust distribution is drastically modified. There is
little local correlation between extinction and polarization degree and there
is a trend of increasing polarization from the B to the I band. We discuss
implications and relevance of the results for studies of the structure and
morphology of spiral galaxies and of their interstellar medium.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 15:17:05 GMT""}]","2009-10-28"
"astro-ph/9512084","Gerard Williger","E. J. Wampler, G. M. Williger, J. A. Baldwin, R. F. Carswell, C.
  Hazard, R. G. McMahon","High Resolution Observations of the QSO BR1202-0725: Deuterium and Ionic
  Abundances at Redshifts Above z=4","23 pages, including 5 Postscript figures, in gzip-ed uuencoded
  postscript format. Accepted for publication in A&A",,,,"astro-ph",,"  We present results from 12 km/s resolution echelle spectroscopy of the bright
$z=4.694$ QSO BR1202-0725. A preliminary analysis shows that high metallicity
narrow line absorption clouds are present up to the redshift of the quasar. A
damped Ly$\alpha$ system with an HI column density of $3.1 \times 10^{20}$
cm$^{-2}$ at $z=4.383$ has an [O/H] ratio that is about 0.01 solar, while
another absorption system with an HI column density of $5.0 \times 10^{16}$
cm$^{-2}$ at $z=4.672$, may have an O/H ratio that is twice solar. An upper
limit, or the possible detection of deuterium in this absorption cloud gives a
D/H ratio of about 1.5\,10$^{-4}$. Because this cloud is metal rich at least
some of the cloud gas has been processed after the beginning of the Universe.
","[{""version"":""v1"",""created"":""Wed, 13 Dec 1995 14:31:07 GMT""}]","2007-05-23"
