"astro-ph/9505069","Jorge Cervantes","J.L. Cervantes-Cota and H. Dehnen","Induced gravity inflation in the standard model of particle physics","20 pages,4 figures using epsf, Latex","Nucl.Phys. B442 (1995) 391-412","10.1016/0550-3213(95)00128-X",,"astro-ph hep-th",,"  We are considering the cosmological consequences of an induced gravity theory
coupled to the minimal standard model of particle physics. The non-minimal
coupling parameter between gravity and the Higgs field must then be very large,
yielding some new cosmological consequences for the early Universe and new
constraints on the Higgs mass. As an outcome, new inflation is only possible
for very special initial conditions producing first a short contraction era
after which an inflationary expansion automatically follows; a chaotic
inflationary scenario is successfully achieved. The contrast of density
perturbations required to explain the seed of astronomic structures are
obtained for very large values of the Higgs mass ($M_{H} >> G_{F}^{-1/2}$),
otherwise the perturbations have a small amplitude; in any case, the spectral
index of scalar perturbations agrees with the observed one.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 19:00:03 GMT""}]","2009-10-28"
"astro-ph/9505070","M. H. van Kerkwijk","M.H. van Kerkwijk (Univ. of Amsterdam, Caltech), J. van Paradijs
  (Univ. of Amsterdam, Univ. of Alabama in Huntsville), E.J. Zuiderwijk (Univ.
  of Groningen, RGO), G. Hammerschlag-Hensberge (Univ. of Amsterdam), L. Kaper
  (Univ. of Amsterdam, ESO), C. Sterken (Univ. of Brussels)","Spectroscopy of HD 77581 and the mass of Vela X-1","14 pages, incl. 7 out of 8 figures, of compressed, uuencoded
  postscript. Accepted for publication in A&A. For 8th figure (1Mbyte), or in
  case of problems, contact mhvk@astro.caltech.edu (paper replaced because
  figure was too large)","Astron. Astroph. 303, 483 (1995)",,,"astro-ph",,"  We present new high-resolution, high signal-to-noise optical spectra of HD
77581, the optical counterpart of the X-ray source Vela X-1, and determine
radial velocities from these spectra, as well as from high-resolution IUE
spectra and from digitized photographic spectra. The measured velocities show
strong deviations from a pure Keplerian radial-velocity curve, which are
autocorrelated within one night, but not from one night to another. Since lines
of different ions exhibit very similar changes in profile, these deviations
most likely reflect large-scale motions of the stellar surface akin to
non-radial pulsations. A possible cause could be that the varying tidal force
exerted by the neutron star in its eccentric orbit excites high-order pulsation
modes in the optical star which interfere constructively for short time
intervals. The effect of such velocity excursions on the orbital solution is
estimated by means of a Monte-Carlo simulation technique. We investigate
sources of systematic error, due to, e.g., the tidal deformation of the star,
and find, in particular, evidence for a systematic perturbation of the radial
velocity near the time of velocity minimum. This possible distortion severely
compromises the accuracy of the radial-velocity amplitude, leading to a 95\%
confidence range of 18.0--28.2\,\kms. The corresponding 95\% confidence limits
of the masses are given by $\MX=1.9_{-0.5}^{+0.7}\,\Msun$ and
$\Mopt=23.5_{-1.5}^{+2.2}\,\Msun$.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 20:56:09 GMT""}]","2007-05-23"
"astro-ph/9505071","M. H. van Kerkwijk","M.H. van Kerkwijk (Univ. of Amsterdam, Caltech), J. van Paradijs
  (Univ. of Amsterdam, Univ. of Alabama in Huntsville), E.J. Zuiderwijk (Univ.
  of Groningen, RGO)","On the masses of neutron stars","5 pages of compressed, uuencoded postscript (text+figure). Accepted
  for publication in A&A. In case of problems, contact mhvk@astro.caltech.edu","Astron.Astrophys.303:497,1995",,,"astro-ph",,"  We analyze the currently available observations of X-ray binaries in a
consistent way, to re-determine the masses of the neutron stars in these
systems. In particular, our attention is focussed on a realistic and consistent
assessment of observational uncertainties and sources of systematic error.
Confidence limits for these new mass estimates are generally less optimistic
than previously assumed. The available observations, including data on six
radio pulsars, do not firmly constrain the equation of state of neutron star
matter. In particular, a firm upper mass limit cannot yet be established. An
improvement of the accuracy of optical data holds the key to further progress.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 20:59:53 GMT""}]","2011-05-23"
"astro-ph/9505072","Ravi P. Pilla","Ravi P. Pilla and Jacob Shaham (Columbia University)","Non-thermal radiative pair plasmas: processes and spectra","5 pages, uuencoded postscript file",,,"CAL 569","astro-ph",,"  We study the emission and absorption spectra due to various photon and pair
processes in a non-equilibrium pair plasma containing a significant density of
photons. We present here some preliminary results from Monte-Carlo simulations.
These investigations are likely to be useful in understanding the radiation and
relaxation mechanisms in non-thermal gamma-ray sources in astrophysics.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 03:13:35 GMT""}]","2007-05-23"
"astro-ph/9505074","Phil Crane","Philippe Crane (European Southern Observatory)","Towards Understanding the Nuclues of M31","17 pages compressed uuencoded postscript file includes 4 figures",,,,"astro-ph",,"  A simple model of the nucleus of M31 based on {\it HST} images and ground
based spectroscopy is used to investigate the properties of the double nucleus
in M31. The model reproduces the general properties observed in the nucleus of
M31. In particular, it produces symmetric rotation curves, and shifts of the
velocity dispersion peak in the sense observed. Within the constraints of the
model, the brightest point in the $V$ band in the nucleus is confirmed to be
physically near to the dynamical center of M31 and not seen in projection along
the line of sight. The velocity and velocity dispersion of this object can be
constrained. This implies that P2 is colliding with M31 and likely to be in the
process of being tidally disrupted.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 08:23:17 GMT""}]","2007-05-23"
"astro-ph/9505075","Wolfgang Steffen","W. Steffen, J. A. Zensus, T. P. Krichbaum, A. Witzel, S. J. Qian","A Helical Model for the Compact Jet in 3C345","compressed PostScript-File, 8 pages, incl. figures, 147kb",,,,"astro-ph",,"  We present a simple model for the apparent superluminal motion along curved
trajectories of features observed in the compact radio jet of the quasar 3C345.
The model is inspired by the magneto-hydrodynamic approach of Camenzind (1986),
and assumes a conical geometry of the jet within about three milliarcseconds of
the radio core. Simultaneous conservation of three out of four physical
parameters is used to derive analytic solutions for the equation of motion of
the idealized jet features. These are the jet's kinetic energy, angular
momentum, and momentum along the jet axis. Conservation of angular momentum is
required to fit the observed trajectories at distances larger than 3
milliarcsec, in agreement with the kinematic predictions of Camenzind's model.
The best-fit model variant preserves angular momentum, kinetic energy, and
opening angle, with an inclination of the jet axis to the line of sight 6.8
degrees, an opening angle 0.95 degrees, and Lorentz factors 5.8 and 4.6 for
components C4 and C5, respectively (H_o=100 km/(s Mpc)). The model ignores
turbulent small-scale motion of the jet components, and it does not take into
account the overall bending of the jet beyond about 4 milliarcseconds,
restricting it's applicability to the inner few milliarcseconds from the core.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 09:36:20 GMT""}]","2007-05-23"
"astro-ph/9505076",,"S.Ghizzardi and S.A.Bonometto","Phase--space Distribution of Volatile Dark Matter","14 pages, latex. Figures in a separated uuencoded, compressed, tarred
  PostScript file. Figures are also available upon request","Astron.Astrophys.307:697-702,1996",,,"astro-ph",,"  We discuss the phase--space distribution of $\mu$ neutrinos if $\tau$
neutrinos are unstable and decay into $\nu_\mu + scalar$. If this scalar is a
familon or a Majoron, in the generic case the $\nu_\mu$ background is NOT the
straightforward overlap of neutrinos of thermal and decay origins. A delay in
$\nu_\tau$ decay, due to the Pauli exclusion principle, can modify it in a
significant way. We provide the equations to calculate the $\nu_\mu$
distribution and show that, in some cases, there exists a good approximate
solution to them. However, even when such solution is not admitted, the
equations can be numerically solved following a precise pattern. We give such a
solution for a number of typical cases. If $\nu_\mu$ has a mass $\sim 2$ eV and
the see--saw argument holds, $\nu_\tau$ must be unstable and the decay into
$\nu_\mu + scalar$ is a reasonable possibility. The picture leads to a delayed
equivalence redshift, which could allow to reconcile COBE data with a bias
parameter $b\ge 1$.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 09:01:20 GMT""}]","2011-05-23"
"astro-ph/9505077","Gavin B. Dalton","G.B. Dalton","THE APM CLUSTER SURVEY: CLUSTER DETECTION AND LARGE-SCALE STRUCTURE","to appear in Proceedings of the XXXth Moriond Conference. 4 pages,
  gzipped, uuencoded postscript (inc. 2 figures)",,,,"astro-ph",,"  The APM Cluster Survey was based on a modification of Abell's original
classification scheme for galaxy clusters. Here we discuss the results of an
investigation of the stability of the statistical properties of the cluster
catalogue to changes in the selection parameters. For a poor choice of
selection parameters we find clear indications of line-of-sight clusters, but
there is a wide range of input parameters for which the statistical properties
of the catalogue are stable. We conclude that clusters selected in this way are
indeed useful as tracers of large-scale structure.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 09:34:52 GMT""}]","2007-05-23"
"astro-ph/9505078","Avi Loeb","Matthias Bartelmann and Abraham Loeb (Harvard Univ.)","GRAVITATIONAL LENSING OF QUASARS BY THEIR DAMPED LYMAN-ALPHA ABSORBERS","20 pages, uuencoded compressed postscript file, 6 figures included","Astrophys.J. 457 (1996) 529","10.1086/176749",,"astro-ph",,"  Damped Lyman-alpha absorbers are believed to be associated with galactic
disks. We show that gravitational lensing can therefore affect the statistics
of these systems. First, the magnification bias due to lensing raises faint
QSOs above a given magnitude threshold and thereby enhances the probability for
observing damped absorption systems. Second, the bending of light rays from the
source effectively limits the minimum impact parameter of the line-of-sight
relative to the center of the absorber, thus providing an upper cut-off to the
observed neutral hydrogen (HI) column density. The combination of these effects
yields a pronounced peak in the observed abundance of absorbers with high
column densities (>2*10^{21} cm^{-2}) and low redshifts (z<1). The inferred
value of the cosmological density parameter of neutral hydrogen, Omega_{HI},
increases with increasing redshift and luminosity of the sources even if the
true HI density remains constant. This trend resembles the observed evolution
of Omega_{HI}(z). Damped Lyman-alpha absorbers with column densities >10^{21}
cm^{-2} and redshifts 0.5<z<1 are reliable flags for lensed QSOs with a close
pair of images separated by 0.3 arcsec. Detection of these gravitational
lensing signatures with the Hubble Space Telescope can be used to constrain the
depth of the absorber potential-wells and the cosmological constant.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 13:59:13 GMT""}]","2009-10-28"
"astro-ph/9505081","Biman B. Nath","Biman B. Nath and Masashi Chiba","DWARF GALAXIES AND THE ORIGIN OF INTRACLUSTER MEDIUM","16 pages (plain TeX file) with 3 postscript figures in a single
  uuencoded, compressed and tarred file. To be published in The Astrophysical
  Journal","Astrophys.J. 454 (1995) 604","10.1086/176514",,"astro-ph",,"  Following the recent suggestion that it is dwarf galaxies in clusters -- as
opposed to large ellipticals -- that provide the intracluster gas, we estimate
the metallicity of the intracluster medium (ICM) in such a case. We derive
analytical expressions for the fraction of mass of dwarf galaxies that is
ejected, and estimate the metallicity of the resulting intracluster gas. We
find that the metallicity resulting from this hypothesis is adequate only for
clusters with low-metallicity gas. Since galactic winds from dwarf galaxies
occur much earlier than those from ellipticals, due to the smaller binding
energy of the gas, we show that the gas ejected by dwarf galaxies is enriched
mostly by Type II supernovae, as opposed to Type I supernovae in the case of
large galaxies. We further point out that the gas in small scale structures,
which never cools and forms stars due to low temperatures and, consequently,
large cooling time scale, gets dispersed in the process of hierarchical
clustering, and is incorporated as the diffuse intracluster gas. We show that
this process can provide enough hot gas to be compatible with X-ray
observations in rich clusters.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 11:27:38 GMT""}]","2009-10-28"
"chao-dyn/9505010","Giovanni Gallavotti","G. Benfatto, G. Gallavotti, L. Lebowitz","Disorder in the 1D spinless Holstein model","13 pages, Plain TeX, 1 figure automatically produced in postscript","Helvetica Physica Acta, 68, 312--327, 1995",,,"chao-dyn nlin.CD",,"  We investigate a spinless fermion system on a one dimensional lattice
interacting locally with the optical modes of a quantized phonon field: the
Holstein model. The system is shown to have a disordered ground state, for
small enough coupling, at any density. This is in contrast to the non quantized
phonon case, the static Holstein model, which at half filling has an ordered
ground state for all couplings.
","[{""version"":""v1"",""created"":""Tue, 16 May 1995 17:09:04 GMT""}]","2008-02-26"
