"adap-org/9504007","Theodore C. Belding","Theodore C. Belding (University of Michigan CSE Division)","The Distributed Genetic Algorithm Revisited","8 pages. uuencoded, gnuzipped PostScript. To appear in ICGA-95",,,,"adap-org nlin.AO",,"  This paper extends previous work done by Tanese on the distributed genetic
algorithm (DGA). Tanese found that the DGA outperformed the canonical serial
genetic algorithm (CGA) on a class of difficult, randomly-generated Walsh
polynomials. This left open the question of whether the DGA would have similar
success on functions that were more amenable to optimization by the CGA. In
this work, experiments were done to compare the DGA's performance on the Royal
Road class of fitness functions to that of the CGA. Besides achieving
superlinear speedup on KSR parallel computers, the DGA again outperformed the
CGA on the functions R3 and R4 with regard to the metrics of best fitness,
average fitness, and number of times the optimum was reached. Its performance
on R1 and R2 was comparable to that of the CGA. The effect of varying the DGA's
migration parameters was also investigated. The results of the experiments are
presented and discussed, and suggestions for future research are made.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 03:42:52 GMT""}]","2008-02-03"
"alg-geom/9505003","Atsushi Moriwaki","Atsushi Moriwaki","Bogomolov conjecture over function fields for stable curves with only
  irreducible fibers (Version 2.0)","21 pages (with 1 figure), AMSLaTeX version 1.2 (In this version 2.0,
  the restriction of characteristic is removed.)",,,,"alg-geom math.AG",,"  Let K be a function field and C a non-isotrivial curve of genus g >= 2 over
K. In this paper, we will show that if C has a global stable model with only
geometrically irreducible fibers, then Bogomolov conjecture over function
fields holds.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 05:27:50 GMT""},{""version"":""v2"",""created"":""Thu, 22 Jun 1995 18:45:50 GMT""}]","2008-02-03"
"alg-geom/9505004","Ichiro Shimada","Ichiro Shimada","A weighted version of Zariski's hyperplane section theorem and
  fundamental groups of complements of plane curves","Plain TeX",,,"MPI preprint 95/26","alg-geom math.AG",,"  We formulate and prove a weighted version of Zariski's hyperplane section
theorem on the topological fundamental groups of the complements of
hypersurfaces in a projective space. As an application, we calculate
fundamental groups of the complements of certain singular projective plane
curves.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 10:01:28 GMT""}]","2008-02-03"
"ao-sci/9505001","Brian Soden","Brian J. Soden, Francis P. Bretherton","Interpretation of TOVS Water Vapor Radiances Using a Random Strong Line
  Model","Submitted to the Journal of Geophysical Research, 20 pages, text
  only, figures may are available at
  ftp://www.gfdl.gov/pub/bjs/www/tovs-rsl.figs.ps.Z",,,,"ao-sci physics.ao-ph",,"  This study illustrates the application of a random strong line (RSL) model of
radiative transfer to the interpretation of satellite observations of the
upwelling radiation in the 6.3 micron water vapor absorption band. The model,
based upon an assemblage of randomly overlapped, strongly absorbing, pressure
broadened lines, is compared to detailed radiative transfer calculations of the
upper (6.7 micron) tropospheric water vapor radiance and demonstrated to be
accurate to within ~ 1.2 K. Similar levels of accuracy are found when the model
is compared to detailed calculations of the middle (7.3 micron) and lower (8.3
micron) tropospheric water vapor radiance, provided that the emission from the
underlying surface is taken into account. Based upon these results, the RSL
model is used to interpret TOVS-observed water vapor radiances in terms of the
relative humidity averaged over deep layers of the upper, middle, and lower
troposphere. We then present near-global maps of the geographic distribution
and climatological variations of upper, middle and lower tropospheric humidity
from TOVS for the period 1981-1991. These maps clearly depict the role of
large-scale circulation in regulating the location and temporal variation of
tropospheric water vapor.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 20:59:28 GMT""}]","2008-02-03"
"astro-ph/9505010","Tom Broadhurst","Tom Broadhurst","Mass Distributions of Clusters Using Gravitational Magnification","10 pages uuencoded, compressed, figures included. Invited Review,
  proc of 5th Maryland Dark Matter Oct. 94",,"10.1063/1.48351",,"astro-ph",,"  Lensing in the context of rich clusters is normally quantified from small
image distortions, yielding a relative mass distribution in the limit of weak
lensing. Here we show the magnification effect of lensing can also be mapped
over a cluster, resulting in absolute mass determinations for the weak limit.
Furthermore, given both magnification and distortion measurements, the mass
distribution may be constrained in the strong regime. Methods for obtaining the
magnification using spectroscopic and/or photometric information are discussed,
for object detection within a fixed isophote or to a given flux limit.
  A map of the magnification around A1689 is constructed from the observed
depletion of background red galaxy counts.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 18:15:41 GMT""}]","2016-08-30"
"astro-ph/9505011","Chris Aikman","Sidney van den Bergh","A PRELIMINARY CLASSIFICATION SCHEME FOR THE CENTRAL REGIONS OF LATE-TYPE
  GALAXIES","6 pages, uuencoded compressed Postscript, figures not included. Also
  available at http://www.dao.nrc.ca/DAO/SCIENCE/9509.html",,"10.1086/117546",,"astro-ph",,"  The large-scale prints in The Carnegie Atlas of Galaxies have been used to
formulate a classification scheme for the central regions of late-type
galaxies. Systems that exhibit small bright central bulges or disks (type CB)
are found to be of earlier Hubble type and of higher luminosity than galaxies
that do not contain nuclei (type NN). Galaxies containing nuclear bars, or
exhibiting central regions that are resolved into individual stars and knots,
and galaxies with semi-stellar nuclei, are seen to have characteristics that
are intermediate between those of types CB and NN. The presence or absence of a
nucleus appears to be a useful criterion for distinguishing between spiral
galaxies and Magellanic irregulars.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 21:09:21 GMT""}]","2009-10-28"
"astro-ph/9505012",,"George F. Smoot (Berkeley)","LONG WAVELENGTH OBSERVATIONS OF HIGH GALACTIC LATITUDE DUST","8 pages, postscript, 6 figures",,"10.1016/0032-0633(95)00043-5",,"astro-ph",,"  The properties of high latitude dust are of great interest to extragalactic
astronomers and cosmologists. It is proposed here that essentially all high
Galactic latitude interstellar dust is at a typical temperature of about 20~K
(i.e. it is warm dust) and that if any cold high latitude interstellar dust
exists, its emission at mm-wavelengths is less than 5\%\ of that from the
primary component of warm dust observed by IRAS. Thus the IRAS maps reveal the
high latitude dust of import. The crucial issue is how the emissivity of the
dust scales with wavelength. The mm-wavelength emission in this warm dust only
model is consistent with roughly a wavelength%, $\lambda$, dependent emissivity
$\epsilon(\lambda) \propto \lambda^{-1.5}$. Such a dependence has been observed
in the infrared previously. What is new here is the proposal that this extends
to the mm-wavelength region. Proceedings of Workshop on Molecules, Dust, &
Backgrounds to be published in Planetary & Space Sciences
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 18:19:46 GMT""}]","2009-10-28"
"astro-ph/9505013","Tom Broadhurst","Tom Broadhurst, Joseph Lehar","A Gravitational Lens Solution for IRAS F10214+4724","12 pages, uuencoded, compressed, figures included","Astrophys.J. 450 (1995) L41","10.1086/316774",,"astro-ph",,"  We show that the high redshift IRAS source F10214 is highly magnified by the
gravitational field of an intervening elliptical galaxy, accounting for its
many anomalous properties. Detailed radio and near-IR images identify the IRAS
source with a symmetric arc, centered on a red object, or lensing galaxy. To
explain the observed structures, the center of the source must much more highly
magnified than its outer regions. Lensing predicts a small counterimage to the
arc, which we find adjacent to the lensing galaxy. A red component in the
observed spectrum suggests a lens redshift of unity, and the lens model yields
a mass estimate of $M(r<3kpc)\approx10^{11}{M_solar}$, consistent with an
ordinary elliptical galaxy. We present new high-resolution optical images which
show a thin arc of emission, implying an intrinsically small source ($<0.5kpc$)
which is highly magnified ($\sim20\times$). Since the optical is strongly
polarized with a Seyfert~II spectrum, we propose that the optical arc is
magnified image of the inner region of an obscured AGN. The obscuring ``torus''
will be similarly magnified, naturally accounting for the large IR flux. We
show that finding objects like F10214+4724 in redshift surveys is probable,
given the level of magnification bias expected for compact luminous IRAS
sources. Such cases represent the obscured AGN counterparts to the lensed QSO
population and, because of their extended sizes, are useful in determining the
mass distribution in the lensing galaxies.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 21:51:22 GMT""}]","2009-10-28"
"astro-ph/9505014","Domingos Savio de Lima Soares","D.S.L. Soares (Physics Department - UFMG/Brazil)","Binary galaxies and alternative physics. I. A qualitative application of
  MOND and Mannheim-Kazanas gravity","Uuencoded compressed tar file with text and figures. Revised version
  accepted for Astronomy & Astrophysics on 28 February 1996","Astron.Astrophys.313:347-355,1996",,,"astro-ph",,"  Binary galaxies are modeled as point-masses obeying the non-Newtonian MOND
and Mannheim-Kazanas (MKG) theories of gravity. Random samples of such systems
are generated by means of Monte Carlo simulations of binary orbits. Model pairs
have total masses and mass ratios similar to pairs in the cataloged sample used
in the analysis. General features of synthetic samples are derived from a
comparison with observed data of galaxy pairs in $R \times \Delta
V/(L_1+L_2)^{1/2} $ space. Both MOND and Mannheim-Kazanas binaries either on
circular or low-eccentricity orbits cannot be the source of observations
because they require extremely high $M/L$ values ($\approx$ 45 solar units).
Both MOND and MKG binaries on high-eccentricity orbits and reasonable $M/L$
values (5 solar units) produce envelopes of $R \times \Delta V/(L_1+L_2)^{1/2}$
consistent with the observations, but the distribution of separations is
inconsistent with the observed data, unless strong selection effects are at
work. A definite answer to the issue whether one or another model is suitable
to explain real binary galaxy dynamics will be only possible when {\it a large
sample containing a significant fraction of wide pairs, determined with
velocity-blind selection procedures, is investigated} under a rigorous
statistical analysis, taking into account sample selection biases and
contamination by non-physical pairs.
","[{""version"":""v1"",""created"":""Wed, 3 May 1995 19:41:53 GMT""},{""version"":""v2"",""created"":""Tue, 19 Mar 1996 18:37:51 GMT""}]","2011-05-23"
"astro-ph/9505015","Douglas Scott","Douglas Scott, Joe Silk & Martin White","From Microwave Anisotropies to Cosmology","9 pages plus 2 colour figures in a uuencoded self-unpacking shell
  script. To appear in the May 12th issue of Science. Also available at the
  Berkeley CMB theory WWW site, http://physics7.berkeley.edu/cmbserve/gen.html","Science 268:829-835,1995","10.1126/science.268.5212.829","CfPA-94-TH-51","astro-ph",,"  Fluctuations in the temperature of the cosmic microwave background have now
been detected over a wide range of angular scales, and a consistent picture
seems to be emerging. This article describes some of the implications for
cosmology. Analysis of all the published detections suggests the existence of a
peak on degree scales of height 2.4 to 10 (90%CL) relative to the amplitude of
the power spectrum at large angular scales. This result confirms an early
prediction, implies that the universe did in fact recombine, and limits
theories of structure formation. Illustrative examples are provided of how the
comparison of microwave background and large-scale structure data will be a
potentially powerful means of answering fundamental questions about the
universe.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 01:52:19 GMT""}]","2009-10-28"
"astro-ph/9505016","Bohdan Paczynski","Bohdan Paczynski (Princeton University Observatory)","On the Detectability of Very Massive Compact Objects with Gravitational
  Microlensing","6 pages, plain TEX, no figures",,,,"astro-ph",,"  If the dark halo of our galaxy is made of compact objects as massive as M =
10^6 solar masses, their detection by means of ordinary microlensing searches
would take a very long time as the characteristic time scale of such a lensing
event, t_0, is approximately 200 years. Fortunately, the very high
magnification events of the numerous faint stars, which are normally well below
the detection threshold, have short duration peaks with a characteristic time
scale of only t_0 / A_{max}, where A_{max} >> 1 is the peak magnification
factor. The two almost equally bright images are separated by approximately 2''
(M/10^6 solar masses )^{1/2}, and they rotate very rapidly around the lens with
the relative proper motion enhanced by a factor 2 A_{max}. The same events will
offer an opportunity to study spectroscopically stars which are normally far
too faint to be reached.
","[{""version"":""v1"",""created"":""Thu, 4 May 1995 11:15:41 GMT""}]","2007-05-23"
