"alg-geom/9505018","Ron Stern","Ronald Fintushel and Ronald Stern","Rational Blowdowns of Smooth 4-Manifolds","34 pages with 14 figures (author-supplied), AMSLaTeX",,,,"alg-geom math.AG",,"  In this paper we introduce a surgical procedure, called a rational blowdown,
for a smooth 4-manifold X and determine how this procedure affects both the
Donaldson and Seiberg-Witten invariants of X.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 17:57:08 GMT""}]","2008-02-03"
"astro-ph/9505073","Dongsu Ryu","Dongsu Ryu, T. W. Jones, and Adam Frank","Numerical Magnetohydrodynamics in Astrophysics: Algorithm and Tests for
  Multi-Dimensional Flow","ApJ accepted, 20 pages, uuencoded, compressed postscript file, 8
  figures available by anonymous ftp at ftp://sirius.chungnam.ac.kr/pub/mhd2d/
  or available upon request to ryu@sirius.chungnam.ac.kr",,"10.1086/176347",,"astro-ph",,"  We present for astrophysical use a multi-dimensional numerical code to solve
the equations for ideal magnetohydrodynamics (MHD). It is based on an explicit
finite difference method on an Eulerian grid, called the Total Variation
Diminishing (TVD) scheme, which is a second-order-accurate extension of the
Roe-type upwind scheme. Multiple spatial dimensions are treated through a
Strang-type operator splitting. The constraint of a divergence-free field is
enforced exactly by calculating a correction via a gauge transformation in each
time step.
  Results from two-dimensional shock tube tests show that the code captures
correctly discontinuities in all three MHD waves families as well as contact
discontinuities. The numerical viscosities and resistivity in the code, which
are useful in order to understand simulations involving turbulent flows, are
estimated through the decay of two-dimensional linear waves. Finally, the
robustness of the code in two-dimensions is demonstrated through calculations
of the Kelvin-Helmholtz instability and the Orszag-Tang vortex.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 19:25:10 GMT""}]","2016-08-30"
"astro-ph/9505079","Joao Magueijo","J.C.R.Magueijo (MRAO/DAMTP,Cambridge University)","Non-Gaussian CMBR angular power spectra",,"Phys.Rev. D52 (1995) 4361","10.1103/PhysRevD.52.4361","MRAO/1843, DAMTP/95-18","astro-ph",,"  In this paper we show how the prediction of CMBR angular power spectra $C_l$
in non-Gaussian theories is affected by a cosmic covariance problem, that is
$(C_l,C_{l'})$ correlations impart features on any observed $C_l$ spectrum
which are absent from the average $C^l$ spectrum. Therefore the average
spectrum is rendered a bad observational prediction, and two new prediction
strategies, better adjusted to these theories, are proposed. In one we search
for hidden random indices conditional to which the theory is released from the
correlations. Contact with experiment can then be made in the form of the
conditional power spectra plus the random index distribution. In another
approach we apply to the problem a principal component analysis. We discuss the
effect of correlations on the predictivity of non-Gaussian theories. We finish
by showing how correlations may be crucial in delineating the borderline
between predictions made by non-Gaussian and Gaussian theories. In fact, in
some particular theories, correlations may act as powerful non-Gaussianity
indicators.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 16:08:46 GMT""}]","2009-10-28"
"astro-ph/9505080","Frank Summers","F J Summers, Marc Davis, and August E. Evrard","Galaxy Tracers and Velocity Bias","ApJ, in press, 23 pages, plain TeX, 8 of 13 figures included, all
  PostScript figures (4.8 MB) available via anonymous ftp from
  ftp://astro.princeton.edu/summers/tracers . Also available as POPe-616 on
  http://astro.princeton.edu/~library/prep.html","Astrophys.J.454:1-14,1995","10.1086/176459","POPe-616","astro-ph",,"  This paper examines several methods of tracing galaxies in N-body simulations
and their effects on the derived galaxy statistics, especially measurements of
velocity bias. Using two simulations with identical initial conditions, one
following dark matter only and the other following dark matter and baryons,
both collisionless and collisional methods of tracing galaxies are compared to
one another and against a set of idealized criteria. None of the collisionless
methods proves satisfactory, including an elaborate scheme developed here to
circumvent previously known problems. The main problem is that galactic
overdensities are both secularly and impulsively disrupted while orbiting in
cluster potentials. With dissipation, the baryonic tracers have much higher
density contrasts and much smaller cross sections, allowing them to remain
distinct within the cluster potential. The question remains whether the
incomplete physical model introduces systematic biases. Statistical measures
determined from simulations can vary significantly based solely on the galaxy
tracing method utilized. The two point correlation function differs most on
sub-cluster scales with generally good agreement on larger scales. Pairwise
velocity dispersions show less uniformity on all scales addressed here. All
tracing methods show a velocity bias to varying degrees, but the predictions
are not firm: either the tracing method is not robust or the statistical
significance has not been demonstrated. Though theoretical arguments suggest
that a mild velocity bias should exist, simulation results are not yet
conclusive.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 23:23:21 GMT""}]","2009-06-16"
"astro-ph/9505082","Eli Waxman","Eli Waxman (Institute for Advance Study, Princeton)","COSMOLOGICAL GAMMA RAY BURSTS AND THE HIGHEST ENERGY COSMIC RAYS","Phys. Rev. Lett. in press (Received: March 22, 1995; Accepted: May
  17, 1995)","Phys.Rev.Lett. 75 (1995) 386-389","10.1103/PhysRevLett.75.386",,"astro-ph",,"  We discuss a scenario in which the highest energy cosmic rays (CR's) and
cosmological $\gamma$-ray bursts (GRB's) have a common origin. This scenario is
consistent with the observed CR flux above $10^{20}\text{eV}$, provided that
each burst produces similar energies in $\gamma$-rays and in CR's above
$10^{20}\text{eV}$. Protons may be accelerated by Fermi's mechanism to energies
$\sim10^{20}\text{eV}$ in a dissipative, ultra-relativistic wind, with
luminosity and Lorentz factor high enough to produce a GRB. For a homogeneous
GRB distribution, this scenario predicts an isotropic, time-independent CR
flux.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 03:36:51 GMT""}]","2009-10-28"
"astro-ph/9505083","Alberto Manrique","Alberto Manrique and Eduard Salvador-Sole","The Confluent System Formalism: I.The Mass Function of Objects in the
  Peak Model","24 pages, uuencoded compressed postscript file including 4 figures
  (164 kb). To be published in ApJ, 1st November issue",,"10.1086/176364",,"astro-ph",,"  This is the first paper of a series of two devoted to develop a practical
method to describe the growth history of bound virialized objects in the
gravitational instability scenario without resorting to $N$-body simulations.
Here we present the basic tool of this method, ``the confluent system
formalism'', which allows us to follow the filtering evolution of peaks in a
random Gaussian field of density fluctuations. This is applied to derive the
theoretical mass function of objects within the peak model framework. Along the
process followed for the derivation of this function, we prove that the
Gaussian window is the only one consistent with the peak model ansatz. We also
give a well justified derivation of the density of peaks with density contrast
upcrossing a given threshold in infinitesimal ranges of scale and correct this
scale function for the cloud-in-cloud effect. Finally, we characterize the form
of the mass vs. scale and the critical overdensity vs. collapse time relations
which are physically consistent with the peak model in an Einstein-de Sitter
universe with density field endowed with different power spectra. The result is
a fully justified semianalytical mass function which is close to the Press \&
Schechter (1974) one giving good fits to $N$-body simulations. But the interest
of the confluent system formalism is not merely formal. It allows us to
distinguish between accretion and merger events, which is essential for the
detailed modelling of the clustering process experienced by objects.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 09:58:58 GMT""}]","2009-10-28"
"astro-ph/9505084","http://www. phys. uniroma1. it/DOCS/PIL/pil. html","Francesco Sylos Labini and Luciano Pietronero","Multifractal properties of visible matter distribution: a stochastic
  model","Proceedings of ""III Congresso Nazionale di Cosmologia"" Grado (Ts),
  26-28 october 1994. Figures are available under request at
  sylos@roma1.infn.it",,,,"astro-ph",,"  Galaxies and clusters distributions show two major properties: (i) the
positions of galaxies and clusters are characterized by a power law
distribution indicating properties with respect to their positions. (ii) The
distribution of masses is also characterized by a power law corresponding to
self similarity of different nature. These two properties are naturally unified
by the concept of multifractality. This concept naturally arises if the
distribution of matter, as given by both positions and masses, has self similar
properties. We discuss the experimental situation in this respect and we
introduce a simple stochastic model based of the aggregation process of
particles The aim of this model is to understand which characteristic
properties of the aggregation probability can gives rise to multifractal
distribution In particular we find that a crucial element in this respect is
that the aggregation probability should depend on the environment of the
aggregation region.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 14:54:36 GMT""}]","2009-09-25"
"astro-ph/9505085","Karl Mannheim","D. Grupe, K. Beuermann, K. Mannheim, N. Bade, H.-C. Thomas, D. de
  Martino, and A. Schwope","X-RAY OUTBURST OF THE PECULIAR SEYFERT GALAXY IC 3599","4 pages, compressed PostScript, Letter accepted by Astron. &
  Astrophys., also avalailable on the web
  (http://www.uni-sw.gwdg.de/preprints/preprints.html)",,,,"astro-ph",,"  We report optical, soft X-ray, and UV observations of the peculiar Seyfert
galaxy IC 3599 using data obtained with ROSAT and IUE. Most remarkably, we
discovered a rapid decrease of the X-ray flux by a factor of about 100 within
one year and a more gradual decrease thereafter. The X-ray spectrum of IC 3599
was soft at flux maximum and became even softer as the flux decreased.
Simultaneously with the late decrease of the X-ray flux, we observed a decrease
in the strength of highly ionized optical iron lines. We discuss several
explanations for this behaviour including an accretion disk instability and
tidal disruption of a star orbiting a central massive black hole.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 15:07:39 GMT""}]","2007-05-23"
"chao-dyn/9505011",,"Nicolas Pavloff and Charles Schmit","Diffractive orbits in quantum billiards","7 pages, latex, 2 figures available by fax upon request.","Phys. Rev. Lett., 75 (1995) 61","10.1103/PhysRevLett.75.61","IPNO/TH 95-14","chao-dyn nlin.CD",,"  We study diffractive effects in two dimensional polygonal billiards. We
derive an analytical trace formula accounting for the role of non-classical
diffractive orbits in the quantum spectrum. As an illustration the method is
applied to a triangular billiard.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 15:43:54 GMT""}]","2016-08-31"
"cond-mat/9505028","Jose Riera","A. Dobry, A. Greco, S. Koval and J. Riera","Exact diagonalization study of the two-dimensional t-J-Holstein model","11 pages, Revtex v. 2.0, 4 figures available from authors",,"10.1103/PhysRevB.52.13722",,"cond-mat",,"  We study by exact diagonalization the two-dimensional t-J-Holstein model near
quarter filling by retaining only few phonon modes in momentum space. This
truncation allows us to incorporate the full dynamics of the retained phonon
modes. The behavior of the kinetic energy, the charge structure factor and
other physical quantities, show the presence of a transition from a delocalized
phase to a localized phase at a finite value of the electron-phonon coupling.
We have also given some indications that the e-ph coupling leads in general to
a suppression of the pairing susceptibility at quarter filling.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 12:36:07 GMT""}]","2009-10-28"
"cond-mat/9505073",,"Boris Levitan and Eytan Domany","Topological model of soap froth evolution with deterministic
  T2-processes","latex, 12 pages, 2 figures",,"10.1209/0295-5075/32/7/001",,"cond-mat",,"  We introduce a topological model for the evolution of 2d soap froth. The
topological rearrangements (T2 processes) are deterministic (unlike the
standard stochastic model): the final topology depends on the areas of the
neighboring cells. The new model gives agreement with experiments in the
transient regime, where the previous models failed qualitatively, and also
improves agreement in the scaling state.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 16:17:25 GMT""}]","2016-08-31"
"cond-mat/9505074","Xuejun Zhu","Xuejun Zhu and Steven G. Louie","Variational quantum Monte Carlo study of two-dimensional Wigner
  crystals: exchange, correlation, and magnetic field effects","LaTex file, 14 figures available from zhu@physics.rutgers.edu",,"10.1103/PhysRevB.52.5863","Rutgers-05/16/95","cond-mat",,"  The two-dimensional Wigner crystals are studied with the variational quantum
Monte Carlo method. The close relationship between the ground-state
wavefunction and the collective excitations in the system is illustrated, and
used to guide the construction of the ground-state wavefunction of the strongly
correlated solid. Exchange, correlation, and magnetic field effects all give
rise to distinct physical phenomena. In the absence of any external magnetic
field, interesting spin-orderings are observed in the ground-state of the
electron crystal in various two-dimensional lattices. In particular,
two-dimensional bipartite lattices are shown not to lead necessarily to an
antiferromagnetic ground-state. In the quantum Hall effect regime, a strong
magnetic field introduces new energy and length scales. The magnetic field
quenches the kinetic energy and poses constraints on how the electrons may
correlate with each other. Care is taken to ensure the appropriate
translational properties of the wavefunction when the system is in a uniform
magnetic field. We have examined the exchange, intra-Landau-level correlation
as well as Landau-level-mixing effects with various variational wavefunctions.
We also determine their dependences on the experimental parameters such as the
carrier effective mass at a modulation-doped semiconductor heterojunction. Our
results, when combined with some recent calculations for the energy of the
fractional quantum Hall liquid including Landau-level-mixing, show
quantitatively that in going from $n$-doping to $p$-doping in $GaAS/AlGaAS$
heterojunction systems, the crossover filling factor from the fractional
quantum Hall liquid to the Wigner crystal changes from filling factor $\nu \sim
1/5$ to $\nu \sim 1/3$. This lends strong support to the claim that the
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 17:38:28 GMT""}]","2009-10-28"
"cond-mat/9505075","Emilio Artacho","Daniel Sanchez-Portal, Emilio Artacho, and Jose M. Soler (Universidad
  Autonoma, Madrid, Spain)","Projection of plane-wave calculations into atomic orbitals","RevTex. 4 pages. 3 uuencoded compressed (tared) postscript figs. To
  appear in Solid St. Commun","Solid State Commun. 95, 685 1995","10.1016/0038-1098(95)00341-X",,"cond-mat mtrl-th",,"  The projection of the eigenfunctions obtained in standard plane-wave
first-principle electronic-structure calculations into atomic-orbital basis
sets is proposed as a formal and practical link between the methods based on
plane waves and the ones based on atomic orbitals. Given a candidate atomic
basis, ({\it i}) its quality is evaluated by its projection into the plane-wave
eigenfunctions, ({\it ii}) it is optimized by maximizing that projection, ({\it
iii}) the associated tight-binding Hamiltonian and energy bands are obtained,
and ({\it iv}) population analysis is performed in a natural way. The proposed
method replaces the traditional trial-and-error procedures of finding
appropriate atomic bases and the fitting of bands to obtain tight-binding
Hamiltonians. Test calculations of some zincblende semiconductors are
presented.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 19:45:21 GMT""}]","2009-10-28"
"cond-mat/9505076","Rodolfo Cuerno","Rodolfo Cuerno and Kent Baekgaard Lauritsen","Renormalization Group Analysis of a Noisy Kuramoto-Sivashinsky Equation","8 pages, 5 figures, revtex","Physical Review E 52, 4853-4859 (1995)","10.1103/PhysRevE.52.4853",,"cond-mat adap-org nlin.AO",,"  We have analyzed the Kuramoto-Sivashinsky equation with a stochastic noise
term through a dynamic renormalization group calculation. For a system in which
the lattice spacing is smaller than the typical wavelength of the linear
instability occurring in the system, the large-distance and long-time behavior
of this equation is the same as for the Kardar-Parisi-Zhang equation in one and
two spatial dimensions. For the $d=2$ case the agreement is only qualitative.
On the other hand, when coarse-graining on larger scales the asymptotic flow
depends on the initial values of the parameters.
","[{""version"":""v1"",""created"":""Wed, 17 May 1995 21:58:11 GMT""}]","2009-10-28"
"cond-mat/9505077","Wolfgang Huebner","W. Hubner and K. H. Bennemann","Electronic Theory for the Nonlinear Magneto-Optical Response of
  Transition-Metals at Surfaces and Interfaces: Dependence of the Kerr-Rotation
  on Polarization and on the Magnetic Easy Axis","23 pages Revtex, preprintstyle, 2 uuencoded figures",,"10.1103/PhysRevB.52.13411",,"cond-mat",,"  We extend our previous study of the polarization dependence of the nonlinear
optical response to the case of magnetic surfaces and buried magnetic
interfaces. We calculate for the longitudinal and polar configuration the
nonlinear magneto-optical Kerr rotation angle. In particular, we show which
tensor elements of the susceptibilities are involved in the enhancement of the
Kerr rotation in nonlinear optics for different configurations and we
demonstrate by a detailed analysis how the direction of the magnetization and
thus the easy axis at surfaces and buried interfaces can be determined from the
polarization dependence of the nonlinear magneto-optical response, since the
nonlinear Kerr rotation is sensitive to the electromagnetic field components
instead of merely the intensities. We also prove from the microscopic treatment
of spin-orbit coupling that there is an intrinsic phase difference of
90$^{\circ }$ between tensor elements which are even or odd under magnetization
reversal in contrast to linear magneto-optics. Finally, we compare our results
with several experiments on Co/Cu films and on Co/Au and Fe/Cr multilayers. We
conclude that the nonlinear magneto-optical Kerr-effect determines uniquely the
magnetic structure and in particular the magnetic easy axis in films and at
multilayer interfaces.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 07:43:25 GMT""}]","2009-10-28"
"cond-mat/9505078","Klaus Ziegler","M. Hettler and K. Ziegler","Phase Transitions of Fermions Coupled to a Gauge Field: a Quantum Monte
  Carlo Approach","12 pages, Plain-Tex, 5 figures",,"10.1016/0378-4371(95)00139-X",,"cond-mat",,"  A grand canonical system of non-interacting fermions on a square lattice is
considered at zero temperature. Three different phases exist: an empty lattice,
a completely filled lattice and a liquid phase which interpolates between the
other two phases. The Fermi statistics can be changed into a Bose statistics by
coupling a statistical gauge field to the fermions. Using a quantum Monte Carlo
method we investigate the effect of the gauge field on the critical properties
of the lattice fermions. It turns out that there is no significant change of
the phase diagram or the density of particles due to the gauge field even at
the critical points. This result supports a recent conjecture by Huang and Wu
that certain properties of a three-dimensional flux line system (which is
equivalent to two-dimensional hard-core bosons) can be explained with
non-interacting fermion models.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 09:47:36 GMT""}]","2015-06-25"
"cond-mat/9505079","Heinz Schulz","I. Safi and H.J. Schulz","Transport in an inhomogeneous interacting one--dimensional system","11 pages, RevTeX 3.0, 1 postscript figure, everything in a uuencoded
  file","Phys. Rev. B 52, R17040 (1995)","10.1103/PhysRevB.52.R17040",,"cond-mat",,"  Transport through a one--dimensional wire of interacting electrons connected
to semi--infinite leads is investigated using a bosonization approach. An
incident electron is transmitted as a sequence of partial charges. The dc
conductance is found to be entirely determined by the properties of the leads.
The dynamic nonlocal conductivity is rigorously expressed in terms of the
transmission. For abrupt variations of the interaction parameters at the
junctions the central wire acts as a Fabry--Perot resonator. When one of the
connected wires has a tendency towards superconducting order, partial Andreev
reflection of an incident electron occurs.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 11:02:08 GMT""}]","2009-10-28"
"cond-mat/9505080","Thierry Jolicoeur","Th. Jolicoeur","A self-consistent theory of phase transitions in noncollinear magnets","plain TeX, 10 pages, no figures","Europhys. Lett. 30, 555 (1995)","10.1209/0295-5075/30/9/009","SPhT/95-005","cond-mat",,"  I study phase transitions occuring in noncollinear magnets by means of a
self-consistent screening approximation. The Ginzburg-Landau theory involves
two N-component vector fields with two independent quartic couplings allowing a
symmetry-breaking scheme which is SO(N)times SO(2) broken down to SO(N-2)times
SO(2)_diag. I find that there is a second-order phase transition in the
physical cases N=2,3, D=3 and that there is no fluctuation-induced first-order
transition. This is very similar to the case of the normal-to-superconducting
phase transition as recently found by Radzihovsky. The exponents are
eta(N=3,D=3)= 0.11, eta(N=2,D=3) =0.15 and go smoothly to the large-N limit.
","[{""version"":""v1"",""created"":""Thu, 18 May 1995 12:56:24 GMT""}]","2010-03-25"
