"astro-ph/9503068","Thomas Janka","H.-Thomas Janka (Department of Astronomy and Astrophysics, University
  of Chicago)","WHEN DO SUPERNOVA NEUTRINOS OF DIFFERENT FLAVORS HAVE SIMILAR
  LUMINOSITIES BUT DIFFERENT SPECTRA ?","uuencoded compressed postscript, 10 pages. Accepted for publication
  in Astroparticle Physics.","Astropart.Phys. 3 (1995) 377-384","10.1016/0927-6505(95)00016-A","MPA green report no 858.","astro-ph hep-ph",,"  Muon and tau neutrinos ($\nu_x$) interact with protoneutron star matter only
via neutral currents and exchange energy with the stellar gas predominantly by
neutrino-electron scattering and neutrino-pair processes. In contrast, electron
neutrinos and antineutrinos ($\nu_e$ and $\bar\nu_e$) are frequently absorbed
and produced in charged-current mediated reactions with nucleons. Therefore the
emergent $\nu_e$ and $\bar\nu_e$ originate from layers with lower temperatures
further out in the star and are emitted with much lower characteristic spectral
temperatures. In addition, a major contribution to the $\nu_e$ and $\bar\nu_e$
opacities is due to absorptions, while the opacity of $\nu_x$ is strongly
dominated by scattering reactions with nucleons and nuclei in which the $\nu_x$
energy is (essentially) conserved. Therefore the $\nu_x$ distribution is nearly
isotropic when $\nu_x$ decouple energetically and their outward diffusion is
slowed down. In a generalized form to include this effect, the Stefan-Boltzmann
Radiation Law can account for both the facts that $\nu_e$ ($\bar\nu_e$) and
$\nu_x$ emerge from the star with similar luminosities but with very different
characteristic spectral temperatures. Simple analytical expressions to estimate
the effect are given. If, as recently argued, even at densities significantly
below nuclear matter density neutral-current scatterings were associated with
considerable energy transfer between neutrino and target particle, one might
expect spectral temperatures of $\nu_x$ much closer to those of $\nu_e$ and
$\bar\nu_e$. This is of relevance for the detection of neutrino signals from
supernovae.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 17:22:39 GMT""}]","2016-08-30"
"astro-ph/9503069","Elisabete M. G. Dalpino","Elisabete M. de Gouveia Dal Pino","Protostellar Jets: The Best Laboratories for Investigating Astrophysical
  Jets","19 pages, PostScript (9 figures upon request). Invited review for
  proceedings of the International Conference on Plasma Physics (Foz do
  Iguassu, November 1994) eds. P. Sakanaka et al.",,"10.1063/1.49003",,"astro-ph",,"  Highly collimated supersonic jets are observed to emerge from a wide variety
of astrophysical objects, ranging from Active Nuclei of Galaxies (AGN's) to
Young Stellar Objects (YSOs) within our own Galaxy. Despite their different
physical scales (in size, velocity, and amount of energy transported), they
have strong morphological similarities. Thanks to the proximity and relatively
small timescales, which permit direct observations of evolutionary changes, YSO
jets are, perhaps, the best laboratories for cosmic jet investigation. In this
lecture, the formation, structure, and evolution of the YSO jets are reviewed
with the help of observational information, MHD and purely hydrodynamical
modeling, and numerical simulations. Possible applications of the models to AGN
jets are also addressed.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 17:02:25 GMT""}]","2015-06-24"
"astro-ph/9503070","Abraham Loeb","Eric Woods and Abraham Loeb (Harvard Univ.)","Empirical Constraints on Source Properties and Host Galaxies of
  Cosmological Gamma-Ray Bursts","28 pages, uuencoded file, 8 figures included, CfA preprint","Astrophys.J. 453 (1995) 583","10.1086/176421",,"astro-ph",,"  We discuss several constraints on the properties of gamma-ray bursts (GRB) at
cosmological distances. First we use the requirement that burst sources must be
optically thin to pair production by photon-photon collisions in order to
produce the observed nonthermal spectra. We derive probability distributions
for the minimum Lorentz expansion factor, the radiation energy, the maximum
baryonic mass, and the maximum surrounding gas density in the events, based on
254 events from the second BATSE catalog. Secondly, the time variabilities of
the bursts in the BATSE catalog are used to place an upper bound on the
curvature radius of the emitting surface in the events. This is based on the
requirement that the emitting region seen by the observer must be sufficiently
small to produce the observed variability without violating causality. Finally,
we discuss the association of cosmological GRB with galaxies. We consider eight
bright and well-localized bursts detected by the Pioneer Venus Orbiter, whose
positional error boxes contain no bright galaxies. Using the local luminosity
function of galaxies, we calculate the probability for not seeing the GRB host
galaxy. This probability tends to increase as the width of the GRB luminosity
function increases. However, the allowed width of the GRB luminosity function
is restricted by the number-count statistics of the bursts.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 19:54:08 GMT""}]","2009-10-28"
"astro-ph/9503071","Timothy Banks","Timothy Banks, R.J. Dodd and D.J.Sullivan","The Large Magellanic Cloud cluster NGC 2214","LaTeX 2.09. 17 pages. 14 figures. Requires mn.sty and psfig.sty,
  which are included with the figures. Warning! UUencoded figures are 776 kb in
  size. Accepted for publication by Monthly Notices of the Royal Astronomical
  Society (MU602).",,"10.1093/mnras/274.4.1225",,"astro-ph",,"  Johnson {\it BV} CCD observations have been made of the young Large
Magellanic Cloud cluster NGC~2214 and a nearby field using the Anglo-Australian
Telescope. It has been suggested in the literature that this elliptical cluster
is actually two clusters in the process of merging. No evidence is found from
profile fitting or the colour--magnitude diagrams to support this contention.
Completeness factors are estimated for the CCD frames. These values are used in
conjunction with luminosity functions to estimate the initial mass function
(IMF) for NGC~2214. A power law is assumed for the IMF, with a good fit being
found for the exponent (1 + $x$) = 2.01~$\pm$ 0.09. There is some indication
that the low-mass end (less than or equal to 3 Solar Masses) has a lower
gradient than the high-mass end of the derived IMF. This value is in reasonable
agreement with literature values for other Magellanic IMFs, and not
substantially different from those of the poorly determined Galactic IMFs,
suggesting the possibility of a `universal' IMF over the Magellanic Clouds and
our Galaxy in the mass range $\sim 1$ to $\sim 10$ Solar Masses.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 12:18:35 GMT""},{""version"":""v2"",""created"":""Sun, 19 Mar 1995 01:37:51 GMT""}]","2015-06-24"
"astro-ph/9503072",,"Giuliano Giuricin, Fusun Limboz Tektunali, Pierluigi Monaco, Fabio
  Mardirossian, Marino Mezzetti","THE LOCAL GALAXY DENSITY AND THE BULGE-TO-DISK RATIO OF DISK GALAXIES","LATEX file, 19 pages, figures available on request","Astrophys.J. 450 (1995) 41","10.1086/176117","SISSA Ref.: 28/95/A","astro-ph",,"  Relying on samples of disk galaxies for which a detailed photometric
bulge/disk decomposition has been provided in the literature, we examine the
dependence of the bulge-to-disk luminosity ratio (B/D) on the blue absolute
luminosity and on the environmental density. In our statistical analysis of
various B/D data sets we pay particular attention to disentangling the role
played by the galaxy morphology--galaxy density relation. Besides, we focus our
attention on nearby ($z<0.01$) galaxies, for which we can provide a
three-dimensional characterization of the local galaxy density. We find that
the observed tendency of galaxies to have greater B/D with increasing galaxy
density simply reflects the average decline of B/D towards later morphological
types together with the morphology--density relation. This relation tends to
give rise also to a greater proportion of bright bulges in denser regions,
because the decrease of B/D towards later types is mostly due to a dimming of
the bulge rather than to a brightening of the disk. But when we remove the
effect induced by the morphology--density relation, we detect no clear evidence
of a dependence of B/D on galaxy density. Furthermore, B/D turns out to be
substantially unrelated to the blue absolute magnitude of the galaxy. We
briefly discuss to what extent our results (partially) disagree with previous
claims.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 14:10:27 GMT""}]","2016-08-30"
"chao-dyn/9503004","Yoshihiro Taguchi","Hideki Takayasu (Graduate School of Information Sciences, Tohoku
  University, Japan), Y-h. Taguchi (Department of Physics, Tokyo Institute of
  Technology, Japan) and Tomoo Katsuyama (Department of Physics, Tokyo
  Metropolitan University, Japan)","Stochastic Shell Model: a model of anomalous scaling and non-Gaussian
  distribution in turbulence","4 pages, using REVTEX (Figures are inculded in text body) Replacement
  due to major modification of model, http://www.phys.titech.ac.jp/~tag/",,,"TITCMT-95-7","chao-dyn cond-mat nlin.CD",,"  We propose a simple stochastic model of cascading transport in wave number
space to clarify the origin of intermittent behavior of fully-developed fluid
turbulence. In spite of lack of nonlinearity and viscosity the model gives
non-Gaussian fluctuations and multifractal scalings consistent with
experimental data.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 05:28:34 GMT""},{""version"":""v2"",""created"":""Wed, 22 Mar 1995 03:15:09 GMT""},{""version"":""v3"",""created"":""Fri, 1 Sep 1995 06:36:28 GMT""}]","2008-02-03"
"chao-dyn/9503005","Thomas Schuermann","Thomas Sch\""urmann, Ingo Hoffmann","The entropy of ``strange'' billiards inside n-simplexes","8 pages, uuencoded compressed postscript file",,,"WU B 95-10","chao-dyn nlin.CD",,"  In the present work we investigate a new type of billiards defined inside of
$n$--simplex regions. We determine an invariant ergodic (SRB) measure of the
dynamics for any dimension. In using symbolic dynamics, the (KS or metric)
entropy is computed and we find that the system is chaotic for all cases $n>2$.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 13:32:51 GMT""}]","2008-02-03"
"cmp-lg/9503017","Walker","Marilyn A. Walker (University of Pennsylvania)","Redundancy in Collaborative Dialogue","8 pages, lingmacros, reformatted version of Coling92 paper","Fourteenth International Conference on Computational Linguistics,
  Nantes, 1992",,,"cmp-lg cs.CL",,"  In dialogues in which both agents are autonomous, each agent deliberates
whether to accept or reject the contributions of the current speaker. A speaker
cannot simply assume that a proposal or an assertion will be accepted. However,
an examination of a corpus of naturally-occurring problem-solving dialogues
shows that agents often do not explicitly indicate acceptance or rejection.
Rather the speaker must infer whether the hearer understands and accepts the
current contribution based on indirect evidence provided by the hearer's next
dialogue contribution. In this paper, I propose a model of the role of
informationally redundant utterances in providing evidence to support
inferences about mutual understanding and acceptance. The model (1) requires a
theory of mutual belief that supports mutual beliefs of various strengths; (2)
explains the function of a class of informationally redundant utterances that
cannot be explained by other accounts; and (3) contributes to a theory of
dialogue by showing how mutual beliefs can be inferred in the absence of the
master-slave assumption.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 21:27:48 GMT""}]","2016-08-31"
"cmp-lg/9503018","Walker","Marilyn A. Walker (Mitsubishi Electric Research Laboratories)","Discourse and Deliberation: Testing a Collaborative Strategy","8 pages, psfig.sty, lingmacros.sty, reformatted version of Coling94
  paper","Fifteenth International Conference on Computational Linguistics,
  Kyoto",,,"cmp-lg cs.CL",,"  A discourse strategy is a strategy for communicating with another agent.
Designing effective dialogue systems requires designing agents that can choose
among discourse strategies. We claim that the design of effective strategies
must take cognitive factors into account, propose a new method for testing the
hypothesized factors, and present experimental results on an effective strategy
for supporting deliberation. The proposed method of computational dialogue
simulation provides a new empirical basis for computational linguistics.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 23:46:51 GMT""}]","2016-08-31"
"cond-mat/9503088","Antonio Castro Neto","A.H. Castro Neto, D.K. Campbell and Philip Phillips","On a class of integrable interacting electronic systems with
  off-diagonal disorder","8 pages, RevteX",,,"NSF-ITP-9528.","cond-mat",,"  We report a class of {\it integrable} one-dimensional interacting electronic
sy$ with {\it off-diagonal disorder}. For these systems, the disorder can be
``gauged away,''and the spectrum can be mapped completely onto the spectrum of
the ordered problem, which can be solved by Bethe ansatz or by bosonization. We
study the magnetic properties of the persistent currents in mesoscopic rings in
the case in which the ordered system is a Luttinger liquid. The system can be
paramagnetic or diamagnetic, depending on the amount of the disorder and the
number of fermions in the system.
","[{""version"":""v1"",""created"":""Thu, 16 Mar 1995 20:08:06 GMT""}]","2016-08-31"
"cond-mat/9503089","Antonio Castro Neto","A.O. Caldeira and A.H. Castro Neto","Motion of heavy particles coupled to fermionic and bosonic environments
  in one dimension","28 pages, RevteX, 3 figures",,"10.1103/PhysRevB.52.4198","NSF-ITP-95-28.","cond-mat",,"  Making use of a simple unitary transformation we change the hamiltonian of a
particle coupled to an one dimensional gas of bosons or fermions to a new form
from which the many body degrees of freedom can be easily traced out. The
effective dynamics of the particle allows us to compute its damping constant in
terms of the reflection coefficient of the interaction potential and the
occupation number of the environmental particles. We apply our results to a
delta repulsive potential.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 04:17:05 GMT""},{""version"":""v2"",""created"":""Fri, 17 Mar 1995 16:38:14 GMT""}]","2016-08-31"
"cond-mat/9503090","Peter Kopietz","Peter Kopietz","Non-Relativistic Fermions Coupled to Transverse Gauge-Fields: The
  Single-Particle Green's Function in Arbitrary Dimension","RevTex, no figures.",,"10.1103/PhysRevB.53.12761",,"cond-mat",,"  We use a bosonization approach to calculate the single-particle Green's
function $G ( {\bf{r}} , \tau )$ of non-relativistic fermions coupled to
transverse gauge-fields in arbitrary dimension $d$. We find that in $d>3$
transverse gauge-fields do not destroy the Fermi liquid, although for $d < 6$
the quasi-particle damping is anomalously large. For $d \rightarrow 3$ the
quasi-particle residue vanishes as
  $Z \propto \exp [ - \frac{1}{2 \pi ( d-3)} (\frac{ \kappa}{mc } )^2 ]$, where
$\kappa$ is the Thomas-Fermi wave-vector, $m$ is the mass of the electrons, and
$c$ is the velocity of the gauge-particle. In $d=3$ the system is a Luttinger
liquid, with anomalous dimension
  $\gamma_{\bot} = \frac{1}{6 \pi} ( \frac{ \kappa}{mc} )^2$. For $d < 3$ we
find that $G ({\bf{r}} , 0 )$ decays exponentially at large distances.
","[{""version"":""v1"",""created"":""Fri, 17 Mar 1995 09:37:35 GMT""}]","2016-08-31"
