"acc-phys/9503001","Peter V. Vorob'ev.","A.N.Aleshaev, I.V.Pinayev, V.M.Popik, S.S.Serednyakov, T.V.Shaftan,
  A.S.Sokolov, N.A.Vinokurov, P.V.Vorob'ev (BINP Novosibirsk)","A Study of Influence of Synchrotron Radiation Quantum Fluctuations on
  the Synchrotron Oscillations of a Single Electron Using Undulator Radiation","4 pages, LaTeX, 2 fig. incl. and 6 fig. appended as uudecoded_arj_pcx
  file",,"10.1016/0168-9002(96)88028-4",,"acc-phys physics.acc-ph",,"  A single electron circulating in a storage ring is a very peculiar object.
Synchrotron radiation quantum fluctuation causes stohastic process in the
synchrotron oscillation of an electron. The radiation from a undulator permits
"cond-mat/9503154",,"M. P. L\'opez-Sancho, F. Guinea, J. A. Verg\'es and E. Louis","Momentum dependence of the spin and charge excitations in the two
  dimensional Hubbard model","Latex manuscript (4 pages) + 4 postscript figures (upon request)",,"10.1007/s002570050210",,"cond-mat",,"  The low energy spin and charge excitations in the 2D Hubbard model near half
filling are analyzed. The RPA spectra derived from inhomoheneous mean field
textures are analyzed. Spin excitations show a commensurate peak at half
filling, incommensurate peaks near half filling, and a broad background typical
of a dilute Fermi liquid away from half filling. Charge excitations, near half
filling, are localized near (0,0), and they occupy a small portion of the
Brillouin Zone, in a way consistent with the existence of a small density of
carriers, and a small Fermi surface. At higher hole densities, they fill the
entire BZ, and can be understood in terms of a conventional Fermi liquid
picture. The results are consistent with the observed features of the
high-T$_c$ superconductors.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 14:32:58 GMT""}]","2009-10-28"
"cond-mat/9503155",,"T. Yildirim, A. B. Harris, Amnon Aharony, and O. Entin-Wohlman","Anisotropic Spin Hamiltonians due to Spin-Orbit and Coulomb Exchange
  Interactions","50 pages, ILATEX Version 2.09 <13 Jun 1989>",,"10.1103/PhysRevB.52.10239",,"cond-mat",,"  This paper contains the details of Phys. Rev. Lett. 73, 2919 (1994) and, to a
lesser extent, Phys. Rev. Lett. 72, 3710 (1994). We treat a Hubbard model which
includes all the 3d states of the Cu ions and the 2p states of the O ions. We
also include spin-orbit interactions, hopping between ground and excited
crystal field states of the Cu ions, and rather general Coulomb interactions.
Our analytic results for the spin Hamiltonian, H, are corroborated by numerical
evaluations of the energy splitting of the ground manifold for two holes on
either a pair of Cu ions or a Cu-O-Cu complex. In the tetragonal symmetry case
and for the model considered, we prove that H is rotationally invariant in the
absence of Coulomb exchange. When Coulomb exchange is present, each bond
Hamiltonian has full biaxial anisotropy, as expected for this symmetry. For
lower symmetry situations, the single bond spin Hamiltonian is anisotropic at
order t**6 for constant U and at order t**2 for nonconstant U. (Constant U
means that the Coulomb interaction between orbitals does not depend on which
orbitals are involved.)
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 15:27:13 GMT""}]","2009-10-28"
"dg-ga/9503014","Ulrich Bunke","Ulrich Bunke and Martin Olbrich","Eisenstein series and Scattering matrices","9 pages, LATEX",,,,"dg-ga math.DG",,"  We provide a simple way to obtain the meromorphic extension of Eisenstein
series and Scattering matrices under conditions which generalize the case of
discrete groups acting convex cocompactly on hyperbolic spaces.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 16:10:22 GMT""}]","2008-02-03"
"gr-qc/9503053","Markus Heusler","M. Heusler","THE UNIQUENESS THEOREM FOR ROTATING BLACK HOLE SOLUTIONS OF
  SELF-GRAVITATING HARMONIC MAPPINGS","18 pages, latex, no figures","Class.Quant.Grav.12:2021-2036,1995","10.1088/0264-9381/12/8/017",,"gr-qc",,"  We consider rotating black hole configurations of self-gravitating maps from
spacetime into arbitrary Riemannian manifolds. We first establish the
integrability conditions for the Killing fields generating the stationary and
the axisymmetric isometry (circularity theorem). Restricting ourselves to
mappings with harmonic action, we subsequently prove that the only stationary
and axisymmetric, asymptotically flat black hole solution with regular event
horizon is the Kerr metric. Together with the uniqueness result for
non-rotating configurations and the strong rigidity theorem, this establishes
the uniqueness of the Kerr family amongst all stationary black hole solutions
of self-gravitating harmonic mappings.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 19:13:25 GMT""}]","2010-04-06"
"gr-qc/9503054","Robert Graham","Andras Csordas, Robert Graham","Nontrivial Fermion States in Supersymmetric Minisuperspace","6 pages, latex",,,,"gr-qc",,"  In this lecture supersymmetric minisuperspace models of any Bianchi type
within class A of the classification of Ellis and McCallum are considered. The
algebra of the supersymmetry generators, the Lorentz generators, the
diffeomorphism generators and the Hamiltonian generator is determined
explicitely and found to close. Different from earlier work it is established
that physical states, which are annihilated by all these generators, exist in
{\it all } sectors of these models with fixed even fermion number. A state in
the 4-fermion sector of the Bianchi type IX model is considered as a specific
example, which satisfies the `no-boundary' condition of Hartle and Hawking. The
conclusion is that supersymmetric minisuperspace models have a much richer
manifold of physical states than had been recognized before.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 08:16:19 GMT""}]","2007-05-23"
"gr-qc/9503055","J. Anandan","Jeeva Anandan","REMARKS CONCERNING THE GEOMETRIES OF GRAVITY AND GAUGE FIELDS","11 pages, tex, 1 figure which may be obtained from the author by
  sending him an e-mail to jeeva@thphys.ox.ac.uk or a snail-mail to his present
  address at the Dept. of Theoretical Physics, University of Oxford, 1 Keble
  Road, Oxford OX1 3NP, England.",,,,"gr-qc",,"  An important limitation is shown in the analogy between the Aharonov-Bohm
effect and the parallel transport on a cone. It illustrates a basic difference
between gravity and gauge fields due to the existence of the solder form for
the space-time geometry. This difference is further shown by the observability
of the gravitational phase for open paths. This reinforces a previous
suggestion that the fundamental variables for quantizing the gravitational
field are the solder form and the connection, and not the metric.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 12:02:19 GMT""}]","2009-09-25"
"gr-qc/9503056","Guillermo Mena","Nenad Manojlovic and Guillermo A. Mena Marugan","CANONICAL QUANTIZATION OF THE BELINSKII-ZAKHAROV ONE-SOLITON SOLUTIONS","27 pages, latex, no figures.","Int.J.Mod.Phys.D4:749-766,1995","10.1142/S0218271895000508","IMAFF-RC-03-95","gr-qc",,"  We apply the algebraic quantization programme proposed by Ashtekar to the
analysis of the Belinski\v{\i}-Zakharov classical spacetimes, obtained from the
Kasner metrics by means of a generalized soliton transformation. When the
solitonic parameters associated with this transformation are frozen, the
resulting Belinski\v{\i}-Zakharov metrics provide the set of classical
solutions to a gravitational minisuperspace model whose Einstein equations
reduce to the dynamical equations generated by a homogeneous Hamiltonian
constraint and to a couple of second-class constraints. The reduced phase space
of such a model has the symplectic structure of the cotangent bundle over
$I\!\!\!\,R^+\times I\!\!\!\,R^+$. In this reduced phase space, we find a
complete set of real observables which form a Lie algebra under Poisson
brackets. The quantization of the gravitational model is then carried out by
constructing an irreducible unitary representation of that algebra of
observables. Finally, we show that the quantum theory obtained in this way is
unitarily equivalent to that which describes the quantum dynamics of the Kasner
model.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 13:30:20 GMT""}]","2010-11-01"
"gr-qc/9503058","Rainer Mueller","Juergen Audretsch and Rainer Mueller","Radiative energy shifts of accelerated atoms","12 pages, Latex, 1 figure as uuencoded eps file, shorter version will
  appear in Phys. Rev. A",,"10.1103/PhysRevA.52.629",,"gr-qc hep-th quant-ph",,"  We consider the influence of acceleration on the radiative energy shifts of
atoms in Minkowski space. We study a two-level atom coupled to a scalar quantum
field. Using a Heisenberg picture approach, we are able to separate the
contributions of vacuum fluctuations and radiation reaction to the Lamb shift
of the two-level atom. The resulting energy shifts for the special case of a
uniformly accelerated atom are then compared with those of an atom at rest.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 15:59:10 GMT""},{""version"":""v2"",""created"":""Thu, 30 Mar 1995 07:22:28 GMT""}]","2009-10-28"
"hep-ph/9503456","Apostolos Pilaftsis","Amon Ilakovac, Bernd A. Kniehl, and Apostolos Pilaftsis","SEMILEPTONIC LEPTON-NUMBER/FLAVOUR-VIOLATING tau DECAYS IN MAJORANA
  NEUTRINO MODELS","LaTeX, 24 pages, minor rewordings.","Phys.Rev.D52:3993-4005,1995","10.1103/PhysRevD.52.3993","RAL/95-024, MPI/PhT/95-22, ZTF/95-02","hep-ph hep-ex",,"  Motivated by the recent investigation of neutrinoless $\tau$-lepton decays by
the CLEO collaboration, we perform a systematic analysis of such decays in a
possible new-physics scenario with heavy Dirac/Majorana neutrinos, including
heavy-neutrino nondecoupling effects, finite quark masses, and quark as well as
meson mixings. We find that $\tau$-lepton decays into an electron or muon and a
pseudoscalar or vector meson can have branching ratios close to the
experimental sensitivity. Numerical estimates show that the predominant decay
modes of this kind are $\tau^-\to e^-\phi$, $\tau^-\to e^-\rho^0$, and
$\tau^-\to e^-\pi^0$, with branching ratios of order $10^{-6}$.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 16:58:05 GMT""},{""version"":""v2"",""created"":""Thu, 30 Mar 1995 19:35:40 GMT""}]","2010-11-01"
"hep-ph/9503457","Michael Goodband","M.Goodband and M.Hindmarsh","Bound States and Instabilities of Vortices","Latex, 20 pages, 6 uuencoded figures","Phys.Rev. D52 (1995) 4621-4632","10.1103/PhysRevD.52.4621","SUSX-TH-95/71","hep-ph",,"  We examine the spectrum of small perturbations around global and local
(gauge) abelian vortices, using simple numerical matrix techniques. The results
are of interest for both cosmic strings and for their condensed matter
analogues, superfluid and superconducting vortices. We tabulate the
instabilities of higher winding number vortices, and find several bound states.
These localised oscillations of the order parameter can be thought of as
particle states trapped in the core of the string.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 17:10:54 GMT""}]","2009-10-28"
"hep-ph/9503458",,"Michael S. Chanowitz","Probing for Ultraheavy Quanta at LHC","12 pages plain LATEX plus 2 postscript figures in separate uuencoded
  file or by request. Complete manuscript available as a postscript file at
  http://theor1.lbl.gov/www/theorygroup/papers/36949.ps","Phys.Lett.B352:376-381,1995","10.1016/0370-2693(95)00477-3","LBL-36949","hep-ph",,"  Experiments at the LHC are sensitive to the presence or absence of matter
quanta at mass scales far beyond the scales they can probe directly. The
production of $Z$ boson pairs by gluon-gluon fusion is greatly enhanced if
there are ultraheavy quanta that carry $SU(3)_{\rm Color}$ and get their mass
from electroweak symmetry breaking. For example, a fourth generation quark
doublet with an arbitrarily heavy mass would induce a large excess in the $ZZ$
yield that could be detected at the LHC with only $\simeq 10\%$ of the design
luminosity.
","[{""version"":""v1"",""created"":""Tue, 28 Mar 1995 22:00:49 GMT""}]","2010-11-01"
"hep-ph/9503459",,"Ulf H. Danielsson and Dario Grasso","The Polarization of a QED Plasma in a Strong Magnetic Field","Latex, 20 pages, two figures included. Figs. postcript files are
  tarred, compressed and uuencoded. Accepted for publication on Phys. Rev. D.
  Only some refs. have been updated and corrected in this revised version","Phys.Rev. D52 (1995) 2533-2542","10.1103/PhysRevD.52.2533","UUITP-2/95.","hep-ph",,"  In this paper we study the polarization tensor of photons in a QED plasma in
the presence of a magnetic field. We do it both at vanishing and at finite
temperature. We use two different methods to compute the polarization tensor
components $\Pi^{\mu\nu}$ within the one-loop approximation. The first starts
from the effective Lagrangian of the system and relates $\Pi^{\mu\nu}$ to the
thermodynamic quantities. The second makes use of the electron propagator in an
external magnetic field. In this second approach we use an imaginary time
formalism. These methods give consistent results in the first non-vanishing
order in the photon 4-momentum. Beyond this limit the first method is not
applicable and the introduction of the second can not be avoided. We give some
physical interpretations of our results.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 11:47:10 GMT""},{""version"":""v2"",""created"":""Tue, 9 May 1995 13:01:57 GMT""},{""version"":""v3"",""created"":""Wed, 10 May 1995 08:48:23 GMT""}]","2009-10-28"
"hep-ph/9503460",,"Samuel W. MacDowell and Ola T\""ornkvist","INSTABILITY OF A NIELSEN-OLESEN VORTEX EMBEDDED IN THE ELECTROWEAK
  THEORY: II. ELECTROWEAK VORTICES AND GAUGE EQUIVALENCE","6 pages, plain latex, no figures, submitted to Mod. Phys. Lett. A as
  ""Electroweak Vortices and Gauge Equivalence"".","Mod.Phys.Lett. A10 (1995) 1065-1072","10.1142/S0217732395001186","NORDITA 95/25P.","hep-ph",,"  Vortex configurations in the electroweak gauge theory are investigated. Two
gauge-inequivalent solutions of the field equations, the Z and W vortices, have
previously been found. They correspond to embeddings of the abelian
Nielsen-Olesen vortex solution into a U(1) subgroup of SU(2)xU(1). It is shown
here that any electroweak vortex solution can be mapped into a solution of the
same energy with a vanishing upper component of the Higgs field. The
correspondence is a gauge equivalence for all vortex solutions except those for
which the winding numbers of the upper and lower Higgs components add to zero.
This class of solutions, which includes the W vortex, instead corresponds to a
singular solution in the one-component gauge. The results, combined with
numerical investigations, provide an argument against the existence of other
vortex solutions in the gauge-Higgs sector of the Standard Model.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 13:19:45 GMT""}]","2009-10-28"
"hep-ph/9503462","Arnold's cat","Alessandro Drago, Manuel Fiolhais and Ubaldo Tambini","Quark Matter in the Chiral Color Dielectric Model","17 pages, REVTeX, 5 uuencoded figures","Nucl.Phys. A588 (1995) 801-818","10.1016/0375-9474(95)00076-D",,"hep-ph astro-ph nucl-th",,"  We study the equation of state (EOS) of quark matter at zero temperature,
using the Color Dielectric Model (CDM) to describe confinement. Sensible
results are obtained in the version of the CDM for which confinement is imposed
{\it smoothly}. The two--phases version of the model turns out to give
unrealistic results for the EOS. Chiral symmetry plays a marginal r\^ole and
the quarks are massive till high densities. The deconfinement phase transition
is smooth and unlikely to be first order. Instabilities of the quark matter and
the gap equation are discussed.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 14:47:42 GMT""}]","2019-08-17"
"hep-ph/9503463","Masashi Hayakawa","M. Hayakawa, T. Kinoshita and A. I. Sanda","Hadronic Light-by-light Scattering Effect on Muon g-2","Revtex, 11 pages plus two uuencoded figures","Phys.Rev.Lett. 75 (1995) 790-793","10.1103/PhysRevLett.75.790","DPNU-94-21","hep-ph",,"  The hadronic light-by-light scattering contribution to muon $g-2$ is examined
using low energy effective theories of QCD, the Nambu-Jona-Lasinio model and
hidden local chiral symmetry, as guides. Our result is $- 36 \times 10^{-11}$
with an uncertainty of $\pm 16 \times 10^{-11}$, which includes our best
estimate of model dependence. This is within the expected measurement
uncertainty of $40\times 10^{-11}$ in the forthcoming experiment at Brookhaven
National Laboratory. Our result removes one of the main theoretical obstacles
in verifying the existence of the weak contribution to the muon $g-2$.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 15:03:29 GMT""}]","2009-10-28"
"hep-ph/9503464","Annette Holtkamp","J. Binnewies, B.A. Kniehl, and G. Kramer","Pion and Kaon Production in $e^+e^-$ and $ep$ Collisions at
  Next-to-Leading Order","22 pages, latex, 13 compressed ps figures in separate file","Phys.Rev.D52:4947-4960,1995","10.1103/PhysRevD.52.4947","DESY 95-048","hep-ph",,"  We present new sets of fragmentation functions for charged pions and kaons,
both at leading and next-to-leading order. They are fitted to data on inclusive
charged-hadron production in $e^+e^-$ annihilation taken by TPC at PEP ($\sqrt
s=29$~GeV) and to similar data by ALEPH at LEP, who discriminated between
events with charm, bottom, and light- flavour fragmentation in their
charged-hadron sample. We treat all partons independently and to properly
incorporate the charm and bottom thresholds. Due to the sizeable energy gap
between PEP and LEP, we are sensitive to the scaling violation in the
fragmentation process, which allows us to extract a value for the asymptotic
scale parameter of QCD, $\Lambda$. Recent data on inclusive charged-hadron
production in tagged three-jet events by OPAL and similar data for longitudinal
electron polarization by ALEPH allow us to pin down the gluon fragmentation
functions. Our new fragmentation functions lead to an excellent description of
a multitude of other $e^+e^-$ data on inclusive charged-hadron production,
ranging from $\sqrt s=5.2$~GeV to LEP energy. In addition, they agree nicely
with the transverse-momentum spectra of single charged hadrons measured by H1
and ZEUS in photoproduction at the $ep$ collider HERA, which represents a
nontrivial check of the factorization theorem of the QCD-improved parton model.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 13:32:26 GMT""}]","2010-11-01"
"hep-ph/9503466","Fernando Cornet","Fernando Cornet and Jose I. Illana","TAU-PAIR PRODUCTION VIA PHOTON-PHOTON COLLISIONS AT LEP","9 pages, latex, 2 figures","Phys.Rev. D53 (1996) 1181-1184","10.1103/PhysRevD.53.1181","UG-FT-52/94","hep-ph hep-ex",,"  We point out that the cross-section for the process $e^+ e^- \to e^+ e^-
\tau^+ \tau^-$ at LEP is large enough to allow for a study of the anomalous
electromagnetic couplings of the $\tau$ lepton. We show that the present bounds
on the magnetic dipole moment can be improved and that competitive bounds can
be obtained for the electric dipole moment using the data taken from 1992 to
1994. Finally, we briefly discuss the improvements that can be obtained at LEP
II.
","[{""version"":""v1"",""created"":""Wed, 29 Mar 1995 14:14:51 GMT""},{""version"":""v2"",""created"":""Thu, 30 Mar 1995 09:10:37 GMT""}]","2009-10-28"
