"adap-org/9508004","Pillet Claude-Alain","V. Jaksic (IMA, University of Minnesota, Minneapolis) and C.-A. Pillet
  (Dep. de Physique Theorique, Universite de Geneve)","Ergodic Properties of the Spin - Boson System","31 pages, postscript",,,,"adap-org nlin.AO",,"  We investigate the dynamics of a 2-level atom (or spin-1/2) coupled to a
mass-less bosonic field at positive temperature. We prove that, at small
coupling, the combined quantum system approaches thermal equilibrium. Moreover
we establish that this approach is exponentially fast in time. We first reduce
the question to a spectral problem for the Liouvillean, a self-adjoint operator
naturally associated with the system. To compute this operator, we invoke
Tomita-Takesaki theory. Once this is done we use complex deformation techniques
to study its spectrum. The corresponding zero temperature model is also
reviewed and compared.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 08:42:20 GMT""}]","2008-02-03"
"alg-geom/9508008","Alexander Goncharov","A.B. Goncharov, A.M. Levin","Zagier's conjecture on $L(E,2)$","this is the final version of our paper LaTeX",,,,"alg-geom math.AG",,"  In this paper we introduce an elliptic analog of the Bloch-Suslin complex and
prove that it (essentially) computes the weight two parts of the groups
$K_2(E)$ and $K_1(E)$ for an elliptic curve $E$ over an arbitrary field $k$.
Combining this with the results of Bloch and Beilinson we proved Zagier's
conjecture on $L(E,2)$ for modular elliptic curves over $\Bbb Q$.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 13:50:55 GMT""},{""version"":""v2"",""created"":""Sun, 20 Aug 1995 21:48:16 GMT""},{""version"":""v3"",""created"":""Thu, 30 May 1996 07:52:24 GMT""},{""version"":""v4"",""created"":""Sun, 15 Jun 1997 14:12:01 GMT""}]","2008-02-03"
"alg-geom/9508009","Niels Lauritzen","A. Buch, J. F. Thomsen, N. Lauritzen and V. B. Mehta","Frobenius morphisms over Z/p^2 and Bott vanishing","AMS-LaTeX, For a dvi-version of this preprint please check out
  http://www.mi.aau.dk/~niels/papers.html",,,"Aarhus University Preprint Series no. 11, 1995","alg-geom math.AG",,"  Let $X$ be a smooth projective algebraic variety over $Z/p$, which has a flat
lift to a scheme $X'$ over $Z/p^2$. If the absolute Frobenius morphism $F$ on
$X$ lifts to a morphism on $X'$, then an old trick by Mazur shows that
push-down of the de Rham complex under $F$ decomposes. We show that the
quasi-isomorphism in question is split. This is then applied to toric varieties
(where a glueing argument gives lifting of Frobenius to $Z/p^2$) and we derive
natural characteristic $p$ proofs of Bott vanishing and degeneration of the
Danilov spectral sequence. For flag varieties we obtain generalizations of a
result of Paranjape and Srinivas about non-lifting of Frobenius to the Witt
vectors.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 14:57:44 GMT""}]","2008-02-03"
"astro-ph/9508065","John Ruhl","J.E. Ruhl (U. Chicago), M. Dragovan (U. Chicago), S.R. Platt (Yerkes),
  J. Kovac (Princeton), and G. Novak (Northwestern)","Anisotropy of the Microwave Sky at 90 GHz: Results from Python II","10 pages, plus 2 figures. Postscript and uufiles versions available
  via anonymous ftp at ftp://astro.uchicago.edu/pub/astro/ruhl/pyII","Astrophys.J. 453 (1995) L1","10.1086/309739","EFI-95-38","astro-ph",,"  We report on additional observations of degree scale anisotropy at 90~GHz
from the Amundsen-Scott South Pole Station in Antarctica. Observations during
the first season with the Python instrument yielded a statistically significant
sky signal; in this paper we report the confirmation of that signal with data
taken in the second year, and on results from an interleaving set of fields.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 18:11:20 GMT""}]","2009-10-28"
"astro-ph/9508066","Bruce Draine","B. T. Draine","Grain Destruction in Interstellar Shocks","To appear in Shocks in Astrophysics, ed. T.J. Millar. Talk given at
  conference Shocks in Astrophysics, Manchester, Jan. 1995. 13 pages with 6
  figures: uuencoded compressed postscript. Also available as POPe-633 on
  http://astro.princeton.edu/~library/prep.html","Astrophys.Space Sci.233:111-123,1995","10.1007/BF00627339","POPe-633","astro-ph",,"  Interstellar shock waves can erode and destroy grains present in the shocked
gas, primarily as the result of sputtering and grain-grain collisions.
Uncertainties in current estimates of sputtering yields are reviewed. Results
are presented for the simple case of sputtering of fast grains being stopped in
cold gas. An upper limit is derived for sputtering of refractory grains in
C-type MHD shocks: shock speeds $v_s \gtrsim 50 \kms$ are required for return
of more than 30\% of the silicate to the gas phase. Sputtering can also be
important for removing molecular ice mantles from grains in two-fluid MHD shock
waves in molecular gas. Recent estimates of refractory grain lifetimes against
destruction in shock waves are summarized, and the implications of these short
lifetimes are discussed.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 18:46:44 GMT""}]","2010-04-21"
"astro-ph/9508067","Bruce Draine","Frank Bertoldi and B. T. Draine","Non-Equilibrium Photodissociation Regions: Ionization-Dissociation
  Fronts","Ap. J., in press 31 pages with 8 figures: uuencoded compressed
  postscript. Also available as POPe-634 on
  http://astro.princeton.edu/~library/prep.html","Astrophys.J. 458 (1996) 222","10.1086/176805","POPe-634","astro-ph",,"  We discuss the theory of coupled ionization--dissociation fronts produced
when molecular clouds are exposed to $\lambda < 1110$\AA\ radiation from hot
stars. A steady, composite structure is developed, which generally includes an
ionized outflow away from the cloud, an ionization front, a layer of
photodissociated gas, a photodissociation front, and a shock wave preceding the
photodissociation front. We show that the properties of the structure are
determined by two dimensionless parameters, $\psi$ and $\delta$, and by the
Alfv\'en speed in the preshock gas. For a broad range of parameters of
interest, the ionization front and the hydrogen photodissociation front do not
separate, the H$_2$ photodissociation and photoionization take place together,
and a classical hydrogen ``photodissociation region'' (PDR) does not exist. We
also show that even when a distinct photodissociation region exists, in many
cases the dissociation front propagates too rapidly for the usual stationary
models of PDRs to be applicable. We discuss several famous PDRs, e.g., in M17
and Orion and conclude that they cannot be described by equilibrium PDR models.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 19:02:16 GMT""}]","2009-10-28"
"astro-ph/9508068","Vicki Sarajedini","Vicki L. Sarajedini (Steward Obs.), Richard F. Green (NOAO) and Buell
  T. Jannuzi (KPNO)","Requirements for Investigating the Connection Between Lyman Alpha
  Absorption Clouds and the Large-Scale Distribution of Galaxies","17 pages LaTeX file, plus 6 uuencoded compressed .eps figures to be
  printed seperately, to appear in Feb. 1, 1996 ApJ",,"10.1086/176750",,"astro-ph",,"  We model the requirements on observational data that would allow an accurate
determination of the degree of association between Lyman alpha absorbers and
peaks in the redshift distribution of galaxies (large-scale structures like
clusters of galaxies). We compare simulated distributions of low-redshift Lyman
alpha absorption systems, constrained to be consistent with the distribution
observed with HST, with the large-scale distribution of galaxies determined
from pencil-beam redshift surveys. We estimate the amount of observational data
required from catalogues of Lyman alpha absorbers and galaxies to allow a
statistically significant test of the association of absorbers with large-scale
structures of galaxies.
  We find that for each line-of-sight observed for Lyman alpha absorption lines
(assuming that the entire redshift range out to z=0.4 is observable), redshifts
must be obtained for at least 18 galaxies brighter than Mb=-18 and having
redshifts between 0.2 and 0.4. Based on the redshift surveys used in this
study, a search radius of 10' from the quasar line-of-sight is required. This
will ensure that all peaks in the galaxy redshift distribution are represented
by at least one galaxy in the observed sample. If Lyman alpha absorbers are
intrinsically uncorrelated with galaxies, we find that 8 lines-of-sight must be
observed to show that the distributions are different at the 95% confidence
level. However, if a fraction of the Lyman alpha absorbers are distributed with
the peaks in the galaxy distribution, 38 lines-of-sight must be mapped for the
distribution of both Lyman alpha absorbers and galaxies in order to determine
the fraction of absorbers distributed with the peaks of the galaxy distribution
to an accuracy of 10%.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 20:53:39 GMT""}]","2009-10-28"
"astro-ph/9508069",,"Charles D. Dermer (Naval Research Laboratory), James A. Miller
  (University of Alabama at Huntsville), and Hui Li (Rice University)","Stochastic Particle Acceleration near Accreting Black Holes","31 pages, 8 figures, uuencoded compressed postscript file. Accepted
  for publication in The Astrophysical Journal (1 January 1996)","Astrophys.J. 456 (1996) 106","10.1086/176631","NRL 7653-15","astro-ph",,"  We consider the stochastic acceleration of particles which results from
resonant interactions with plasma waves in black hole magnetospheres. We
calculate acceleration rates and escape time scales for protons and electrons
resonating with Alfv\'en waves, and for electrons resonating with whistlers.
Assuming either a Kolmogorov or Kraichnan wave spectrum, accretion at the
Eddington limit, magnetic field strengths near equipartition, and turbulence
energy densities $\sim 10\%$ of the total magnetic field energy density, we
find that Alfv\'en waves accelerate protons to Lorentz factors $\lte
10^4$--$10^6$ before they escape from the system. Acceleration of electrons by
fast mode and whistler waves can produce a nonthermal population of
relativistic electons whose maximum energy is determined by a competition with
radiation losses. Particle energization and outflow is not possible at lower
accretion rates, magnetic field strengths, or turbulence levels due to dominant
Coulomb losses. Increases in the accretion luminosity relative to the Eddington
luminosity can trigger particle acceleration out of the thermal background, and
this mechanism could account for the differences between radio-quiet and
radio-loud active galactic nuclei. Observations of outflowing radio-emitting
components following transient X-ray events in galactic X-ray novae and
gamma-ray flares in blazars are in accord with this scenario.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 22:43:52 GMT""}]","2009-10-28"
"astro-ph/9508070","Matthew Colless","Matthew Colless & Andrew M. Dunn","Structure and Dynamics of the Coma Cluster","To appear in Ap.J., 43 pages, Postscript of text only, see
  http://msowww.anu.edu.au/~colless/Preprints/coma.html for text, tables and
  figures","Astrophys.J.458:435,1996","10.1086/176827","MMC-95-2","astro-ph",,"  We examine the structure and dynamics of the galaxies in the Coma cluster
using a catalog of 552 redshifts including 243 new measurements. The velocity
distribution is shown to be non-Gaussian due to structure associated with the
group of galaxies around NGC4839, 40 arcmin SW of the cluster core. We apply a
mixture-modelling algorithm to the galaxy sample and obtain a robust partition
into two subclusters which we use to examine the system's dynamics. We find
that the late-type galaxies are freely-falling into a largely virialised
cluster core dominated by early types. We obtain a virial mass for the main
cluster in close agreement with the estimates derived from recent X-ray data.
The mass of the NGC4839 group is about 5-10% the mass of the main cluster.
Assuming the main cluster and the NGC4839 group follow a linear two-body orbit,
the favored solution has the two clusters lying at 74 degrees to the line of
sight at a true separation of 0.8 Mpc and moving together at 1700 km/s. The
cluster core shows evidence of an ongoing merger between two subclusters
centered in projection on the dominant galaxies NGC4874 and NGC4889 but offset
in velocity by 300 km/s and 1100 km/s respectively. Combining these results
with X-ray and radio observations, and an interpretation of the presence or
lack of an extended halo around the dominant galaxies, we develop a merger
history for the Coma cluster.
","[{""version"":""v1"",""created"":""Wed, 16 Aug 1995 23:59:22 GMT""}]","2008-11-26"
"astro-ph/9508071","Geza Gyuk","Evalyn I. Gates, Geza Gyuk, and Michael S. Turner","Gravitational Microlensing and the Galactic Halo","19 pages, 13 multipart figures are available at
  ftp://astro.uchicago.edu/ftp/pub/astro/gyuk/","Phys.Rev.D53:4138-4176,1996","10.1103/PhysRevD.53.4138","FERMILAB--Pub--95/267-A","astro-ph",,"  By means of extensive galactic modeling we study the implications of the more
than eighty microlensing events that have now been observed for the composition
of the dark halo of the Galaxy, as well as for other properties of the Galaxy.
We take the Galaxy to be comprised of luminous and dark disk components, a
bulge, and a dark halo consisting of both MACHOs and cold dark matter with each
component being described by several observationally motivated parameters. We
pare down an initial model space of millions of galactic models to viable
models, those which are consistent with the observational data, including
rotation curve, local projected mass density, and microlensing rates toward the
LMC and bulge. On the basis of a conservative, minimal set of observational
constraints an all-MACHO halo cannot yet be excluded, although in most viable
models of the Galaxy the halo MACHO fraction is between 0\% and 30\%,
consistent with expectations for a universe whose primary component is cold
dark matter. An all-MACHO halo is required to be light, and when data on the
local escape velocity and satellite-galaxy proper motions, which probe the
extent of the dark halo, are taken into account, models which have a high MACHO
mass fraction are ruled out. We also explore the possibility that there are no
MACHOs in the halo. Finally, we point out several important tests that could
definitively exclude an all-MACHO e.g., optical depth for microlensing which is
less than $1.5\times 10^{-7}$ toward the LMC or greater than $3\times 10^{-6}$
toward the bulge.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 02:02:56 GMT""}]","2008-12-18"
"astro-ph/9508072","Vassiliki Kalogera","Vassiliki Kalogera and Ronald F. Webbink (Univ. of Illinois at Urbana)","Formation of Low-Mass X-ray Binaries. I. Constraints on Hydrogen-Rich
  Donors at the Onset of the X-ray Phase","12 pages (text) and 10 Postscript figures, total of 11 PS files all
  in one uuencoded gz-compressed tar file. Accepted for publication in ApJ. In
  case of problems, contact vicky@astro.uiuc.edu",,"10.1086/176813",,"astro-ph",,"  We identify and quantify the set of constraints that neutron star-normal star
binaries must satisfy in order to become observable LMXBs. These constraints
are related to (i) the thermal and hydrostatic equilibrium of the donors, (ii)
the degree to which the mass transfer process is conservative, and (iii) the
age of the systems. They divide the parameter space of potential LMXBs in
several distinct parts, of which those that actually become LMXBs at the onset
of mass transfer occupy only a small part. Of the remainder, many become
unstable to dynamical time scale mass transfer either at the onset or later in
the course of mass transfer, and enter common envelope evolution. Others
experience super-Eddington mass transfer but may eventually survive to become
LMXBs. These survivors arguably include binary millisecond pulsars with orbital
periods in excess of $100$\,d, ultrashort-period LMXBs with hydrogen-deficient
donors, and long-period LMXBs with giant donors.
","[{""version"":""v1"",""created"":""Thu, 17 Aug 1995 04:26:11 GMT""}]","2009-10-28"
