"alg-geom/9502002","Steven Rosenberg","Ying Zhu","A Generalization of the Kodaira Vanishing and Embedding Theorem","21 pages, amslatex postscript file",,,,"alg-geom dg-ga math.AG math.DG",,"  We give several generalizations of the Kodaira vanishing and embedding
theorems for K\""ahler manifolds to the case where the relevent line bundle has
a small region of negative curvature. To prove the vanishing theorems we adapt
techniques of Elworthy-Rosenberg for vanishing theorems in Riemannian geometry.
For the embedding theorem, we show that a K\""ahler manifold with a mostly
positive line bundle is Moishezon, since the usual blow up techniques do not
work in our situation.
","[{""version"":""v1"",""created"":""Thu, 2 Feb 1995 17:42:10 GMT""}]","2015-06-30"
"alg-geom/9502003","Arnaud Beauville","Arnaud Beauville","A Calabi-Yau threefold with non-Abelian fundamental group","4 pages, Plain TeX",,,,"alg-geom math.AG",,"  The title is self-explanatory.
","[{""version"":""v1"",""created"":""Fri, 3 Feb 1995 07:47:32 GMT""}]","2015-06-30"
"astro-ph/9502009","Ricardo Schiavon","R. Piorno Schiavon, C. Batalha and B. Barbuy","Determination of Atmospheric Parameters of T Tauri Stars","Plain tex, 25 pages plus one table and 6 figures in uuencoded,
  compressed, tarred Postscript files. Complete uuencoded, compressed, tarred
  version available upon request to ripisc@astro1.iagusp.usp.br. To appear in
  Astronomy & Astrophysics.",,,,"astro-ph",,"  The inferred effective temperatures (T$_{\rm eff}$) and surface gravities of
T Tauri stars (TTS) are usually contaminated by the presence of a non stellar
continuum emission (veiling) and the strong chromospheric activity
characteristic of these objects. In this work, we develop a method to determine
T$_{\rm eff}$'s and surface gravities (log$\,g$) of a group of TTS. This method
is based on the comparison between observed and theoretical molecular and
atomic line depth ratios being therefore insensitive to the influence of
veiling. We show the strong dependence of our line depth ratios upon gravity
and temperature. The resulting gravities, as expected for TTS, average between
the values of dwarf and giant stars. Previously published gravities for each of
our stars vary widely due in part to the differences in the adopted visual
extinction, veiling (if ever considered) and methods of assessing the stellar
luminosity. Our values of T$_{\rm eff}$ and log$\,g$ have the uniqueness of
being entirely derived from high resolution data and are not affected by
circumstellar extinction or veiling when line ratios are used. They therefore
serve as more reliable input parameters for future spectral synthesis analyses
of T Tauri Stars requiring model atmospheres. We provide a table relating
theoretical line depth ratio with T$_{\rm eff}$ and log $\,g$ for easy
assessment of TTS fundamental parameters.
","[{""version"":""v1"",""created"":""Thu, 2 Feb 1995 17:03:13 GMT""},{""version"":""v2"",""created"":""Fri, 3 Feb 1995 11:37:31 GMT""}]","2016-08-30"
"astro-ph/9502010","Juan Bellido","Orfeu Bertolami and Juan Garcia-Bellido","Astrophysical and cosmological constraints on a scale-dependent
  gravitational coupling","Important revision, new references.","Int.J.Mod.Phys.D5:363-374,1996","10.1142/S0218271896000230","CERN-TH/95-15","astro-ph gr-qc hep-ph",,"  We study the phenomenological consequences of the recently proposed idea of a
running gravitational coupling on macroscopic scales. When applied to the
rotation curves of galaxies, we find that their flatness requires the presence
of baryonic dark matter. Bounds on the variation of the gravitational coupling
from primordial nucleosynthesis and the change of the period of binary pulsars
are analysed. We also study constraints on the variations of $G$ with scale
from gravitational lensing and the cosmic virial theorem, as well as briefly
discuss the implications of such a scenario for structure formation.
","[{""version"":""v1"",""created"":""Thu, 2 Feb 1995 19:49:06 GMT""},{""version"":""v2"",""created"":""Thu, 30 Mar 1995 17:33:10 GMT""}]","2010-11-01"
"astro-ph/9502012","Max Tegmark","Max Tegmark","A method for extracting maximum resolution power spectra from galaxy
  surveys","25 pages, including two figures. Postscript. Slightly revised to
  match published version. Also available from
  http://astro.berkeley.edu/~max/power.html (faster from the US), from
  http://www.mpa-garching.mpg.de/~max/power.html (faster from Europe) or from
  max@mppmu.mpg.de","Astrophys.J.455:429-438,1995","10.1086/176591","MPI-PhT/95-7","astro-ph",,"  The power spectrum estimated from a galaxy redshift survey is the real
spectrum convolved with a window function, so when estimating the power on very
large scales (for small k), it is important that this window function be as
narrow as possible. A method that achieves this is presented. The optimal
estimate of P(k) is found to be the Fourier transform of the number density
fluctuations (n/nbar - 1) weighted by a function psi_0, and the optimal psi_0
is found to be the ground-state solution of the Schoedinger equation, with the
inverse selection function as the potential. This quantum mechanics analogy
occurs basically because we want the weight function to be narrow both in
Fourier space (to give a narrow window) and in real space (to minimize the
variance from shot noise). An optimal method for averaging the estimates at
different k-vectors is also presented, generalizing the standard procedure of
averaging over shells in k-space. Finally, a discrete version of the method is
presented, dividing space into ``fuzzy pixels"", which has the advantage of
being able to handle redshift distortions in a straightforward way.
","[{""version"":""v1"",""created"":""Thu, 2 Feb 1995 23:57:24 GMT""},{""version"":""v2"",""created"":""Mon, 27 Nov 1995 17:25:57 GMT""}]","2009-10-07"
"astro-ph/9502013","Matthias Steinmetz","Matthias Steinmetz","Photoionization Effects During Galaxy Formation","4 pages, uuencoded postscript file, 2 figures, 1 included, complete
  compressed postscript file via anonymous ftp at
  ftp://deep-thought.MPA-Garching.MPG.DE/pub/Preprints/texas.ps.Z, or at
  http://www.mpa-garching.mpg.de//Galaxien/Preprints/texas.ps",,"10.1111/j.1749-6632.1995.tb17624.x",,"astro-ph",,"  SPH hydrodynamical simulations of the formation of galaxies are presented
including the effects of an UV background radiation field. Based on a talk
presented at the 17th Texas Symposium on Relativistic Astrophysics held in
Munich, December 1994.
","[{""version"":""v1"",""created"":""Fri, 3 Feb 1995 10:20:06 GMT""}]","2016-08-30"
"astro-ph/9502014","Xingming Chen","Xingming Chen","COLD ACCRETION DISKS WITH CORONAE AND ADVECTION","Submitted to ApJ November 1994, in press PS file, 11 Pages including
  2 Figs","Astrophys.J. 448 (1995) 803","10.1086/176008","Astro-1994-05","astro-ph",,"  Cold optically thick accretion disks with hot coronae and radial advection
have been investigated. Within the framework of $\alpha$-viscosity models, we
assume that all the mass accretion and angular momentum transport take place in
the cold disk, but that a fraction of the gravitational energy released is
dissipated in the corona. Both the coronal energy dissipation and the advection
heat transport have a stabilization effect on the thermal and viscous
instabilities of the disk. If that more than $\sim 95$ percent of the total
power is dissipated in the corona, then the locally unstable behavior of the
disk is restricted to a relatively narrow spatial region and is found to lie in
a small range of mass accretion rates. The global temporal variability of the
disk can be very mild or may disappear, and which may be applicable to the
low-frequency ($\sim 0.04$~Hz) quasi-periodic oscillations observed in black
hole candidates Cyg X--1 and GRO J0422+32.
","[{""version"":""v1"",""created"":""Fri, 3 Feb 1995 12:16:53 GMT""}]","2009-10-28"
"astro-ph/9502015","Xingming Chen","Xingming Chen, Marek A. Abramowicz, Jean-Pierre Lasota, Ramesh
  Narayan, and Insu Yi","Unified Description of Accretion Flows Around Black Holes","Submitted to ApJL January 1995, in press PS file, 11 Pages including
  2 Figs","Astrophys.J.443:L61,1995","10.1086/187836","Astro-1995-01","astro-ph",,"  We provide a unified description of thermal equilibria of black hole
accretion disks, including the newly-discovered advection-dominated solutions.
We classify the solutions on the basis of optical depth and importance of
advection cooling. We demonstrate that only four physically distinct
topological types of equilibria exist. Two of the types correspond to optically
thin and optically thick equilibria, while the other two types are
distinguished by whether advection is negligible or dominant. A stable
Shakura-Sunyaev disk exists only for accretion rates $\dot M$ below a certain
maximum. However, there is a critical viscosity parameter $\alpha_{\rm crit}$,
which is a function of radius, such that for $\alpha>\alpha_{\rm crit}$
advection-dominated solutions exist for all $\dot M$. Even when $\alpha<
\alpha_{\rm crit}$, the advection-dominated solutions are available for a wide
range of $\dot M$ except for a gap around the Eddington rate. We therefore
suggest that advection-dominated flows may be more common than standard thin
disks in black hole systems. For certain ranges of radii and $\dot M$, no
stable steady state solution is possible. In these cases, we suggest that limit
cycle behavior may occur, leading to variability.
","[{""version"":""v1"",""created"":""Fri, 3 Feb 1995 12:16:05 GMT""}]","2009-10-28"
"astro-ph/9502016","Matthew Colless","Matthew Colless","THE ABELL CLUSTER INERTIAL FRAME","To appear in A.J., 20 pages, Postscript, see also
  http://meteor.anu.edu.au/~colless/Preprints/ACIF.ps",,"10.1086/117419","MMC-95-1","astro-ph",,"  A re-analysis of Lauer \& Postman's (1994; LP) finding that the Abell cluster
inertial frame (ACIF), defined by the 119 Abell clusters within 15,000 km/s, is
moving at almost 700 km/s with respect to the cosmic microwave background. Such
a motion is inconsistent with most cosmological models at a confidence level of
95% or higher. We obtain an exact expression for a cluster's peculiar velocity
in terms of the residual magnitude about the mean relation between the metric
luminosity of brightest cluster galaxies and the slope of their luminosity
profiles. We compare this to the approximation used by LP. We develop a maximum
likelihood procedure for recovering the Local Group motion from the scatter in
this relation which yields an unbiased estimate for the motion with
significantly smaller uncertainties than LP's method. We re-analyse LP's data
and find that the Local Group is moving relative to the ACIF at 626 (+/-242)
km/s towards l=216, b=-28 (+/-20). This implies that the ACIF is itself moving
relative to the cosmic microwave background at 764 (+/-160) km/s towards l=341,
b=49 (+/-20). This motion is consistent with that derived by LP but has a 10%
larger amplitude and 20% smaller errors, making it even harder to reconcile
with cosmological models.
","[{""version"":""v1"",""created"":""Fri, 3 Feb 1995 13:27:09 GMT""}]","2016-08-30"
"chao-dyn/9501027","Chris Jarzynski","Christopher Jarzynski","Geometric phases and anholonomy for a class of chaotic classical systems","Revtex, 11 pages, no figures.",,"10.1103/PhysRevLett.74.1732","DOE/ER/40561-182-INT94-00-80","chao-dyn nlin.CD quant-ph",,"  Berry's phase may be viewed as arising from the parallel transport of a
quantal state around a loop in parameter space. In this Letter, the classical
limit of this transport is obtained for a particular class of chaotic systems.
It is shown that this ``classical parallel transport'' is anholonomic ---
transport around a closed curve in parameter space does not bring a point in
phase space back to itself --- and is intimately related to the Robbins-Berry
classical two-form.
","[{""version"":""v1"",""created"":""Thu, 2 Feb 1995 22:37:27 GMT""}]","2016-08-31"
"chao-dyn/9501028","Chris Jarzynski","Christopher Jarzynski","Thermalization of a Brownian particle via coupling to low-dimensional
  chaos","Revtex, 11 pages, no figures.",,"10.1103/PhysRevLett.74.2937","DOE/ER/40561-181-INT94-14-04","chao-dyn adap-org cond-mat nlin.AO nlin.CD",,"  It is shown that a paradigm of classical statistical mechanics --- the
thermalization of a Brownian particle --- has a low-dimensional, deterministic
analogue: when a heavy, slow system is coupled to fast deterministic chaos, the
resultant forces drive the slow degrees of freedom toward a state of
statistical equilibrium with the fast degrees. This illustrates how concepts
useful in statistical mechanics may apply in situations where low-dimensional
chaos exists.
","[{""version"":""v1"",""created"":""Thu, 2 Feb 1995 22:48:22 GMT""}]","2016-08-31"
