"alg-geom/9502008",,"Vincenzo Ancona and Giorgio Ottaviani","On singularities of ${\cal M}_{I\!\! P^3}(c_1,c_2)$","7 pages, Plain Tex",,,,"alg-geom math.AG",,"  Let ${\cal M}_{I\!\! P^3}(c_1,c_2)$ be the moduli space of stable rank-$2$
vector bundles on $I\!\! P^3$ with Chern classes $c_1$, $ c_2$. We prove the
following results.
  1) Let $0 \le \beta < \gamma $ be two integers, ($\gamma \ge 2)$, such that
$2\gamma-3\beta>0$; then ${\cal M}_{I\!\! P^3}(0,2\gamma^2-3\beta^2)$ is
singular (the case $\beta =0$ was previously proved by M. Maggesi).
  2) Let $0 \le \beta < \gamma $ be two odd integers ($\gamma \ge 5)$, such
that $2\gamma-3\beta+1>0$; then ${\cal M}_{I\!\!
P^3}(-1,2(\gamma/2)^2-3(\beta/2)^2+1/4)$ is singular.
  In particular ${\cal M}_{I\!\! P^3}(0,5)$, ${\cal M}_{I\!\! P^3}(-1,6)$ are
singular.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 17:18:43 GMT""}]","2015-06-30"
"alg-geom/9502009","Mina Teicher","Mina Teicher and Boris Moishezon","Braid Group techniques in Complex Geometry V: The fundamental group of
  the complement of a Veronese generic projection","125 pages, amstex, figures by request. To be published in
  ""Communications in Analysis and Geometry""",,,,"alg-geom math.AG",,"  Computation of the fundamental group of the complement in the complex plane
of the branch curve S , of a generic projection of the Veronese surface to the
plane is presented. This paper is a continuation of our previous papers: Braid
Group Technique I - IV. In I and II we developed algorithms to compute braid
monodromy of a brunch curve, provided there exist a degeneration of the surface
to union of planes in a configuration where the associated branch curve is
partial to a line arrangement dual to generic. In III we constructed a
degeneration of the Veronese surface of order 3 to union of planes with the
desired property and in IV we used I -III to compute the braid monodromy of the
associated branch curve. Here we use the Van-Kampen method to compute the
fundamental group of the complement from a braid monodromy factorization and
some extra properties of the factorization , namely invariant properties, also
proven in IV. The group is presented using a certain quotient of the Braid
group defined by transversal half-twists.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 05:54:32 GMT""}]","2008-02-03"
"alg-geom/9502010","Gaitsgory Denis","D.Gaitsgory","Operads, Grothendieck topologies and Deformation theory","13 pages, AmsTeX",,,,"alg-geom math.AG",,"  The idea of the work is to find an invariant way to pass from deformation
theory to cohomology, which does not use any explicit cocycles. The appropriate
cohomology theory is based on considering sheaves on a certain site. An
advantage of the approach is that it enables one to give a simultanious
treatement to all types of algebras. As an application, we prove the PBW
theorem in cases where it is not yet known.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 13:28:28 GMT""},{""version"":""v2"",""created"":""Wed, 15 Feb 1995 12:09:41 GMT""}]","2008-02-03"
"astro-ph/9502065","Scott Tremaine","Scott Tremaine","An Eccentric Disk Model for the Nucleus of M31","12 pages, uuencoded compressed postscript","Astron.J. 110 (1995) 628","10.1086/117548","CITA-95-017","astro-ph",,"  The nucleus of M31 may be a thick eccentric disk, composed of stars traveling
on nearly Keplerian orbits around a black hole or other dark compact object.
This hypothesis reproduces most of the features seen in HST photometry of the
center of M31; in particular the bright off-center source P1 is the apoapsis of
the disk. An eccentric disk can also explain the rotation curve and asymmetric
dispersion profile revealed by ground-based observations. The central object
must be smaller than 1 pc so that the potential felt by the disk is nearly
Keplerian. The disk eccentricity may be excited by a secular instability driven
by dynamical friction from the bulge.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 19:12:33 GMT""}]","2016-08-30"
"astro-ph/9502066",,"S. Torres, L. Cayon, E. Martinez-Gonzalez and J.L. Sanz","Genus and spot density in the COBE DMR first year anisotropy maps","5 pages, uuencode file containing text and 1 figure. MNRAS in press.",,"10.1093/mnras/274.3.853","IFICA-2","astro-ph",,"  A statistical analysis of texture on the {\it COBE}-DMR first year sky maps
based on the genus and spot number is presented. A generalized $\chi^2$
statistic is defined in terms of ``observable'' quantities: the genus and spot
density that would be measured by different cosmic observers. This strategy
together with the use of Monte Carlo simulations of the temperature
fluctuations, including all the relevant experimental parameters, represent the
main difference with previous analyses. Based on the genus analysis we find a
strong anticorrelation between the quadrupole amplitude $Q_{rms-PS}$ and the
spectral index $n$ of the density fluctuation power spectrum at recombination
of the form $Q_{rms-PS}= 22.2 \pm 1.7 - (4.7 \pm 1.3) \times n\ \mu$K for fixed
$n$, consistent with previous works. The result obtained based on the spot
density is consistent with this $Q_{rms-PS} (n)$ relation. In addition to the
previous results we have determined, using Monte Carlo simulations, the minimum
uncertainty due to cosmic variance for the determination of the spectral index
with the genus analysis. This uncertainty is $\delta n\approx 0.2$.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 19:56:50 GMT""}]","2015-06-24"
"astro-ph/9502067","Gary Steigman","Gary Steigman and Monica Tosi","Generic Evolution Of Deuterium And Helium-3",,,"10.1086/176378","OSU-TA-12/94","astro-ph",,"  The primordial abundances of deuterium and of helium-3, produced during big
bang nucleosynthesis, depend sensitively on the baryon density. Thus, the
observed abundances of D and \he may provide useful ``baryometers'' provided
the evolution from primordial to present (or, presolar nebula) abundances is
understood. Inevitably, the derivation of primordial from observed abundances
requires the intervention of a model for galactic evolution and, so, the
inferred primordial abundances are, necessarily, model dependent. Here, an
analytic framework for the evolution of D and \he is presented which is
``generic'' in the sense that it should describe the results of any specific
galactic evolution model. The ``effective \he survival fraction'', $\Gamma _3$,
is the one free parameter which is model specific. Solar system and
interstellar data are used to infer upper and lower bounds to the primordial
deuterium mass fraction $(X_{2P})$ as a function of $\Gamma _3$ and, these
bounds are used to constrain the present baryon-to-photon ratio $(\eta)$ and
baryon density $(\Omega_B)$. For $\Gamma _3 \geq$ 1/4 it is found that (from D
and \he alone): $3.1 \leq \eta_{10} \leq 9.0$; $0.045 \leq \Omega_B h^2_{50}
\leq 0.133$ (where $H_0 = 50h_{50}$ km$\,$s$^{-1}$ Mpc$^{-1}$).
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 20:58:07 GMT""}]","2016-08-30"
"astro-ph/9502068","Gustavo Medina Tanco","G. A. Medina Tanco and J. E. Steiner","Spectral classification and HR diagram for symbiotic stars in the
  galactic bulge","34 pages including 8 figures, 3 tables compress, uuencoded postscript
  file (707.3 KB). There is also an appendix of 45 spectra (not included in
  this version) which can be asked to gustavo@astro1.iagusp.usp.br",,"10.1086/117407",,"astro-ph",,"  A sample of 45 symbiotic stars observed in the direction of the galactic
bulge are classified in spectral type using TiO $\lambda \lambda 6180, 7100
\AA$ and VO $\lambda \lambda 7865 \AA$ absorption feature indices and visual
comparison. The effective temperatures obtained are used together with K data
from the literature to estimate the bolometric luminosity of the giant
components if located at d=8.5 kpc. The ($T_{eff}$, $L/L_{\odot}$) pairs are
plotted on the HR diagram together with evolutionary tracks for metal rich
intermediate mass stars. The mass of the giant components seem to be scattered
in the interval ($\sim 1.5 - \sim 4 M_{\odot}$). The giant components of D-type
symbiotics appear as if they were more evolved objects than the corresponding
giants in S-type systems. Nevertheless, it is unlikely that they form an
evolutionary sequence. The results point also to the restriction of the
symbiotic phenomenon to the thermally pulsating phase of the AGB, strengthening
an accelerated mass loss scenario for the latest evolutionary stages of
intermediate mass stars.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 11:40:03 GMT""}]","2009-10-28"
"astro-ph/9502071","Isobel Hook","I. M. Hook, R. G. McMahon, A. R. Patnaik, I. W. A. Browne, P. N.
  Wilkinson, M. J. Irwin, C. Hazard","GB1508+5714: a radio-loud quasar with z=4.30 and the space density of
  high redshift, radio--loud quasars.","5 pages, one uuencoded compressed postscipt file (created with
  uufiles) including figures. MNRAS Letter, in press.",,"10.1093/mnras/273.1.L63",,"astro-ph",,"  We report the discovery of a radio loud quasar with a redshift of 4.30. This
object, which is the first radio selected quasar with a redshift greater than
four, was discovered during an observational investigation into the evolution
of the luminosity function of radio loud quasars. Here we describe results
based on a sample of ~300, flat spectrum radio sources with S(5GHz) > 200mJy.
In this study, rather than carry out an indiscriminate redshift campaign on all
the radio sources, we have used the APM POSS catalogue to preselect a subset of
stellar-like optical counterparts with red optical colours. Such a subsample is
expected to contain a high fraction of high redshift quasars. 10 of the ~300
sources were selected for follow-up optical spectroscopy and three of these are
identified as quasars with redshifts greater than 3.0. One of the radio
sources, GB1508+5714, is a quasar with z=4.30 and m(R)~19.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 09:38:35 GMT""}]","2016-06-08"
"cmp-lg/9502014","Dick Crouch","Richard Crouch (SRI International, Cambridge, UK)","Ellipsis and Quantification: a substitutional approach","8 pages, LaTeX uses eaclap.sty; Procs of Euro ACL-95",,,"CRC-054; see http://www.cam.sri.com/","cmp-lg cs.CL",,"  The paper describes a substitutional approach to ellipsis resolution giving
comparable results to Dalrymple, Shieber and Pereira (1991), but without the
need for order-sensitive interleaving of quantifier scoping and ellipsis
resolution. It is argued that the order-independence results from viewing
semantic interpretation as building a description of a semantic composition,
instead of the more common view of interpretation as actually performing the
composition
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 16:40:05 GMT""}]","2016-08-31"
"cmp-lg/9502015",,"Andrew Kehler (Harvard University), Mary Dalrymple (Xerox PARC), John
  Lamping (Xerox PARC), Vijay Saraswat (Xerox PARC)","The Semantics of Resource Sharing in Lexical-Functional Grammar","8 pages, to appear in EACL-95. Requires eaclap.sty, tree-dvips.sty,
  tree-dvips.pro, lingmacros.sty, dgmacros.tex, lfgmacros.tex. Comments
  welcome.","Proceedings of EACL-95",,,"cmp-lg cs.CL",,"  We argue that the resource sharing that is commonly manifest in semantic
accounts of coordination is instead appropriately handled in terms of
structure-sharing in LFG f-structures. We provide an extension to the previous
account of LFG semantics (Dalrymple et al., 1993b) according to which
dependencies between f-structures are viewed as resources; as a result a
one-to-one correspondence between uses of f-structures and meanings is
maintained. The resulting system is sufficiently restricted in cases where
other approaches overgenerate; the very property of resource-sensitivity for
which resource sharing appears to be problematic actually provides explanatory
advantages over systems that more freely replicate resources during derivation.
","[{""version"":""v1"",""created"":""Mon, 13 Feb 1995 20:03:17 GMT""}]","2016-08-31"
"cmp-lg/9502016","Glyn Morrill","Glyn Morrill","Higher-order Linear Logic Programming of Categorial Deduction","8 pages LaTeX, uses eaclap.sty, to appear EACL95",,,,"cmp-lg cs.CL",,"  We show how categorial deduction can be implemented in higher-order (linear)
logic programming, thereby realising parsing as deduction for the associative
and non-associative Lambek calculi. This provides a method of solution to the
parsing problem of Lambek categorial grammar applicable to a variety of its
extensions.
","[{""version"":""v1"",""created"":""Tue, 14 Feb 1995 13:26:18 GMT""},{""version"":""v2"",""created"":""Fri, 17 Feb 1995 14:11:24 GMT""}]","2016-08-31"
