"alg-geom/9506025","A. Libgober","A.Libgober","Automorphisms of crepant resolutions for quotient spaces","11 pages, PlainTex",,,"Duke preprint Duke-M-95-06","alg-geom math.AG",,"  A formula for calculating the Lefschetz number of an automorphism acting on a
crepant resolution for a quotient of a Kahler manifold derived from an
equivariant version of McKay correspondence. The latter is proven in some
cases. As an application the Lefschetz numbers of of involutions acting on
Calabi-Yau threefolds and their mirrors are compared.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 21:43:07 GMT""}]","2008-02-03"
"astro-ph/9506139","Brian Rush","Luigi Spinoglio (IFSI), Matthew A. Malkan & Brian Rush (UCLA), and
  Luis Carrasco & Else Recillas-Cruz (UNAM)","Multiwavelength Energy Distributions and Bolometric Luminosities of the
  12--Micron Galaxy Sample","AASTeX, 18 pages. Text only. Figures (28) and tables (3) available at
  ftp://eggneb.astro.ucla.edu/pub/rush/, named Spinoglio95-Table*.dat (ASCII)
  and Spinoglio95-figs.ps (PostScript; 7 pages, by 4 per page). Scheduled for
  the 1995 November 10 issue of ApJ","Astrophys.J. 453 (1995) 616","10.1086/176425",,"astro-ph",,"  Aperture photometry from our own observations and the literature is presented
for the 12\um\ Galaxies in the near infrared J, H and K bands and, in some
cases, in the L band. These data are corrected to ``total'' near--infrared
magnitudes, (with a typical uncertainty of 0.3 magnitudes) for a direct
comparison with our IRAS fluxes which apply to the entire galaxy. The corrected
data are used to derive integrated total NIR and FIR luminosities. We then
combine these with blue photometry and an estimate of the flux contribution
from cold dust at wavelengths longward of 100\um\ to derive the first {\it
bolometric\/} luminosities for a large sample of galaxies. We use
multiwavelength correlations to identify several combinations of infrared
colors which discriminate between Seyfert~1 and~2 galaxies, LINERs, and
ultraluminous starbursts. We find that bolometric luminosity is more closely
proportional to 12-micron luminosity than to 60-micron, 25-micron or optical
luminosity.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 20:14:50 GMT""}]","2009-10-28"
"astro-ph/9506140","Stefano Cristiani","S. Cristiani, S. Trentini, F. La Franca, I. Aretxaga, P. Andreani, R.
  Vio, A. Gemmo","The Optical Variability of QSO's","14 pages uuencoded compressed postscript, to appear in Astronomy and
  Astrophysics, 1995",,,"AKP-95-4","astro-ph",,"  The long-term variability of a sample of 486 optically selected QSOs in the
fields of the SA94, SA57 and SGP has been studied. The relations of variability
with luminosity and redshift have been investigated by means of statistical
estimators that are ``robust'' and allow at the same time to eliminate the
influence of the measurement errors. The analysis in the QSOs rest frame of
both the ensemble structure function ($SF$) and individual variability indices
show: 1) a negative correlation between variability and luminosity; 2) a
significant positive correlation between variability and $z$; 3) such
correlations may be equally well parameterized either with a model in which the
timescale of the variability is fixed for all the QSOs ($\tau \sim 2.4$ yr),
while the amplitude linearly increases with the absolute magnitude and $z$, or
with a model in which the timescale of the variability linearly depends on the
absolute magnitude and the amplitude is only a function of $z$. The same
analysis carried out in the observer's frame shows: 1) a negative correlation
between variability and luminosity; 2) the timescale of variability does not
depend significantly either on the absolute magnitude or on $z$; 3) the
ensemble structure function is well represented by a parameterization in which,
with a fixed timescale of about 5.5 yr, the amplitude linearly increases with
the absolute magnitude; 4) although the general behaviour of the $SF$ does not
show a systematic variation of the timescale and/or amplitude with $z$, if we
examine the average variability index for objects with $-25>M_B>-27$, we find
that below $z=1$ QSOs are significantly less variable than at higher redshift.
Implications in terms of the black-hole, starburst and microlensing models are
briefly discussed.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 09:03:33 GMT""}]","2007-05-23"
"astro-ph/9506141","http://www. phys. uniroma1. it/DOCS/PIL/pil. html","F. Sylos Labini, M. Montuori and L. Pietronero","Spatial and Luminosity Properties of the Perseus-Pisces Redshift Survey","Submitted to Astrophys.J. file containing 20 pages LaTeX file with 10
  postscript figures, uuencoded gzipped tar file",,"10.1016/0378-4371(96)00076-3",,"astro-ph",,"  We analyze the spatial and the luminosity properties of the Perseus-Pisces
redshift survey. We find that the two point correlation function (CF)
$\Gamma(r)$ is a power law up to the sample effective depth ($\sim 30
h^{-1}Mpc$), showing the fractal nature of the galaxy distribution in this
catalog. The fractal dimension turns out to be $D \approx 2$. We also consider
the CF $\xi(r)$ and in particular the behavior of the ""{\it correlation
length}"" $r_0$ ($\xi(r_{0})\equiv 1$) as function of the sample size. In this
respect we find, unambiguously, that the luminosity segregation effect is not
supported by any experimental evidence. In addition we have studied the
galaxian number-density ($n(r)$) and number-counts ($N(m)$) in the VL
subsamples finding a good agreement with the properties of a fractal
distribution. In particular our conclusion is that the $n(r)$ relation allows
to extend the analysis of the fractal nature up to a deeper depth than that
reached by the CF analysis, and, we find evidence for fractal properties up to
the limiting depth of $120-140 h^{-1} Mpc$. We stress that the $N(m)$ relation
must be studied in VL subsamples rather than in magnitude limited ones as
usually done. Finally we have considered the correlations between galaxy
positions and luminosities by means of the multifractal analysis. We find clear
evidence for self-similar behavior of the whole luminosity-space distribution.
These results confirm and extend those of Coleman \& Pietronero (1992).
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 12:48:09 GMT""},{""version"":""v2"",""created"":""Tue, 11 Jul 1995 16:47:22 GMT""}]","2017-04-26"
"astro-ph/9506142",,"S. Massaglia, G. Bodo, A. Ferrari (Osservatorio Astronomico di Torino,
  Italy)","Dynamical and radiative properties of astrophysical supersonic jets I.
  Cocoon morphologies","14 pages, TeX. Accepted for A&A",,,,"astro-ph",,"  We present the results of a numerical analysis of the propagation and
interaction of a supersonic jet with the external medium. We discuss the motion
of the head of the jet into the ambient in different physical conditions,
carrying out calculations with different Mach numbers and density ratios of the
jet to the exteriors. Performing the calculation in a reference frame in motion
with the jet head, we can follow in detail its long term dynamics. This
numerical scheme allows us also to study the morphology of the cocoon for
different physical parameters. We find that the propagation velocity of the jet
head into the ambient medium strongly influences the morphology of the cocoon,
and this result can be relevant in connection to the origin and structure of
lobes in extragalactic radiosources.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 15:25:24 GMT""},{""version"":""v2"",""created"":""Tue, 11 Jul 1995 09:18:38 GMT""}]","2008-02-03"
"astro-ph/9506143","D. C. Heggie","Mirek Giersz and Douglas C. Heggie","Statistics of N-Body Simulations. III. Unequal Masses","20 pages, plain tex, figures available from d.c.heggie@ed.ac.uk;
  submitted to MNRAS",,"10.1093/mnras/279.3.1037","MS-95-29","astro-ph",,"  We describe results from large numbers of $N$-body simulations containing
from $250$ to $1000$ stars each. The distribution of stellar masses is a power
law, and the systems are isolated. While the collapse of the core exhibits the
expected segregation of different masses, we find that the post-collapse
evolution is, at a first approximation, homologous. This is quite surprising
because there is no reason for supposing that mass segregation should not
continue to have a substantial effect on the evolution of the cluster. In fact
the spatial distribution of the mean stellar mass is nearly static throughout
the post-collapse regime, except for the overall expansion of the systems, and
this helps to explain why the post-collapse evolution is nearly self-similar.
Self-similarity is also exhibited by the distribution of anisotropy and the
profile of departures from equipartition, which show little change during the
post-collapse phase. The departures from energy equipartition and isotropy are
small in the core and increase with radius. During post-collapse evolution
massive stars (mainly) are removed from the system by binary activity. This
effect dominates the preferential escape of low-mass stars due to standard
two-body relaxation processes.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 15:52:51 GMT""}]","2015-06-24"
"astro-ph/9506145","Isabella gioia","I. M. Gioia, J. P. Henry, G. A. Luppino, D. I. Clowe, H. Boehringer,
  U. G. Briel, W. Voges, J.P. Huchra, H. MacGillivray (Institute for Astronomy,
  University of Hawaii,USA; Istituto di Radioastronomia del CNR, Bologna,
  Italy; Max-Planck-Institut fuer Extraterrestrische Physik, Garching bei
  Muenchen, Federal Republic of Germany, Harvard--Smithsonian Center for
  Astrophysics, Cambridge, MA 02138, USA; Royal Observatory Edinburgh,
  Edinburgh, United Kingdom)","Discovery of a Large Gravitational Arc in the X-ray Cluster A2280","4 pages",,,,"astro-ph",,"  This Letter presents the serendipitous discovery of a large arc in an X-ray
selected cluster detected in the Rosat North Ecliptic Pole (NEP) survey. The
cluster, associated with Abell 2280, is identified as the optical counterpart
of the X-ray source RXJ 1743.5+6341. This object is a medium--distant z=0.326
and luminous (L_(0.5-2 kev) = 5.06x10**44 erg/s) cluster dominated by a central
bright galaxy. The arc is located ~ 14 arcsec to the North-West of the cD and
it is detected in the R and I bands but not in the B band. Photometric and
spectroscopic observations of the cluster and of the arc are presented. Other
similar discoveries in the course of imaging and spectroscopic surveys of Rosat
are expected in the future.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 12:41:17 GMT""}]","2007-05-23"
"chao-dyn/9506010","Krzysztof Gawedzki","Krzysztof Gawedzki and Antti Kupiainen","ANOMALOUS SCALING OF THE PASSIVE SCALAR","8 pages, latex",,"10.1103/PhysRevLett.75.3834","IHES/P/95/62","chao-dyn cond-mat hep-th nlin.CD",,"  We establish anomalous inertial range scaling of structure functions for a
model of advection of a passive scalar by a random velocity field. The velocity
statistics is taken gaussian with decorrelation in time and velocity
differences scaling as $|x|^{\kappa/2}$ in space, with $0\leq\kappa < 2$. The
scalar is driven by a gaussian forcing acting on spatial scale $L$ and
decorrelated in time. The structure functions for the scalar are well defined
as the diffusivity is taken to zero and acquire anomalous scaling behavior for
large pumping scales $L$. The anomalous exponent is calculated explicitly for
the $4^{\m\rm th}$ structure function and for small $\kappa$ and it differs
from previous predictions. For all but the second structure functions the
anomalous exponents are nonvanishing.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 08:32:21 GMT""}]","2016-08-31"
"chao-dyn/9506011","Helge Frauenkron","Helge Frauenkron and Peter Grassberger (BUGH Wuppertal - Germany)","Interaction of Nonlinear Schr\""odinger Solitons with an External
  Potential","14 pages, uuencoded PS-file including 10 figures",,"10.1088/0305-4470/28/17/027",,"chao-dyn nlin.CD",,"  Employing a particularly suitable higher order symplectic integration
algorithm, we integrate the 1-$d$ nonlinear Schr\""odinger equation numerically
for solitons moving in external potentials. In particular, we study the
scattering off an interface separating two regions of constant potential. We
find that the soliton can break up into two solitons, eventually accompanied by
radiation of non-solitary waves. Reflection coefficients and inelasticities are
computed as functions of the height of the potential step and of its steepness.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 09:09:15 GMT""}]","2009-10-28"
"chao-dyn/9506012",,"H. Alt, H.-D. Graef, R. Hofferbert, H. Rehfeld, A. Richter, P. Schardt
  (Institut fuer Kernphysik, Darmstadt), H.L. Harney (MPI fuer Kernphysik,
  Heidelberg)","Decay of Classical Chaotic Systems - the Case of the Bunimovich Stadium","16 pages, RevTex, 3 figures are available upon request from
  rehfeld@linac.ikp.physik.th-darmstadt.de, to be published in Phys.Rev.E","Phys. Rev. E 53, 2217 (1996)","10.1103/PhysRevE.53.2217",,"chao-dyn nlin.CD",,"  The escape of an ensemble of particles from the Bunimovich stadium via a
small hole has been studied numerically. The decay probability starts out
exponentially but has an algebraic tail. The weight of the algebraic decay
tends to zero for vanishing hole size. This behaviour is explained by the slow
transport of the particles close to the marginally stable bouncing ball orbits.
It is contrasted with the decay function of the corresponding quantum system.
","[{""version"":""v1"",""created"":""Fri, 30 Jun 1995 10:16:10 GMT""},{""version"":""v2"",""created"":""Wed, 25 Oct 1995 11:33:11 GMT""},{""version"":""v3"",""created"":""Tue, 21 Nov 1995 08:32:07 GMT""}]","2009-10-28"
"cond-mat/9506136","Joerg Schmalian","S. Grabowski, J. Schmalian, M. Langer, and K. H. Bennemann","Theory for the Interdependence of High-T$_c$ Superconductivity and
  Dynamical Spin Fluctuations","4 pages (REVTeX) with 4 figures (Postscript)",,"10.1016/0038-1098(95)00842-X",,"cond-mat",,"  The doping dependence of the superconducting state for the 2D one-band
Hubbard Hamiltonian is determined. By using an Eliashberg-type theory, we find
that the gap function $\Delta_{\bf k}$ has a $d_{x^2-y^2}$ symmetry in momentum
space and T$_c$ becomes maximal for $13 \; \%$ doping. Since we determine the
dynamical excitations directly from real frequency axis calculations, we obtain
new structures in the angular resolved density of states related to the
occurrence of {\it shadow states} below T$_c$. Explaining the anomalous
behavior of photoemission and tunneling experiments in the cuprates, we find a
strong interplay between $d$-wave superconductivity and dynamical spin
fluctuations.
","[{""version"":""v1"",""created"":""Thu, 29 Jun 1995 16:48:48 GMT""}]","2009-10-28"
