"adap-org/9506003",,"Jan Finjord (Stavanger College and CNLS, LANL)","Self-Organization in Models of Populations with Two-Parent Reproduction
  on a Rugged Fitness Landscape","6 pages plus 5 figures as 6 postscript files, tar-compressed and
  uuencoded into one 84 kb file",,,,"adap-org nlin.AO q-bio",,"  The two-parent reproduction model of Derrida and Peliti is simulated on a
rugged fitness landscape. Fixed fitness values for each possible genotype are
assigned randomly, with all fit individuals having the same probability of
reproduction. The previously observed transition to a self-organized state of
the population with less recombinational load, implies an abrupt change of
genetic overlap distributions, showing up characteristics of a phase
transition. A crossover variant of the model has a smoother transition to the
adapted regime, with a residual collective adaptation for small values of the
threshold in fitness. When a geographical constraint (shortest possible
distance) on pairwise reproduction in a population arranged one-dimensionally
is imposed, a poised state results, suggestive of self-organized criticality.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 23:53:40 GMT""}]","2015-06-30"
"alg-geom/9506023","Kai Behrend","K. Behrend and Yu. Manin","Stacks of Stable Maps and Gromov-Witten Invariants","Postscript file available at
  http://www.math.ubc.ca/people/faculty/behrend/gwi.ps , AMSLaTeX",,,,"alg-geom math.AG",,"  We correct some errors in the earlier version of this paper. Most
importantly, the definition of isogeny of marked stable graphs has changed.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 14:32:00 GMT""},{""version"":""v2"",""created"":""Thu, 26 Oct 1995 02:30:52 GMT""}]","2008-02-03"
"astro-ph/9506124","Maggie Best","John N. Bahcall, Jacqueline Bergeron, Alec Boksenberg, George F.
  hartig, Buell T. Jannuzi, Sofia Kirhakos, W. L. W. Sargent, Blair D. Savage,
  Donald P.Schneider, David A. Turnshek, Ray J. Weymann, and Arthur M. Wolfe","The HST Quasar Absorption Line Key Project VII. Absorption Systems at
  $z_{\rm abs} \leq 1.3$","uuencoded compressed tar file. Figures and tables available by ftp to
  ftp://eku.ias.edu/pub/best/ (192.16.204.30) ; figures are
  kpfig1a.ps--kpfig1k.ps, kpfig2.ps, kpfig3.ps, kpfig4.ps; tables are
  kplandtabs.ps, kpporttabs.ps, submitted to The Astrophysical Journal","Astrophys.J. 457 (1996) 19-49","10.1086/176709","Key Project Preprint Series: 7","astro-ph",,"  We present evidence that clumps of \lya lines are physically associated with
about half of the extensive metal-line systems (absorption systems with four or
more observed metal-line species) found in this paper, demonstrate that all
four \lylimit systems discussed here correspond to extensive metal-line
absorption systems, and present an extraordinary pair of extensive metal-line
absorption systems within 2000~km/s of each other at $z~=~0.95$ that are
probably an early manifestation of large scale structure. These results are
obtained using ultraviolet spectra, taken with the higher-resolution gratings
of the Faint Object Spectrograph of the Hubble Space Telescope, for four
quasars with emission-line redshifts between 1.0 and 1.3. We also determine the
evolution of \lya absorption lines at redshifts less than 1.3 by combining the
results for 13 smaller redshift quasars discussed in Paper I of this series
with the 4 moderate redshift quasars analyzed in the present paper. For $z_{\rm
abs}~\leq~1.3$, the density of \lya lines with equivalent widths greater than
0.24~\AA\ is adequately fit by $\left(dN/dz\right) =\left(dN/dz\right)_0
\cdot(1 + z)^\gamma$ with $(dN/dz)_0 = 24.3 \pm 6.6$ \lya lines per unit
redshift, and $\gamma = 0.58 \pm 0.50$ (1-$\sigma$ uncertainties). This rate of
evolution at low redshifts is less than the evolutionary rate inferred from
several different ground-based data samples that pertain to high redshifts. The
observed gaseous structures at redshifts of $0.5$ to $1.0$ with velocity
dispersions of $6 \times 10^2$ \kms to $1.4 \times 10^3$ \kms (or velocity
spans of $1.2 \times 10^3$ \kms to $3 \times 10^3$ \kms) constitute a
constraint on cosmological models of structure formation.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 16:05:57 GMT""}]","2009-10-28"
"astro-ph/9506125","James Bartlett","J.G. Bartlett, D. Barbosa, A. Blanchard (Observatoire de Strasbourg)","The Physical State of the Intergalactic Medium or Can We Measure Y?","Proceedings of `Unveiling the Cosmic Infrared Background', April
  23-25, 1995, Maryland. Self-unpacking uuencoded, compressed tar file with two
  figures included",,"10.1063/1.49228",,"astro-ph",,"  We present an argument for a {\it lower limit} to the Compton-$y$ parameter
describing spectral distortions of the cosmic microwave background (CMB). The
absence of a detectable Gunn-Peterson signal in the spectra of high redshift
quasars demands a high ionization state of the intergalactic medium (IGM).
Given an ionizing flux at the lower end of the range indicated by the proximity
effect, an IGM representing a significant fraction of the
nucleosynthesis-predicted baryon density must be heated by sources other than
the photon flux to a temperature $\go {\rm few} \times 10^5\, K$. Such a gas at
the redshift of the highest observed quasars, $z\sim 5$, will produce a $y\go
10^{-6}$. This lower limit on $y$ rises if the Universe is open, if there is a
cosmological constant, or if one adopts an IGM with a density larger than the
prediction of standard Big Bang nucleosynthesis.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 16:38:10 GMT""}]","2015-06-24"
"astro-ph/9506126",,"J.Siebert, M.Matsuoka, W.Brinkmann, M.Cappi, T.Mihara, T.Takahashi","ASCA observations of high redshift quasars","8 pages, 3 figs, uuencoded compressed postscript, A&A in press",,,,"astro-ph",,"  ASCA observations of 4 high redshift radio--loud quasars with 1.44$<$z$<$3.21
are presented. The spectral analysis for three of them (PKS 0332-403, PKS
0537-286, PKS 2149-306) reveals that their X-ray continuum emission is well
represented by a simple power--law model plus absorption with photon indices of
$\Gamma =1.92^{+0.30}_{-0.20}$ (PKS 0332-403), $\Gamma =1.63^{+0.14}_{-0.12}$
(PKS 0537-286) and $\Gamma =1.57\pm 0.05$ (PKS 2149-306). The fourth and most
distant object, PKS 1614+051 at z=3.21, was detected, but a detailed spectral
analysis is impossible due to the small number of photons. We find evidence for
excess absorption above the Galactic $N_H$--value in the ASCA data of PKS
2149-306, which is not confirmed by the ROSAT All-Sky Survey PSPC spectrum of
this source. This could probably be due to variable absorption. The ROSAT
spectrum of PKS 0537-286, deduced from a 10 ksec pointed PSPC observation, is
consistent with the ASCA results. Thermal bremsstrahlung models also give
acceptable fits to the ASCA data with best fit (rest frame) temperatures of
10.4, 33.5 and 45.8 keV for PKS 0332-403, PKS 0537-286 and PKS 2149-306,
respectively. More complicated models for the X-ray continuum are not required,
in particular, tight upper limits on the strength of the Fe-K emission line are
given. The broad band spectral energy distributions from the radio to the
$\gamma$-rays are presented and discussed.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 17:07:18 GMT""}]","2007-05-23"
"astro-ph/9506127","Juan Perez Mercader","J. Perez--Mercader, T. Goldman, D. Hochberg and R. Laflamme","Ising Model formulation of Large Scale Dynamics: Universality in the
  Universe","Uses RevTeX 3.0",,,"LAEFF--95/004 and Los Alamos LA--UR--95--1055","astro-ph gr-qc",,"  The partition function of a system of galaxies in gravitational interaction
can be cast in an Ising Model form, and this reformulated via a
Hubbard--Stratonovich transformation into a three dimensional stochastic and
classical scalar field theory, whose critical exponents are calculable and
known. This allows one to {\it compute\/} the galaxy to galaxy correlation
function, whose non--integer exponent is predicted to be between 1.530 and
1.862, to be compared with the phenomenological value of 1.6 to 1.8.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 10:08:54 GMT""}]","2007-05-23"
"astro-ph/9506128","Andrea Comastri","Andrea Comastri, Silvano Molendi and Gabriele Ghisellini","ROSAT observations of radio-selected BL Lac objects","to appear on MNRAS, 18 pages (latex file plus 5 tables and 3 figures)
  uuencoded compressed tar postscript files",,"10.1093/mnras/277.1.297","BAP 05-1995-024-OAB","astro-ph",,"  ROSAT observations of a homogeneous sample of radio--selected BL Lac objects
are presented. Results of a detailed spectral analysis in the soft 0.1-2.0 keV
energy range are discussed and compared with similar previously published
results. The X--ray spectral shape is discussed in relation to the overall
energy distribution with particular emphasys on the high energy gamma--ray
emission recently detected by CGRO--EGRET for about half of the objects in the
sample. Dividing the objects in our sample on the basis of the radio to X--ray
flux ratio (alpha_rx) we show that objects with alpha_rx > 0.75 have flatter
X--ray spectra and are likely to be stronger gamma--ray emitters than objects
with alpha_rx < 0.75. Moreover we note that the value of the peak energy of the
synchrotron component, in a E * F(E) plot, correlates with alpha_rx and
alpha_x.
","[{""version"":""v1"",""created"":""Tue, 27 Jun 1995 11:23:11 GMT""}]","2015-06-24"
"cmp-lg/9506023",,"Vladimir Pericliev (Institute of Mathematics, bl.8, 1113 Sofia,
  Bulgaria)","Empirical Discovery in Linguistics","9 pages, LaTeX, in Working Notes of AAAI Spring Symposium Series,
  Symposium: Systematic Methods of Scientific Discovery, March 27-29, Stanford
  University",,,,"cmp-lg cs.CL",,"  A discovery system for detecting correspondences in data is described, based
on the familiar induction methods of J. S. Mill. Given a set of observations,
the system induces the ``causally'' related facts in these observations. Its
application to empirical linguistic discovery is described.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 16:45:09 GMT""}]","2008-02-03"
"cond-mat/9506115","Gunn Jmf","K.N.Ilinski and J.M.F.Gunn","Fractional dimensional Fock space and Haldane's exclusion statistics.
  q/p case","11 pages, latex, no figures",,"10.1016/S0375-9601(96)80005-3","TPBU-95-4","cond-mat",,"  The discussion of Fractional dimensional Hilbert spaces in the context of
Haldane exclusion statistics is extended from the case \cite{IG} of $g=1/p$ for
the statistical parameter to the case of rational $g=q/p$ with $q,p$-coprime
positive integers. The corresponding statistical mechanics for a gas of such
particles is constructed. This procedure is used to define the statistical
mechanics for particles with irrational $g$. Applications to strongly
correlated systems such as the Hubbard and $t-J$ models are discussed.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 16:19:51 GMT""}]","2015-06-25"
"cond-mat/9506116","Charles Kane","C.L. Kane, Matthew P.A. Fisher","Contacts and Edge State Equilibration in the Fractional Quantum Hall
  Effect","14 pages REVTeX, 6 postscript figures (uuencoded and compressed)",,"10.1103/PhysRevB.52.17393",,"cond-mat",,"  We develop a simple kinetic equation description of edge state dynamics in
the fractional quantum Hall effect (FQHE), which allows us to examine in detail
equilibration processes between multiple edge modes. As in the integer quantum
Hall effect (IQHE), inter-mode equilibration is a prerequisite for quantization
of the Hall conductance. Two sources for such equilibration are considered:
Edge impurity scattering and equilibration by the electrical contacts. Several
specific models for electrical contacts are introduced and analyzed. For FQHE
states in which edge channels move in both directions, such as $\nu=2/3$, these
models for the electrical contacts {\it do not} equilibrate the edge modes,
resulting in a non-quantized Hall conductance, even in a four-terminal
measurement. Inclusion of edge-impurity scattering, which {\it directly}
transfers charge between channels, is shown to restore the four-terminal
quantized conductance. For specific filling factors, notably $\nu =4/5$ and
$\nu=4/3$, the equilibration length due to impurity scattering diverges in the
zero temperature limit, which should lead to a breakdown of quantization for
small samples at low temperatures. Experimental implications are discussed.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 18:30:40 GMT""}]","2009-10-28"
"cond-mat/9506117","Jaekwon Kim","Jae-Kwon Kim","Weak universality in the two dimensional randomly disordered three-state
  Potts ferromagnet","RevTex, 7 pages, three hardcopies of the Figures available upon
  request",,"10.1103/PhysRevB.53.3388",,"cond-mat",,"  For the two dimensional randomly disordered three-state Potts ferromagnet, we
find numerically that the critical exponent $\eta$ unchanges with the degree of
disorder while those of the correlation length ($\nu$) and magnetic
susceptibility ($\gamma$) increase with it continuously. We discuss some
consequences of the finding.
","[{""version"":""v1"",""created"":""Mon, 26 Jun 1995 22:29:58 GMT""}]","2009-10-28"
