"alg-geom/9507012","Nakajima Hiraku","Hiraku Nakajima","Heisenberg algebra and Hilbert schemes of points on projective surfaces","AMS-LaTeX v. 1.1, 16 pages",,,,"alg-geom math.AG",,"  I have just replaced the first line by %&amslplain in order to be compiled by
AMS-LaTeX.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 05:04:25 GMT""},{""version"":""v2"",""created"":""Fri, 29 Sep 1995 23:03:44 GMT""}]","2008-02-03"
"astro-ph/9507074",,"Charles Walter and Anatoly Klypin (New Mexico State University)","Evolution of Clusters in Cold plus Hot Dark Matter Models","16 pages, used aaspp.sty V3.0 13 figures are available from
  http://charon.nmsu.edu/ftp/cwalter/CHDM","Astrophys.J. 462 (1996) 13","10.1086/177123",,"astro-ph",,"  We use N-body simulations to study evolution of galaxy clusters over the
redshift interval 0 <= z <= 0.5 in cosmological models with a mixture of cold
and hot dark matter (CHDM). Four different techniques are utilized: the
cluster-cluster correlation function, axial ratios and quadrupoles of the dark
matter distribution in individual clusters, and virial properties. We find that
the correlation function for clusters of the same mass limit was larger and
steeper at high redshifts. The slope increases from 1.8 at z=0 to 2.1 at z=0.5.
Comoving correlation length r_c scales with the mass limit M within comoving
radius 1.5 h^-1 Mpc and the redshift z as r_c ~= 20(1+z)(M/M_*)^1/3, where M_*
= 3*10^14 h^-1 M_sun. When the correlation length is normalized to the mean
cluster separation d_c, it remains almost constant: r_c~=(0.45-0.5) d_c. For
small masses (M_clust <2*10^14 h^-1 M_sun) there is an indication that r_c goes
slightly above the relation with the constant of proportionality being ~=
0.55-0.6. Anisotropy of density distribution in a cluster shows no change over
redshift with axial ratios remaining constant around 1.2. In other words,
clusters at present are as elongated as they were at the epoch of their first
appearance. While the anisotropy of clusters does not change with time, the
density profile shows visible evolution: the slope of density profile changes
from gamma ~= -3.5 at z=0.5 to gamma ~= -2.5 at the present. We find that the
core of a cluster remains essentially the same over time, but the density of
the outlying regions increases noticeably. The virial relation M ~ v^2 is a
good approximation, but there is a large fraction of clusters with peculiar
velocities greater than given by this relation, and clusters with the same rms
velocities have smaller masses in the past, a factor of 2 at z=0.5.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 18:37:04 GMT""}]","2009-10-28"
"astro-ph/9507075","Takashi Okamura","Y.Kakigi, T.Okamura and T.Fukuyama","Gravitational lensing and Catastrophe theory","24 pages, latex, 18 figures","Int.J.Mod.Phys. D4 (1995) 685-710","10.1142/S0218271895000466",,"astro-ph gr-qc",,"  Singularities of caustics appeared in gravitational lensing effect are
discussed analytically. Multipole expansion model of lensing object is mainly
studied since it is tractable and universal. Our analyses are confirmed by
numerical calculations and applied to multiple quasar system of PG1115+080.
Consistencies with elliptical lens models are also discussed.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 12:34:35 GMT""}]","2009-10-28"
"astro-ph/9507076","Yannick Mellier","B. Fort, Y. Mellier, M. Dantel-Fort, H. Bonnet and J.-P. Kneib","Detection of Weak Lensing in the Fields of Luminous Radiosources","Tex. Tar compressed poscript files of the papers and figures are also
  available by anonymous ftp at ftp://summer.obs-mip.fr/pub/OUTGOING or upon
  request at mellier@obs-mip.fr",,,,"astro-ph",,"  We present a first attempt to reveal the possible existence of large
foreground mass condensations directly responsible for the gravitational
magnification of four distant luminous radiosources and one optical QSO. The
technique uses a weak lensing analysis of the distant galaxies in the field of
each source. We find a coherent shear map with a large magnification bias on
the line of sight to Q1622+0328. The local shear in the field of the bright
radiosources is also often correlated with nearby groups or poor clusters of
galaxies. For three of them, the groups are identified as gravitational
deflectors that magnify the radiosources. This suggests that a substantial
amount of invisible mass is condensed in groups and poor clusters It may
explain the origin of a large angular correlation between the distribution of
distant radiosources and the distribution of low redshift galaxies. We discuss
the feasability and consequences of a future systematic survey to investigate
the problem of magnification bias in the fields of luminous distant objects and
to probe the mass distributions of galaxy groups at intermediate redshifts.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 15:14:27 GMT""}]","2007-05-23"
"cond-mat/9507076","Sergio de Queiroz","S. L. A. de Queiroz and Eytan Domany","Search for Kosterlitz-Thouless transition in a triangular Ising
  antiferromagnet with further-neighbour ferromagnetic interactions","10 pages, RevTeX 3; 11 Postscript figures (uuencoded); to appear in
  Phys. Rev. E (1995)","Physical Review E 52, 4768 (1995)","10.1103/PhysRevE.52.4768","IF/UFF 049/95 (CM 032/95)","cond-mat",,"  We investigate an antiferromagnetic triangular Ising model with anisotropic
ferromagnetic interactions between next-nearest neighbours, originally proposed
by Kitatani and Oguchi (J. Phys. Soc. Japan {\bf 57}, 1344 (1988)). The phase
diagram as a function of temperature and the ratio between first- and second-
neighbour interaction strengths is thoroughly examined. We search for a
Kosterlitz-Thouless transition to a state with algebraic decay of correlations,
calculating the correlation lengths on strips of width up to 15 sites by
transfer-matrix methods. Phenomenological renormalization, conformal invariance
arguments, the Roomany-Wyld approximation and a direct analysis of the scaled
mass gaps are used. Our results provide limited evidence that a
Kosterlitz-Thouless phase is present. Alternative scenarios are discussed.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 17:33:26 GMT""},{""version"":""v2"",""created"":""Thu, 20 Jul 1995 13:34:14 GMT""}]","2009-10-28"
"cond-mat/9507077","Andrew M. Tikofsky","A. M. Tikofsky and S. A. Kivelson, (ITP, U.C. Santa Barbara)","Paired States in the Even Integer Quantum Hall Effect","uufile, includes 4 page revtex file and 1 figure file",,"10.1103/PhysRevB.53.R13275","ITP Preprint Number NSF-ITP-95-51","cond-mat",,"  We argue that a new type of quantum Hall state requiring non-perturbative
Landau level mixing arises at low electron density. In these states, up and
down spin electrons pair to form spinless bosons that condense into a bosonic
quantum Hall state. We describe a wavefunction for a paired quantum Hall state
at $\nu=2$ and argue that it is stabilized by a BCS instability arising in flux
attachment calculations. Based on this state, we derive a new global phase
diagram for the integral quantum Hall effect with spin. Additional experimental
implications are discussed.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 21:57:09 GMT""}]","2009-10-28"
"gr-qc/9507042",,"Jean-Guy Demers, Rene Lafrance and Robert C. Myers","Black Hole Entropy and Renormalization","5 pages, uses AmS-TeX 2.1 with fic.sty included as a uufile. Based on
  a talk presented at the 6th Canadian Conference on General Relativity and
  Relativistic Astrophysics",,,"McGill/95-39","gr-qc hep-th",,"  Using a new regulator, we examine 't Hooft's approach for evaluating black
hole entropy through a statistical-mechanical counting of states for a scalar
field propagating outside the event horizon. We find that this calculation
yields precisely the one-loop renormalization of the standard
Bekenstein-Hawking formula, $S={\Cal A}/(4G)$. Thus our result provides
evidence confirming a suggestion by Susskind and Uglum regarding black hole
entropy.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 18:00:49 GMT""}]","2007-05-23"
"gr-qc/9507043","De Sousa Claudio Manoel Gomes","Claudio M. G. de Sousa and J. L. Tomazelli","A Model for Stars of Interacting Bosons and Fermions","08 pages, Latex, figures avaible upon request","Phys.Rev. D58 (1998) 123003","10.1103/PhysRevD.58.123003",,"gr-qc",,"  In this paper we introduce a current-current type interaction term in the
Lagrangian density of gravity coupled to complex scalar fields, in the presence
of a degenerated Fermi gas. For low transferred momenta such a term, which
might account for the interaction among boson and fermion constituents of
compact stellar objects, is subsequently reduced to a quadratic one in the
scalar sector. This procedure enforces the use of a complex radial field
counterpart in the equations of motion. The real and the imaginary components
of the scalar field exhibit different behaviour as the interaction increases.
The results also suggest that the Bose-Fermi system undergoes a BCS-like phase
transition for a suitable choice of the coupling constant.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 15:41:44 GMT""}]","2009-10-28"
"hep-ex/9507011","Aharon Levy","The ZEUS Collaboration","Measurement of Elastic $\rho^0$ Photoproduction at HERA","38 pages, latex, 10 figures appended as uuencoded file. This
  manuscript replaces the one which had a non standard style file","Z.Phys.C69:39-54,1995","10.1007/s002880050004","DESY 95-143","hep-ex",,"  Elastic $\rho^0$ photoproduction has been measured using the ZEUS detector at
HERA. Untagged photoproduction events from $ep$ interactions were used to
measure the reaction $\gamma p \rightarrow \rho^0 p$ ($\rho^0 \rightarrow \pi^+
\pi^-$) at photon-proton centre-of-mass energies between 60 and 80~GeV and
$|t|<0.5$~GeV$^2$, where $t$ is the square of the four-momentum transferred at
the proton vertex. The differential cross section $d\sigma/dM_{\pi\pi}$, where
$M_{\pi\pi}$ is the invariant mass of the two pions, and the integrated cross
section, $\sigma_{\gamma p\rightarrow \rho^0 p}$, are presented; the latter was
measured to be $14.7\pm 0.4~(\mbox{stat.})~\pm2.4~(\mbox{syst.})~\mu\mbox{b}$.
The differential cross section $d\sigma/dt$ has an approximately exponential
shape; a fit of the type $A^{\prime}_{t} \exp{(-b^{\prime}_{t}|t| +
c^{\prime}_{t} t^2)}$ yields a $t$-slope $b^{\prime}_{t}=
9.9~\pm~1.2~(\mbox{stat.})~\pm 1.4~(\mbox{syst.})~\mu\mbox{b}$. The results,
when compared to low energy data, show a weak energy dependence of both
$\sigma_{\gamma p\rightarrow \rho^0 p}$ and of the $t$-slope. The $\rho^0$ is
produced predominantly with transverse polarisation, demonstrating that
$s$-channel helicity conservation holds at these energies.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 21:46:24 GMT""},{""version"":""v2"",""created"":""Thu, 20 Jul 1995 08:28:56 GMT""}]","2012-08-27"
"hep-ex/9507012",,"Anthony L. Spadafora (Lawrence Berkeley Laboratory)","Measurements of the W and Z Inclusive Cross Sections and Determination
  of the W Decay Width","19 pages, 4 figures appended in a uuencoded file","AIP Conf.Proc.357:382-394,1996","10.1063/1.49646","LBL 37507","hep-ex",,"  Recent results on the production of $W$ and $Z$ gauge bosons in $p\bar{p}$
collisions at $\sqrt{s}=1.8$~TeV at the Fermilab Tevatron Collider from the \D0
and CDF experiments are reviewed. Measurements of the inclusive cross sections
times leptonic branching ratios in both the electron and muon decay channels
are summarized and compared to QCD predictions. Using the ratio $R = {\sigma_W
\cdot B(W\rightarrow l\nu)}/ {\sigma_Z \cdot B(Z\rightarrow ll)}$ and assuming
standard model couplings, an indirect determination of the W decay width is
obtained. By comparing this measured value with the predicted value for the $W$
width, a limit on the deviation from the standard model is obtained.
","[{""version"":""v1"",""created"":""Thu, 20 Jul 1995 00:16:56 GMT""}]","2014-11-17"
"hep-ph/9507341","Sourendu Gupta","Sourendu Gupta(TIFR, Bombay, India), D. Indumathi(Dortmund, Germany),
  P. Mathews(CTS, IISC, Bangalore, India), V. Ravindran(TIFR, Bombay, India)","Bloch-Nordsieck Thermometers: One-loop Exponentiation in Finite
  Temperature QED","LaTeX file, 29 pages including 3 figures","Nucl.Phys. B458 (1996) 189-214","10.1016/0550-3213(95)00558-7","TIFR/TH/95-05, DO-TH-95-03, IISC-CTS-1/95","hep-ph",,"  We study the scattering of hard external particles in a heat bath in a
real-time formalism for finite temperature QED. We investigate the distribution
of the 4-momentum difference of initial and final hard particles in a fully
covariant manner when the scale of the process, $Q$, is much larger than the
temperature, $T$. Our computations are valid for all $T$ subject to this
constraint. We exponentiate the leading infra-red term at one-loop order
through a resummation of soft (thermal) photon emissions and absorptions. For
$T>0$, we find that tensor structures arise which are not present at $T=0$.
These carry thermal signatures. As a result, external particles can serve as
thermometers introduced into the heat bath. We investigate the phase space
origin of $\log(Q/m)$ and $\log(Q/T)$ terms.
","[{""version"":""v1"",""created"":""Wed, 19 Jul 1995 19:24:42 GMT""}]","2009-10-28"
