"alg-geom/9509004","Rahul Pandharipande","R. Pandharipande","The Canonical Class of $\overline{M}_{0,n}(P^r,d)$ And Enumerative
  Geometry","AMSLatex, 13 pages",,,,"alg-geom math.AG",,"  D. Abramovich found an error in the singularity analysis in the first posting
of this paper affecting one formula (Thanks Dan).The error has been corrected.
Only the arithmetic genus formula has changed. The geometric genus and all the
canonical class formulas are the same.
","[{""version"":""v1"",""created"":""Sun, 3 Sep 1995 17:29:06 GMT""},{""version"":""v2"",""created"":""Thu, 7 Sep 1995 19:04:20 GMT""}]","2008-02-03"
"astro-ph/9509010","John Dubinski","John Dubinski, J. Christopher Mihos, and Lars Hernquist","Using Tidal Tails to Probe Dark Matter Halos","27 pages, compressed postscript, no figures, html and postscript
  copies with figures available on
  http://ucowww.ucsc.edu/~dubinski/tails/tails.html or contact
  dubinski@lick.ucsc.edu","Astrophys.J.462:576,1996","10.1086/177174",,"astro-ph",,"  We use simulations of merging galaxies to explore the sensitivity of the
morphology of tidal tails to variations of the halo mass distributions in the
parent galaxies. Our goal is to constrain the mass of dark halos in well-known
merging pairs. We concentrate on prograde encounters between equal mass
galaxies which represent the best cases for creating tidal tails, but also look
at systems with different relative orientations, orbital energies and mass
ratios. As the mass and extent of the dark halo increase in the model galaxies,
the resulting tidal tails become shorter and less massive, even under the most
favorable conditions for producing these features. Our simulations imply that
the observed merging galaxies with long tidal tails ($\sim 50-100$ kpc) such as
NGC 4038/39 (the Antennae) and NGC 7252 probably have halo:disk+bulge mass
ratios less than 10:1. These results conflict with the favored values of the
dark halo mass of the Milky Way derived from satellite kinematics and the
timing argument which give a halo:disk+bulge mass ratio of $\sim 30:1$.
However, the lower bound of the estimated dark halo mass in the Milky Way (mass
ratio $\sim 10:1$) is still consistent with the inferred tidal tail galaxy
masses. Our results also conflict with the expectations of $\Omega=1$
cosmologies such as CDM which predict much more massive and extended dark
halos.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 01:18:55 GMT""}]","2008-11-26"
"astro-ph/9509012","Dongsu Ryu","Dongsu Ryu, Jeremy Goodman, and Ethan T. Vishniac","Global Aspects of Elliptical Instability in Tidally Distorted Accretion
  Disks","ApJ submitted, 13 pages with 6 figures, uuencoded, gzipped, tarred
  postscript files, or available upon request to ryu@sirius.chungnam.ac.kr","Astrophys.J. 461 (1996) 805","10.1086/177102","CNU-AST-95","astro-ph",,"  Tidally distorted accretion disks in binary star systems are subject to a
local hydrodynamic instability which excites $m=1$ internal waves. This
instability is three dimensional and approximately incompressible. We study the
global aspects of this local instability using equations derived under the
shearing sheet approximation, where the effects of the azimuthal variation
along distorted orbital trajectories are included in source terms which
oscillate with local orbital phase. Linear analyses show that the excitation of
the instability is essentially local, i.e. insensitive to radial boundary
conditions. The region of rapid growth feeds waves into the region of slow or
negligible growth, allowing the instability to become global. The global growth
rate depends the maximum local growth rate, the size of the rapid growth
region, and the local group velocity. We present an empirical expression for
the global growth rate. We note that the local nature of the instability allows
the excitation of waves with $m\ne 1$ when the local growth rate is large.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 07:44:00 GMT""}]","2009-10-28"
"astro-ph/9509013","Preprint account","M.A. Treyer, O. Lahav","Faint Blue Galaxies as a Probe of the X-ray Background at High Redshift","uuencoded compressed postscript, without figures. The preprint is
  available with figures at http://www.ast.cam.ac.uk/preprint/PrePrint.html",,"10.1093/mnras/280.2.469","CAP-9509003","astro-ph",,"  We present a formalism describing the physical content of cross-correlation
functions between a diffuse background and a population of discrete sources.
The formalism is used to interpret cross-correlation signals between the
unresolved X-ray background and a galaxy population resolved to high redshift
in another spectral band. Specifically, we apply it to the so-called faint blue
galaxy population and constrain their X-ray emissivity and clustering
properties. A model is presented which satisfies the recently measured
constraints on all 3 correlation functions (galaxy/galaxy,
background/background and galaxy/background). This model predicts that faint
galaxies in the magnitude range B=18-23 (cvering redshifts $z \lsim 0.5$) make
up $\sim 22 \%$ of the X-ray background in the 0.5-2 keV band. At the mean
redshift of the galaxy sample, $\bar z=0.26$, the comoving volume emissivity is
$\rho_X \sim 6-9 \times 10^{38}h$ ergs s$^{-1}$Mpc$^{-3}$ . When extrapolated
to fainter magnitudes, the faint blue galaxy population can account for most of
the residual background at soft energy. We show how the measurement of the
angular and zero-lag cross-correlation functions between increasingly faint
galaxies and the X-ray background can allow us to map the X-ray emissivity as a
function of redshift.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 15:11:42 GMT""}]","2015-06-24"
"astro-ph/9509014","Thomas Buchert","Michael Platzoeder and Thomas Buchert","Applications of Minkowski Functionals to the Statistical Analysis of
  Dark Matter Models","13 pages, Latex, 2 gzipped tar-files, to appear in: Proc. ``1st SFB
  workshop on Astro-particle physics'', Ringberg, Tegernsee, 1995","Rep.SFB/P001 A.Weiss et al. (eds) (1996) 251-263",,,"astro-ph",,"  A new method for the statistical analysis of 3D point processes, based on the
family of Minkowski functionals, is explained and applied to modelled galaxy
distributions generated by a toy-model and cosmological simulations of the
large-scale structure in the Universe. These measures are sensitive to both,
geometrical and topological properties of spatial patterns and appear to be
very effective in discriminating different point processes. Moreover by the
means of conditional subsampling, different building blocks of large-scale
structures like sheets, filaments and clusters can be detected and extracted
from a given distribution.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 15:23:59 GMT""}]","2007-05-23"
"astro-ph/9509015","Preprint account","O. Almaini, B.J. Boyle, R.E. Griffiths, T. Shanks, G.C. Stewart, I.
  Georgantopoulos","The discovery of a high redshift type 2 QSO","uuencoded compressed postscript. The preprint is also available at
  http://www.ast.cam.ac.uk/preprint/PrePrint.html",,,"CAP-9509004","astro-ph",,"  We report the discovery of a high redshift, narrow emission-line galaxy
identified in the optical follow-up of deep ROSAT fields. The object has a
redshift of z=2.35 and its narrow emission lines together with its high optical
and X-ray luminosity imply that this is a rare example of a type 2 QSO. The
intrinsic X-ray absorption is either very low or we are observing scattered
flux which does not come directly from the nucleus. The X-ray spectrum of this
object is harder than that of normal QSOs, and it is possible that a hitherto
unidentified population of similar objects at fainter X-ray fluxes could
account for the missing hard component of the X-ray background.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 15:53:28 GMT""}]","2007-05-23"
"comp-gas/9509001","Norm Margolus","Norman Margolus (MIT)","CAM-8: A Computer Architecture Based on Cellular Automata","20 pages, 15 PostScript figures, related information available at
  http://www.im.lcs.mit.edu/cam8/","in Pattern Formation and Lattice-Gas Automata (A. Lawniczak and R.
  Kapral eds.), American Mathematical Society, 167 (1996)",,,"comp-gas nlin.CG",,"  Conventional computers are ill suited to run CA models, and so discourage
their development. By creating a hardware platform that makes a broad range of
new CA algorithms practical for real applications, we hope to whet the appetite
of researchers for the astronomical computing power that can be harnessed in
microphysics in a CA format.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 06:44:56 GMT""}]","2017-06-07"
"cond-mat/9509010","Wang Wei","Wei Wang, Shaojin Qin, Zhong-Yi Lu, Lu Yu and Zhaobin Su","Impurity Energy Level Within The Haldane Gap","Latex file,9 pages uuencoded compressed postscript including 4
  figures",,"10.1103/PhysRevB.53.40",,"cond-mat",,"  An impurity bond $J{'}$ in a periodic 1D antiferromagnetic, spin 1 chain with
exchange $J$ is considered. Using the numerical density matrix renormalization
group method, we find an impurity energy level in the Haldane gap,
corresponding to a bound state near the impurity bond. When $J{'}<J$ the level
changes gradually from the edge of the Haldane gap to the ground state energy
as the deviation $dev=(J-J{'})/J$ changes from 0 to 1. It seems that there is
no threshold. Yet, there is a threshold when $J{'}>J$. The impurity level
appears only when the deviation $dev=(J{'}-J)/J{'}$ is greater than $B_{c}$,
which is near 0.3 in our calculation.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 15:45:06 GMT""},{""version"":""v2"",""created"":""Wed, 6 Sep 1995 13:12:09 GMT""}]","2016-08-31"
"cond-mat/9509011","Oleg Sushkov","O. P. Sushkov","Spin-wave condensation and quantum melting of long-range
  antiferromagnetic order in t-J model","LaTeX 19 pages, 13 figures",,"10.1103/PhysRevB.54.9988",,"cond-mat",,"  Ground state wave function of two-dimensional t-J model is found at doping
close to half filling. It is shown that the condensation of Cooper pairs
(superconducting pairing of mobile holes) and the condensation of spin-waves
into spin-liquid state are closely connected. The effective spectrum of $S=1$
excitations, spin-wave gap pseudo-gap $\Delta_M$, magnetic correlation length
$\xi_M$, and static magnetic formfactor $S_M(\bf q)$ are calculated.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 05:36:27 GMT""}]","2009-10-28"
"cond-mat/9509012","Peter Forrester","P.J. Forrester","Jack polynomials and the multi-component Calogero-Sutherland model","13 pages, latex, minor alterations before publication in Int. J. of
  Mod. Phys. B",,"10.1142/S0217979296000179",,"cond-mat hep-th",,"  Using the ground state $\psi_0$ of a multicomponent generalization of the
Calogero-Sutherland model as a weight function, orthogonal polynomials in the
coordinates of one of the species are constructed. Using evidence from exact
analytic and numerical calculations, it is conjectured that these polynomials
are the Jack polynomials $J_\kappa^{(1+1/\lambda)}$, where $\lambda$ is the
coupling constant.
  The value of the normalization integral for $\psi_0 J_\kappa^{(1+1/\lambda)}$
is conjectured, and some further related integrals are evaluated.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 05:41:29 GMT""},{""version"":""v2"",""created"":""Sun, 22 Oct 1995 02:18:06 GMT""}]","2016-08-31"
"cond-mat/9509013","Ute Pustogowa","U. Pustogowa, T. A. Luce, W. Hubner, K. H. Bennemann","Theory of Nonlinear Magneto-Optics","9 pages, latex, 6 uuencoded postscript figures",,"10.1063/1.362065",,"cond-mat",,"  Nonlinear magneto-optics is a very sensitive fingerprint of the electronic,
magnetic, and atomic structure of surfaces, interfaces, and thin ferromagnetic
films. Analyzing theoretically the nonlinear magneto-optical Kerr effect for
thin films of Fe(001) and at Fe surfaces we demonstrate exemplarily how various
electronic material properties of ferromagnets , such as the $d$-band width,
the magnetization, the substrate lattice constant, and the film-thickness
dependence can be extracted from the calculated nonlinear Kerr spectra.
Furthermore, we show how the substrate $d$ electrons (Cu(001)) affect the
nonlinear Kerr spectra even without being themselves spin-polarized and without
film-substrate hybridization. We show that the Kerr rotation angle in second
harmonic generation is enhanced by one to two orders of magnitude compared to
the linear Kerr angle and how symmetry can be used to obtain the direction of
magnetization in thin films and at buried interfaces from nonlinear
magneto-optics.
","[{""version"":""v1"",""created"":""Mon, 4 Sep 1995 07:51:02 GMT""}]","2009-10-28"
